"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX970101_Educational_Impact_Coronavirus_Household_Members_Preschool","How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: preschool or day care.","DCW_970101.doc","enumerated","","","","","","","PhenX","PX970101010100","","","","","0","1","2","3","4","5","6","7","8","9","10","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_Learning_Laptops_Desktops","How many laptops or desktops do children in your household use for learning?","DCW_970101.doc","integer","","0","","","ASK IF 'Which of the following devices do children in your household use to access the internet for learning? A laptop, chromebook, or desktop computer' = 'Yes'","","PhenX","PX970101060000","","","","","","","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_Learning_Tablets","How many tablets do children in your household use for learning?","DCW_970101.doc","integer","","0","","","ASK IF 'Which of the following devices do children in your household use to access the internet for learning? A tablet or iPad' = 'Yes'","","PhenX","PX970101070000","","","","","","","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_Learning_Smartphones","How many smartphones do children in your household use for learning?","DCW_970101.doc","integer","","0","","","ASK IF 'Which of the following devices do children in your household use to access the internet for learning? A smartphone' = 'Yes'","","PhenX","PX970101080000","","","","","","","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_Preschool_Suspended","Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: preschool or day care.' > 0","","PhenX","PX970101090000","","","","","0","1","2","3","4","5","6","7","8","9","10","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_Elementary_School_Suspended","Of the household members enrolled in elementary school, how many have had school suspended or canceled because of the coronavirus?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: elementary school' > 0","","PhenX","PX970101100000","","","","","0","1","2","3","4","5","6","7","8","9","10","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_Elementary_School_Educational_Activities_Home","Are the household members in elementary school doing educational activities at home?","DCW_970101.doc","enumerated","","","","","ASK IF 'Of the household members enrolled in elementary school, how many have had school suspended or canceled because of the coronavirus?' > 0","","PhenX","PX970101110000","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_Elementary_School_Educational_Activities_Provider","Who provided the educational activities? Mark all that apply.","DCW_970101.doc","enumerated","","","","","ASK IF 'Are the household members in elementary school doing educational activities at home?' = 'Yes'","","PhenX","PX970101120000","","","","","The school","Me or my spouse/partner","The child","Other household members","Other","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_Middle_School_Suspended","Of the household members enrolled in middle school or junior high, how many have had school suspended or canceled because of the coronavirus?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: middle school or junior high' > 0","","PhenX","PX970101130000","","","","","0","1","2","3","4","5","6","7","8","9","10","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_Middle_School_Educational_Activities_Home","Are the household members in middle school or junior high doing educational activities at home?","DCW_970101.doc","enumerated","","","","","ASK IF 'Of the household members enrolled in middle school or junior high, how many have had school suspended or canceled because of the coronavirus?' > 0","","PhenX","PX970101140000","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_Middle_School_Educational_Activities_Provider","Who provided the educational activities? Mark all that apply.","DCW_970101.doc","enumerated","","","","","ASK IF 'Are the household members in middle school or junior high doing educational activities at home?' = 'Yes'","","PhenX","PX970101150000","","","","","The school","Me or my spouse/partner","The child","Other household members","Other","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Suspended","Of the household members enrolled in high school, how many have had school suspended or canceled because of the coronavirus?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: high school' > 0","","PhenX","PX970101160000","","","","","0","1","2","3","4","5","6","7","8","9","10","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Educational_Activities_Home","Are the household members in high school doing educational activities at home?","DCW_970101.doc","enumerated","","","","","ASK IF 'Of the household members enrolled in high school, how many have had school suspended or canceled because of the coronavirus?' > 0","","PhenX","PX970101170000","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Educational_Activities_Provider","Who provided the educational activities? Mark all that apply.","DCW_970101.doc","enumerated","","","","","ASK IF 'Are the household members in high school doing educational activities at home?' = 'Yes'","","PhenX","PX970101180000","","","","","The school","Me or my spouse/partner","The child","Other household members","Other","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School","How many household members are currently in Grade 12?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: high school' > 0","","PhenX","PX970101190000","","","","","0","1","2","3","4","5","6","7","8","9","10","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Name_1","What are the names of the household members who are currently in Grade 12? Name 1","DCW_970101.doc","string","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101200100","","","","","","","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Name_2","What are the names of the household members who are currently in Grade 12? Name 2","DCW_970101.doc","string","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101200200","","","","","","","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Name_3","What are the names of the household members who are currently in Grade 12? Name 3","DCW_970101.doc","string","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101200300","","","","","","","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Name_4","What are the names of the household members who are currently in Grade 12? Name 4","DCW_970101.doc","string","","","","","ASK IF 'How many household members are currently in Grade 12?' > 3","","PhenX","PX970101200400","","","","","","","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Name_5","What are the names of the household members who are currently in Grade 12? Name 5","DCW_970101.doc","string","","","","","ASK IF 'How many household members are currently in Grade 12?' > 4","","PhenX","PX970101200500","","","","","","","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Name_6","What are the names of the household members who are currently in Grade 12? Name 6","DCW_970101.doc","string","","","","","ASK IF 'How many household members are currently in Grade 12?' > 5","","PhenX","PX970101200600","","","","","","","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Name_7","What are the names of the household members who are currently in Grade 12? Name 7","DCW_970101.doc","string","","","","","ASK IF 'How many household members are currently in Grade 12?' > 6","","PhenX","PX970101200700","","","","","","","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Name_8","What are the names of the household members who are currently in Grade 12? Name 8","DCW_970101.doc","string","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101200800","","","","","","","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Name_9","What are the names of the household members who are currently in Grade 12? Name 9","DCW_970101.doc","string","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101200900","","","","","","","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Name_10","What are the names of the household members who are currently in Grade 12? Name 10","DCW_970101.doc","string","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101201000","","","","","","","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_1","What are [uas_coronavirus_children_high_school_name_1]'s current plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201101","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Military_1","What are [uas_coronavirus_children_high_school_name_1]'s current plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201102","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Employment_1","What are [uas_coronavirus_children_high_school_name_1]'s current plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201103","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Technical_Training_1","What are [uas_coronavirus_children_high_school_name_1]'s current plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201104","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Community_College_1","What are [uas_coronavirus_children_high_school_name_1]'s current plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201105","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_College_1","What are [uas_coronavirus_children_high_school_name_1]'s current plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201106","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Remain_1","What are [uas_coronavirus_children_high_school_name_1]'s current plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201107","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Other_1","What are [uas_coronavirus_children_high_school_name_1]'s current plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201108","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_Changed_1","Have [uas_coronavirus_children_high_school_name_1]'s plans changed because of the coronavirus epidemic or school closures?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201109","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Plans_1","What were [uas_coronavirus_children_high_school_name_1]'s previous plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201110","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Military_1","What were [uas_coronavirus_children_high_school_name_1]'s previous plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201111","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Employment_1","What were [uas_coronavirus_children_high_school_name_1]'s previous plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201112","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Technical_Training_1","What were [uas_coronavirus_children_high_school_name_1]'s previous plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201113","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Community_College_1","What were [uas_coronavirus_children_high_school_name_1]'s previous plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201114","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_College_1","What were [uas_coronavirus_children_high_school_name_1]'s previous plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201115","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Remain_1","What were [uas_coronavirus_children_high_school_name_1]'s previous plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201116","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Other_1","What were [uas_coronavirus_children_high_school_name_1]'s previous plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 0","","PhenX","PX970101201117","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_2","What are [uas_coronavirus_children_high_school_name_2]'s current plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201201","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Military_2","What are [uas_coronavirus_children_high_school_name_2]'s current plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201202","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Employment_2","What are [uas_coronavirus_children_high_school_name_2]'s current plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201203","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Technical_Training_2","What are [uas_coronavirus_children_high_school_name_2]'s current plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201204","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Community_College_2","What are [uas_coronavirus_children_high_school_name_2]'s current plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201205","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_College_2","What are [uas_coronavirus_children_high_school_name_2]'s current plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201206","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Remain_2","What are [uas_coronavirus_children_high_school_name_2]'s current plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201207","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Other_2","What are [uas_coronavirus_children_high_school_name_2]'s current plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201208","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_Changed_2","Have [uas_coronavirus_children_high_school_name_2]'s plans changed because of the coronavirus epidemic or school closures?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201209","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Plans_2","What were [uas_coronavirus_children_high_school_name_2]'s previous plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201210","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Military_2","What were [uas_coronavirus_children_high_school_name_2]'s previous plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201211","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Employment_2","What were [uas_coronavirus_children_high_school_name_2]'s previous plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201212","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Technical_Training_2","What were [uas_coronavirus_children_high_school_name_2]'s previous plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201213","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Community_College_2","What were [uas_coronavirus_children_high_school_name_2]'s previous plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201214","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_College_2","What were [uas_coronavirus_children_high_school_name_2]'s previous plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201215","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Remain_2","What were [uas_coronavirus_children_high_school_name_2]'s previous plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201216","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Other_2","What were [uas_coronavirus_children_high_school_name_2]'s previous plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 1","","PhenX","PX970101201217","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_3","What are [uas_coronavirus_children_high_school_name_3]'s current plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201301","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Military_3","What are [uas_coronavirus_children_high_school_name_3]'s current plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201302","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Employment_3","What are [uas_coronavirus_children_high_school_name_3]'s current plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201303","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Technical_Training_3","What are [uas_coronavirus_children_high_school_name_3]'s current plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201304","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Community_College_3","What are [uas_coronavirus_children_high_school_name_3]'s current plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201305","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_College_3","What are [uas_coronavirus_children_high_school_name_3]'s current plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201306","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Remain_3","What are [uas_coronavirus_children_high_school_name_3]'s current plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201307","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Other_3","What are [uas_coronavirus_children_high_school_name_3]'s current plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201308","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_Changed_3","Have [uas_coronavirus_children_high_school_name_3]'s plans changed because of the coronavirus epidemic or school closures?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201309","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Plans_3","What were [uas_coronavirus_children_high_school_name_3]'s previous plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201310","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Military_3","What were [uas_coronavirus_children_high_school_name_3]'s previous plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201311","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Employment_3","What were [uas_coronavirus_children_high_school_name_3]'s previous plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 2","","PhenX","PX970101201312","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
