"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX980101_Covid19_Household_Finances_Household_Income_Change","Has your household income changed significantly since February 2020? (please EXCLUDE a stimulus payment from the federal government if you have received one)","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101010000","","","","","1 = Yes, my household income is more","2 = Yes, my household income is less","3 = No, my household income is about the same","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Emergency_Expense_Pay_Method_Stimulus","Suppose now you have an emergency expense that costs $400. Based on your current financial situation, how would you pay this expense? By using my stimulus payment","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Not at all difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Don't know'","","PhenX","PX980101050800","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Emergency_Expense_Pay_Method_Provider_Extension","Suppose now you have an emergency expense that costs $400. Based on your current financial situation, how would you pay this expense? By asking my landlord or mortgage provider for an extension","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Not at all difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Don't know'","","PhenX","PX980101050900","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Emergency_Expense_Pay_Method_Not_Able","Suppose now you have an emergency expense that costs $400. Based on your current financial situation, how would you pay this expense? I wouldn't be able to pay for the expense right now","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Not at all difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Don't know'","","PhenX","PX980101051000","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Emergency_Expense_Pay_Method_Other","Suppose now you have an emergency expense that costs $400. Based on your current financial situation, how would you pay this expense? Other","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Not at all difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Don't know'","","PhenX","PX980101051101","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Emergency_Expense_Pay_Method_Other_Specify","Please specify other way you would pay this expense","DCW_980101.doc","string","","","","","ASK IF 'Suppose now you have an emergency expense that costs $400. Based on your current financial situation, how would you pay this expense? Other' = 'Yes'","","PhenX","PX980101051102","","","","","","","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Expense_Pay_Method_Credit_Card_Next_Statement","What methods are you using or do you plan to use to cover your expenses? By putting it on my credit card and paying it off in full at the next statement","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Very difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Somewhat difficult'","","PhenX","PX980101060100","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Expense_Pay_Method_Credit_Card_Over_Time","What methods are you using or do you plan to use to cover your expenses? By putting it on my credit card and paying it off over time","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Very difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Somewhat difficult'","","PhenX","PX980101060200","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Expense_Pay_Method_Current_Money_Account","What methods are you using or do you plan to use to cover your expenses? With the money currently in my checking/savings account or with cash","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Very difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Somewhat difficult'","","PhenX","PX980101060300","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Expense_Pay_Method_Bank_Loan","What methods are you using or do you plan to use to cover your expenses? Using a bank loan or line of credit","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Very difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Somewhat difficult'","","PhenX","PX980101060400","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Expense_Pay_Method_Family_Friend","What methods are you using or do you plan to use to cover your expenses? By borrowing from a friend or family member","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Very difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Somewhat difficult'","","PhenX","PX980101060500","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Expense_Pay_Method_Payday_Loan_Advance_Overdraft","What methods are you using or do you plan to use to cover your expenses? Using a payday loan, deposit advance, or overdraft","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Very difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Somewhat difficult'","","PhenX","PX980101060600","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Expense_Pay_Method_Selling_Something","What methods are you using or do you plan to use to cover your expenses? By selling something","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Very difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Somewhat difficult'","","PhenX","PX980101060700","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Expense_Pay_Method_Stimulus","What methods are you using or do you plan to use to cover your expenses? By using my stimulus payment","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Very difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Somewhat difficult'","","PhenX","PX980101060800","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Expense_Pay_Method_Provider_Extension","What methods are you using or do you plan to use to cover your expenses? By asking my landlord or mortgage provider for an extension","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Very difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Somewhat difficult'","","PhenX","PX980101060900","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Expense_Pay_Method_Not_Able","What methods are you using or do you plan to use to cover your expenses? I wouldn't be able to pay for the expense right now","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Very difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Somewhat difficult'","","PhenX","PX980101061000","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Expense_Pay_Method_Other","What methods are you using or do you plan to use to cover your expenses? Other","DCW_980101.doc","encoded values","","","","","ASK IF 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Very difficult' OR 'In the past month, how difficult has it been for you to cover your expenses and pay all your bills?' = 'Somewhat difficult'","","PhenX","PX980101061101","","","","","1 = Yes","2 = No","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Expense_Pay_Method_Other_Specify","Please specify other method","DCW_980101.doc","string","","","","","ASK IF 'What methods are you using or do you plan to use to cover your expenses? Other' = 'Yes'","","PhenX","PX980101061102","","","","","","","","","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Receive_Apply_Income_Assistance_Unemployment_Insurance","Since February 2020, have you either received, applied for, or tried to apply for any of the following forms of income or assistance? Unemployment Insurance","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101070100","","","","","1 = Received","2 = Applied and waiting to receive","3 = Tried but was not able to apply for, or was not eligible","4 = Did not apply for","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Receive_Apply_Income_Assistance_Snap_Food_Stamp","Since February 2020, have you either received, applied for, or tried to apply for any of the following forms of income or assistance? SNAP (Supplemental Nutrition Assistance Program) or Food Stamps","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101070200","","","","","1 = Received","2 = Applied and waiting to receive","3 = Tried but was not able to apply for, or was not eligible","4 = Did not apply for","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Receive_Apply_Income_Assistance_Tanf","Since February 2020, have you either received, applied for, or tried to apply for any of the following forms of income or assistance? TANF (Temporary Assistance for Needy Families)","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101070300","","","","","1 = Received","2 = Applied and waiting to receive","3 = Tried but was not able to apply for, or was not eligible","4 = Did not apply for","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Receive_Apply_Income_Assistance_Social_Security","Since February 2020, have you either received, applied for, or tried to apply for any of the following forms of income or assistance? Social Security","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101070400","","","","","1 = Received","2 = Applied and waiting to receive","3 = Tried but was not able to apply for, or was not eligible","4 = Did not apply for","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Receive_Apply_Income_Assistance_Supplemental","Since February 2020, have you either received, applied for, or tried to apply for any of the following forms of income or assistance? Supplemental Social Security","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101070500","","","","","1 = Received","2 = Applied and waiting to receive","3 = Tried but was not able to apply for, or was not eligible","4 = Did not apply for","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Receive_Apply_Income_Assistance_Government_Health_Insurance","Since February 2020, have you either received, applied for, or tried to apply for any of the following forms of income or assistance? Any kind of government health insurance or health coverage plan including Medicaid, Medical Assistance or Medicare","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101070600","","","","","1 = Received","2 = Applied and waiting to receive","3 = Tried but was not able to apply for, or was not eligible","4 = Did not apply for","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Receive_Apply_Income_Assistance_Paycheck_Protection","Since February 2020, have you either received, applied for, or tried to apply for any of the following forms of income or assistance? Paycheck Protection Program","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101070700","","","","","1 = Received","2 = Applied and waiting to receive","3 = Tried but was not able to apply for, or was not eligible","4 = Did not apply for","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Receive_Apply_Income_Assistance_Other_Government_Aid","Since February 2020, have you either received, applied for, or tried to apply for any of the following forms of income or assistance? Other aid from the government","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101070800","","","","","1 = Received","2 = Applied and waiting to receive","3 = Tried but was not able to apply for, or was not eligible","4 = Did not apply for","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Receive_Apply_Income_Assistance_Union_Association","Since February 2020, have you either received, applied for, or tried to apply for any of the following forms of income or assistance? Assistance from a union or other association","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101070900","","","","","1 = Received","2 = Applied and waiting to receive","3 = Tried but was not able to apply for, or was not eligible","4 = Did not apply for","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Receive_Apply_Income_Assistance_Church_Religious_Organization","Since February 2020, have you either received, applied for, or tried to apply for any of the following forms of income or assistance? Assistance from a church or religious organization","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101071000","","","","","1 = Received","2 = Applied and waiting to receive","3 = Tried but was not able to apply for, or was not eligible","4 = Did not apply for","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Receive_Apply_Income_Assistance_Community_Organization","Since February 2020, have you either received, applied for, or tried to apply for any of the following forms of income or assistance? Assistance from another community organization","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101071100","","","","","1 = Received","2 = Applied and waiting to receive","3 = Tried but was not able to apply for, or was not eligible","4 = Did not apply for","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Receive_Apply_Income_Assistance_Food_Pantry","Since February 2020, have you either received, applied for, or tried to apply for any of the following forms of income or assistance? A food pantry","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101071200","","","","","1 = Received","2 = Applied and waiting to receive","3 = Tried but was not able to apply for, or was not eligible","4 = Did not apply for","","","","","","","","","","","","",""
"PX980101_Covid19_Household_Finances_Receive_Apply_Income_Assistance_Other","Since February 2020, have you either received, applied for, or tried to apply for any of the following forms of income or assistance? Other assistance","DCW_980101.doc","encoded values","","","","","","","PhenX","PX980101071300","","","","","1 = Received","2 = Applied and waiting to receive","3 = Tried but was not able to apply for, or was not eligible","4 = Did not apply for","","","","","","","","","","","","",""
