"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX320201_Chronic_Medical_Conditions_Self_Reported_Back_Pain_Problem","Do you have the problem? Back pain","DCW_320201.doc","encoded values","","","","","","","PhenX","PX320201120000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Rheumatoid_Arthritis_Problem","Do you have the problem? Rheumatoid arthritis","DCW_320201.doc","encoded values","","","","","","","PhenX","PX320201130000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Other_Medical_Problem","Do you have the problem? Other medical problems","DCW_320201.doc","encoded values","","","","","","","PhenX","PX320201140000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Other_Medical_Problems_Describe","Please write in:","DCW_320201.doc","string","","","","","ASK IF 'Do you have the problem? Other medical problems' = 'Yes'","","PhenX","PX320201150000","","","","","","","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Heart_Disease_Treatment","Do you receive treatment for it? Heart disease","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Heart disease' = 'Yes'","","PhenX","PX320201160000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_High_Blood_Pressure_Treatment","Do you receive treatment for it? High blood pressure","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? High blood pressure' = 'Yes'","","PhenX","PX320201170000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Lung_Disease_Treatment","Do you receive treatment for it? Lung disease","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Lung disease' = 'Yes'","","PhenX","PX320201180000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Diabetes_Treatment","Do you receive treatment for it? Diabetes","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Diabetes' = 'Yes'","","PhenX","PX320201190000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Ulcer_Stomach_Disease_Treatment","Do you receive treatment for it? Ulcer or stomach disease","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Ulcer or stomach disease' = 'Yes'","","PhenX","PX320201200000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Kidney_Disease_Treatment","Do you receive treatment for it? Kidney disease","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Kidney disease' = 'Yes'","","PhenX","PX320201210000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Liver_Disease_Treatment","Do you receive treatment for it? Liver disease","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Liver disease' = 'Yes'","","PhenX","PX320201220000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Anemia_Other_Blood_Disease_Treatment","Do you receive treatment for it? Anemia or other blood disease","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Anemia or other blood disease' = 'Yes'","","PhenX","PX320201230000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Cancer_Treatment","Do you receive treatment for it? Cancer","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Cancer' = 'Yes'","","PhenX","PX320201240000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Depression_Treatment","Do you receive treatment for it? Depression","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Depression' = 'Yes'","","PhenX","PX320201250000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Osteoarthritis_Degenerative_Arthritis_Treatment","Do you receive treatment for it? Osteoarthritis, degenerative arthritis","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Osteoarthritis, degenerative arthritis' = 'Yes'","","PhenX","PX320201260000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Back_Pain_Treatment","Do you receive treatment for it? Back pain","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Back pain' = 'Yes'","","PhenX","PX320201270000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Rheumatoid_Arthritis_Treatment","Do you receive treatment for it? Rheumatoid arthritis","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Rheumatoid arthritis' = 'Yes'","","PhenX","PX320201280000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Other_Medical_Problems_Treatment","Do you receive treatment for it? Other medical problems","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Other medical problems' = 'Yes'","","PhenX","PX320201290000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Heart_Disease_Limit_Activities","Does it limit your activities? Heart disease","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Heart disease' = 'Yes'","","PhenX","PX320201300000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_High_Blood_Pressure_Limit_Activities","Does it limit your activities? High blood pressure","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? High blood pressure' = 'Yes'","","PhenX","PX320201310000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Lung_Disease_Limit_Activities","Does it limit your activities? Lung disease","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Lung disease' = 'Yes'","","PhenX","PX320201320000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Diabetes_Limit_Activities","Does it limit your activities? Diabetes","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Diabetes' = 'Yes'","","PhenX","PX320201330000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Ulcer_Stomach_Disease_Limit_Activities","Does it limit your activities? Ulcer or stomach disease","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Ulcer or stomach disease' = 'Yes'","","PhenX","PX320201340000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Kidney_Disease_Limit_Activities","Does it limit your activities? Kidney disease","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Kidney disease' = 'Yes'","","PhenX","PX320201350000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Liver_Disease_Limit_Activities","Does it limit your activities? Liver disease","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Liver disease' = 'Yes'","","PhenX","PX320201360000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Anemia_Other_Blood_Disease_Limit_Activities","Does it limit your activities? Anemia or other blood disease","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Anemia or other blood disease' = 'Yes'","","PhenX","PX320201370000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Cancer_Limit_Activities","Does it limit your activities? Cancer","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Cancer' = 'Yes'","","PhenX","PX320201380000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Depression_Limit_Activities","Does it limit your activities? Depression","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Depression' = 'Yes'","","PhenX","PX320201390000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Osteoarthritis_Degenerative_Arthritis_Limit_Activities","Does it limit your activities? Osteoarthritis, degenerative arthritis","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Osteoarthritis, degenerative arthritis' = 'Yes'","","PhenX","PX320201400000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Back_Pain_Limit_Activities","Does it limit your activities? Back pain","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Back pain' = 'Yes'","","PhenX","PX320201410000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Rheumatoid_Arthritis_Limit_Activities","Does it limit your activities? Rheumatoid arthritis","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Rheumatoid arthritis' = 'Yes'","","PhenX","PX320201420000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Other_Medical_Problems_Limit_Activities","Does it limit your activities? Other medical problems","DCW_320201.doc","encoded values","","","","","ASK IF 'Do you have the problem? Other medical problems' = 'Yes'","","PhenX","PX320201430000","","","","","0 = No","1 = Yes","","","","","","","","",""
