"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX992101_Long_Covid_Daily_Living_Household_Chores_Today_Help_Need","Doing household chores - TODAY, how much help do you need doing household chores?","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101040200","","","","","None, I can perform these tasks independently","A little help","A Lot of help","Unable to perform task","","","",""
"PX992101_Long_Covid_Daily_Living_Household_Chores_Impact","Doing household chores - Please state which activities, if any, have been impacted and describe how they have been impacted.","DCW_992101.doc","string","","","","","","","PhenX","PX992101040300","","","","","","","","","","","",""
"PX992101_Long_Covid_Daily_Living_Personal_Affairs_Before_Help_Need","Managing personal affairs - BEFORE you were diagnosed with COVID-19, how much help did you need managing your personal affairs?","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101050100","","","","","None, I can perform these tasks independently","A little help","A Lot of help","Unable to perform task","","","",""
"PX992101_Long_Covid_Daily_Living_Personal_Affairs_Today_Help_Need","Managing personal affairs - TODAY, how much help do you need managing your personal affairs?","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101050200","","","","","None, I can perform these tasks independently","A little help","A Lot of help","Unable to perform task","","","",""
"PX992101_Long_Covid_Daily_Living_Personal_Affairs_Impact","Managing personal affairs - Please state which activities, if any, have been impacted and describe how they have been impacted.","DCW_992101.doc","string","","","","","","","PhenX","PX992101050300","","","","","","","","","","","",""
"PX992101_Long_Covid_Daily_Living_Shortness_Breath","Do you experience shortness of breath or fatigue when performing any activities in the following categories? Please select all that apply.","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101060000","","","","","Climbing stairs or transferring","Personal grooming and dressing","Using the toilet and bathing","Doing household chores","Managing personal affairs","","",""
"PX992101_Long_Covid_Daily_Living_Shortness_Breath_Climb_Stairs_Transfer","When you are climbing stairs or transferring, how often do you feel shortness of breath/fatigue?","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101070000","","","","","0-25% of the time","25-50% of the time","50-75% of the time","75-100% of the time","","","",""
"PX992101_Long_Covid_Daily_Living_Shortness_Breath_Personal_Grooming_Dressing","When you are dressing or performing personal grooming, how often do you feel shortness of breath/fatigue?","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101080000","","","","","0-25% of the time","25-50% of the time","50-75% of the time","75-100% of the time","","","",""
"PX992101_Long_Covid_Daily_Living_Shortness_Breath_Toilet_Bath","When you are using the toilet or bathing, how often do you feel shortness of breath/fatigue?","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101090000","","","","","0-25% of the time","25-50% of the time","50-75% of the time","75-100% of the time","","","",""
"PX992101_Long_Covid_Daily_Living_Shortness_Breath_Household_Chores","When you are doing household chores, how often do you feel shortness of breath/fatigue?","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101100000","","","","","0-25% of the time","25-50% of the time","50-75% of the time","75-100% of the time","","","",""
"PX992101_Long_Covid_Daily_Living_Shortness_Breath_Personal_Affairs","When you are managing your personal affairs, how often do you feel shortness of breath/fatigue?","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101110000","","","","","0-25% of the time","25-50% of the time","50-75% of the time","75-100% of the time","","","",""
