"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX992201_Long_Covid_Physical_Function_Today_Ease_Walk_Twenty_Steps","How easy is it for you to walk up 20 steps?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201170000","","","","","Very easy","Somewhat easy","Not so easy","Refuse to answer","","","",""
"PX992201_Long_Covid_Physical_Function_Today_Difficulty_Walk_Light_Housework_Any","Do you have difficulty doing light housework such as doing dishes, straightening up or light cleaning by yourself?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201180000","","","","","Yes","No","Refuse to answer","","","","",""
"PX992201_Long_Covid_Physical_Function_Today_Difficulty_Walk_Light_Housework_How_Much","How much difficulty do you have doing light housework?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201190000","","","","","A little","Some","A lot","Unable to do","Refuse to answer","","",""
"PX992201_Long_Covid_Physical_Function_Before_Difficulty_Walk_Light_Housework_Any","Did you have difficulty doing light housework before your COVID-19 illness?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201200000","","","","","Yes","No","Refuse to answer","","","","",""
"PX992201_Long_Covid_Physical_Function_Today_Difficulty_Walk_Heavy_Housework_Any","Do you have difficulty doing heavy housework such as vacuuming and washing windows, walls, or floors?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201210000","","","","","Yes","No","Refuse to answer","","","","",""
"PX992201_Long_Covid_Physical_Function_Today_Difficulty_Walk_Heavy_Housework_How_Much","How much difficulty do you have doing heavy housework?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201220000","","","","","A little","Some","A lot","Unable to do","Refuse to answer","","",""
"PX992201_Long_Covid_Physical_Function_Before_Difficulty_Walk_Heavy_Housework_Any","Did you have difficulty doing heavy housework before your COVID-19 illness?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201230000","","","","","Yes","No","Refuse to answer","","","","",""
"PX992201_Long_Covid_Physical_Function_Before_Strenuous_Exercise_Times_Per_Week","Prior to your initial COVID-19 illness, during a typical 7-day period (a week), how many times on average did you do the following kinds of exercise for more than 15 minutes during your free time? Strenuous exercise (heart beats rapidly)?","DCW_992201.doc","integer","","0","","","","","PhenX","PX992201240100","","","","","","","","","","","",""
"PX992201_Long_Covid_Physical_Function_Before_Moderate_Exercise_Times_Per_Week","Prior to your initial COVID-19 illness, during a typical 7-day period (a week), how many times on average did you do the following kinds of exercise for more than 15 minutes during your free time? Moderate exercise (not exhausting)?","DCW_992201.doc","integer","","0","","","","","PhenX","PX992201240200","","","","","","","","","","","",""
"PX992201_Long_Covid_Physical_Function_Before_Light_Exercise_Times_Per_Week","Prior to your initial COVID-19 illness, during a typical 7-day period (a week), how many times on average did you do the following kinds of exercise for more than 15 minutes during your free time? Mild/light exercise (minimal effort)?","DCW_992201.doc","integer","","0","","","","","PhenX","PX992201240300","","","","","","","","","","","",""
"PX992201_Long_Covid_Physical_Function_After_Strenuous_Exercise_Times_Per_Week","Since your initial COVID-19 illness, during a typical 7-day period (a week), how many times on average do you do the following kinds of exercise for more than 15 minutes during your free time? Strenuous exercise (heart beats rapidly)?","DCW_992201.doc","integer","","0","","","","","PhenX","PX992201250100","","","","","","","","","","","",""
"PX992201_Long_Covid_Physical_Function_After_Moderate_Exercise_Times_Per_Week","Since your initial COVID-19 illness, during a typical 7-day period (a week), how many times on average do you do the following kinds of exercise for more than 15 minutes during your free time? Moderate exercise (not exhausting)?","DCW_992201.doc","integer","","0","","","","","PhenX","PX992201250200","","","","","","","","","","","",""
"PX992201_Long_Covid_Physical_Function_After_Light_Exercise_Times_Per_Week","Since your initial COVID-19 illness, during a typical 7-day period (a week), how many times on average do you do the following kinds of exercise for more than 15 minutes during your free time? Mild/light exercise (minimal effort)?","DCW_992201.doc","integer","","0","","","","","PhenX","PX992201250300","","","","","","","","","","","",""
