"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Symptoms_Tachycardia","When did you experience these symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. Tachycardia (high heart rate, >90 beats per minute):","DCW_992008.doc","enumerated","","","","","","","PhenX","PX992008020101","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,Month 6,Month 7"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Symptoms_Bradycardia","When did you experience these symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. Bradycardia (low heart rate,<60 beats per minute):","DCW_992008.doc","enumerated","","","","","","","PhenX","PX992008020102","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,Month 6,Month 7"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Symptoms_Heart_Palpitations","When did you experience these symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. Heart palpitations (sensation or awareness of your heart beating. Feeling like your heart is racing, thumping or skipping beats):","DCW_992008.doc","enumerated","","","","","","","PhenX","PX992008020103","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,Month 6,Month 7"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Symptoms_High_Blood_Pressure","When did you experience these symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. Abnormally high blood pressure:","DCW_992008.doc","enumerated","","","","","","","PhenX","PX992008020104","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,Month 6,Month 7"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Symptoms_Low_Blood_Pressure","When did you experience these symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. Abnormally low blood pressure:","DCW_992008.doc","enumerated","","","","","","","PhenX","PX992008020105","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,Month 6,Month 7"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Symptoms_Visibly_Inflamed_Veins","When did you experience these symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. Visibly inflamed/bulging veins:","DCW_992008.doc","enumerated","","","","","","","PhenX","PX992008020106","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,Month 6,Month 7"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Symptoms_Fainting","When did you experience these symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. Fainting:","DCW_992008.doc","enumerated","","","","","","","PhenX","PX992008020107","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,Month 6,Month 7"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Symptoms_Blood_Clots","When did you experience these symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. Blood clots (Thrombosis):","DCW_992008.doc","enumerated","","","","","","","PhenX","PX992008020108","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,Month 6,Month 7"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Symptoms_Maximum_Tachycardia_Rest","If you had tachycardia and were able to measure it, what was the maximum heart rate (in bpm) that you measured, at rest?","DCW_992008.doc","integer","BPM","","","","","","PhenX","PX992008020200","","","","","","","","","","","",",,,"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Maximum_Tachycardia_Exertion","If you had tachycardia and were able to measure it, what was the maximum heart rate (in bpm) that you measured, at exertion (during physical activity)?","DCW_992008.doc","integer","BPM","","","","","","PhenX","PX992008020300","","","","","","","","","","","",",,,"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Tachycardia_Sitting_Standing_Higher","If you had tachycardia and were able to measure it, was your heartrate higher when standing compared to sitting?","DCW_992008.doc","enumerated","","","","","","","PhenX","PX992008020400","","","","","Yes, it was higher when I was standing","No, it was higher when I was sitting","It was about the same while standing or sitting","","","","",",,,"
"PX992008_Long_Covid_Symptoms_Temperature_Cardiovascular_Tachycardia_Lying_Standing_Change","If you had tachycardia and were able to measure it, how much did your heart rate generally change from lying position to standing, last time you measured?","DCW_992008.doc","integer","BPM","","","","","","PhenX","PX992008020500","","","","","","","","","","","",",,,"
