VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,
PX660701_FamilyHistory_MentalDisorders_OtherDisorders_Rate_Impairment,Rate and code impairment or incapacitation:,DCW_660701.doc,encoded,,,,,,,PhenX,PX660701020600,,,,,0 = None,1 = Impaired,2 = Incapacitated,9 = Unknown,,
PX660701_FamilyHistory_MentalDisorders_OtherDisorders_Interviewer_Judgement,Interviewer judgement on reliability of this information:,DCW_660701.doc,encoded,,,,,,,PhenX,PX660701020700,,,,,1 = Good,2 = Fair,3 = Poor,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Interview_Date,What's the interview date?,DCW_660701.doc,date,,,,,,,PhenX,PX660701030100,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_LastName,What is the family last name?,DCW_660701.doc,string,,,,,,,PhenX,PX660701030200,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Id,What is the family ID number?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701030300,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Informant_Name,"What is the first, middle, and last name of the Informant?",DCW_660701.doc,string,,,,,,,PhenX,PX660701030400,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Informant_Id,What is the Informant's ID number?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701030500,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Adopted,Was anyone adopted?,DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701030600,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Mental_Retardation,Was anyone mentally retarded?,DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701030700,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Nerves,Have problems with their nerves or emotions?,DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701030800,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Nerves_Medication,Take medicine or see a doctor for it?,DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701030900,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Nerves_Lithium,Take lithium?,DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701031000,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Depression,"Feel very low for a couple of weeks or more, or have a diagnosis of depression?",DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701031100,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Suicide,Attempt or complete suicide?,DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701031200,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Mania,"Seem overexcited (or manic) day and night, or have a diagnosis of mania?",DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701031300,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Visions,"Have visions, hear voices, or have beliefs that seem strange or unreal?",DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701031400,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Schizophrenia,"Have unusual or bizarre behavior, or have a diagnosis of schizophrenia?",DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701031500,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Trouble,"Have trouble with the police, with completing school, or with keeping a job?",DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701031600,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Substance_Abuse,"Have alcohol or drug use that caused problems (with health, family, job, or police)? Go to AA or NA, or have treatment for this?",DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701031700,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Hospitalization,"(Was anyone) hospitalized for psychiatric problems, or for drug or alcohol problems?",DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701031800,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Inherited_Disease,Have inherited medical diseases such as Huntington’s disease or seizure disorder or any other disorders of the brain or nervous system?,DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701031900,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Loner,"(Did anyone) have few friends, or seem to be a loner?",DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701032000,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Behavior,(Did anyone) seem odd or eccentric in behavior or appearance?,DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701032100,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_GeneralScreening_Delusion,"(Was anyone) extremely jealous, or suspicious, or believe in magic, or see special meanings in things that no one else saw?",DCW_660701.doc,enumerated,,,,,,,PhenX,PX660701032200,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Interview_Date,What's the interview date?,DCW_660701.doc,date,,,,,,,PhenX,PX660701040100,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Depression_LastName,What is the family last name?,DCW_660701.doc,string,,,,,,,PhenX,PX660701040200,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Id,What is the family ID number?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701040300,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Informant_Name,"What is the first, middle, and last name of the Informant?",DCW_660701.doc,string,,,,,,,PhenX,PX660701040400,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Informant_Id,What is the Informant's ID number?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701040500,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Daily,"During depression, was he/she depressed most of the day, nearly every day, for as long as a week or more?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701040600,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Interest,"During depression, did he/she lose interest in things or become unable to enjoy most things, for as long as a week?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701040700,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Appetite,"During depression, did he/she have a change in appetite or weight without trying to?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701040800,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Sleep,"During depression, did he/she have a change in sleep patterns (either too much or too little)?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701040900,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Responsibilities,"During depression, did he/she become unable to work, go to school, or take care of household responsibilities?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701041000,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Responsibilities_Describe,"If Yes, describe",DCW_660701.doc,string,,,,,,,PhenX,PX660701041100,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Slower,"During depression, did he/she move or speak more slowly than usual?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701041200,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Hands,"During depression, did he/she pace or wring his/her hands?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701041300,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Energy,"During depression, did he/she have less energy or feel tired out?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701041400,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Blame,"During depression, did he/she feel guilty, worthless or blame himself/herself?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701041500,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Concentration,"During depression, did he/she have trouble concentrating or making decisions?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701041600,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Suicide,"During depression, did he/she talk of death or suicide? Or try suicide?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701041700,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Delusion,"During depression, did he/she have visions, or hear voices, or have beliefs or behavior that seem strange or unusual, at the same time as (symptoms above)? (If YES, complete a Psychosis Checklist after this one.)",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701041800,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Treatment,Code and describe professional treatment:,DCW_660701.doc,encoded,,,,,,,PhenX,PX660701041901,,,,,0 = None,1 = Inpatient,2 = Outpatient,3 = ECT,4 = Medication,9 = Unknown
PX660701_FamilyHistory_MentalDisorders_Depression_Treatment_Inpatient,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF inpatient encoded,,PhenX,PX660701041902,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Treatment_Outpatient,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF outpatient encoded,,PhenX,PX660701041903,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Treatment_Ect,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF ECT encoded,,PhenX,PX660701041904,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Treatment_Medication,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF Medication encoded,,PhenX,PX660701041905,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Onset,What was the age of onset?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701042000,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Episodes,What is the number of episodes?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701042100,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Episode_Duration,What is the duration of longest episode in weeks?,DCW_660701.doc,integer,weeks,,,,,,PhenX,PX660701042200,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Depression_Rate_Impairment,Rate and code impairment or incapacitation:,DCW_660701.doc,encoded,,,,,,,PhenX,PX660701042300,,,,,0 = None,1 = Modified RDC Impairment,2 = Modified RDC Incapacitation,3 = RDC Minor Role Dysfunction,4 = Change from previous functioning,9 = Unknown
PX660701_FamilyHistory_MentalDisorders_Depression_Interviewer_Judgement,Interviewer judgement on reliability of this information:,DCW_660701.doc,encoded,,,,,,,PhenX,PX660701042400,,,,,1 = Good,2 = Fair,3 = Poor,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Interview_Date,What's the interview date?,DCW_660701.doc,date,,,,,,,PhenX,PX660701050100,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Mania_LastName,What is the family last name?,DCW_660701.doc,string,,,,,,,PhenX,PX660701050200,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Id,What is the family ID number?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701050300,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Informant_Name,"What is the first, middle, and last name of the Informant?",DCW_660701.doc,string,,,,,,,PhenX,PX660701050400,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Informant_Id,What is the Informant's ID number?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701050500,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Happy,"For most of the time day and night over several days, did he/she (more than usual), seem too happy/high/excited?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701050600,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Excited,"For most of the time day and night over several days, did he/she (more than usual), become so excited or agitated it was impossible to converse with him/her?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701050700,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Irritable,"For most of the time day and night over several days, did he/she (more than usual), act very irritable or angry?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701050800,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Sleep,"For most of the time day and night over several days, did he/she (more than usual), need less sleep without feeling tired?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701050900,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Judgement,"For most of the time day and night over several days, did he/she (more than usual), show poor judgement (e.g., spending sprees, sexual indiscretions?)",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701051000,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Judgement_Describe,"If Yes, describe",DCW_660701.doc,string,,,,,,,PhenX,PX660701051100,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Obnoxious,"For most of the time day and night over several days, did he/she (more than usual), behave in such a way as to cause difficulty for those around him/her (obnoxious/manipulative)?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701051200,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Powers,"For most of the time day and night over several days, did he/she (more than usual), feel that he/she had special gifts or powers?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701051300,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Talkative,"For most of the time day and night over several days, did he/she (more than usual), become more talkative than usual?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701051400,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Focus,"For most of the time day and night over several days, did he/she (more than usual), jump from one idea to another?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701051500,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Distracted,"For most of the time day and night over several days, did he/she (more than usual), become easily distracted?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701051600,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Occupied,"For most of the time day and night over several days, did he/she (more than usual), get involved in too many activities at work or school?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701051700,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Visions,"For most of the time day and night over several days, did he/she (more than usual), have visions? hear voices? have beliefs or behavior that seem strange or unusual? at the same time as (above symptoms)? (If YES, complete a Psychosis Checklist after this one.)",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701051800,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Treatment,Code and describe professional treatment:,DCW_660701.doc,encoded,,,,,,,PhenX,PX660701051901,,,,,0 = None,1 = Inpatient,2 = Outpatient,3 = ECT,4 = Medication,9 = Unknown
PX660701_FamilyHistory_MentalDisorders_Mania_Treatment_Inpatient,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF inpatient encoded,,PhenX,PX660701051902,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Treatment_Outpatient,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF outpatient encoded,,PhenX,PX660701051903,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Treatment_Ect,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF ECT encoded,,PhenX,PX660701051904,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Treatment_Medication,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF Medication encoded,,PhenX,PX660701051905,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Onset,What was the age of onset?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701052000,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Episodes,What is the number of episodes?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701052100,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Episode_Duration,What is the duration of longest episode in weeks?,DCW_660701.doc,integer,weeks,,,,,,PhenX,PX660701052200,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Mania_Rate_Impairment,Rate and code impairment or incapacitation:,DCW_660701.doc,encoded,,,,,,,PhenX,PX660701052300,,,,,0 = None,1 = Modified RDC Impairment,2 = Modified RDC Incapacitation,3 = RDC Minor Role Dysfunction,4 = Change from previous functioning,9 = Unknown
PX660701_FamilyHistory_MentalDisorders_Mania_Interviewer_Judgement,Interviewer judgement on reliability of this information:,DCW_660701.doc,encoded,,,,,,,PhenX,PX660701052400,,,,,1 = Good,2 = Fair,3 = Poor,,,
PX660701_FamilyHistory_MentalDisorders_SubstanceAbuse_Interview_Date,What's the interview date?,DCW_660701.doc,date,,,,,,,PhenX,PX660701060100,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_SubstanceAbuse_LastName,What is the family last name?,DCW_660701.doc,string,,,,,,,PhenX,PX660701060200,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_SubstanceAbuse_Id,What is the family ID number?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701060300,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_SubstanceAbuse_Informant_Name,"What is the first, middle, and last name of the Informant?",DCW_660701.doc,string,,,,,,,PhenX,PX660701060400,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_SubstanceAbuse_Informant_Id,What is the Informant's ID number?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701060500,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_SubstanceAbuse_Subject_Name,"What is the first, middle, and last name of the person being described?",DCW_660701.doc,string,,,,,,,PhenX,PX660701060600,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_SubstanceAbuse_Subject_Id,What is the ID number of the person being described?,DCW_660701.doc,string,,,,,,,PhenX,PX660701060700,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Control,"Because of drinking, did he/she ever have problems such as being unable to stop or cut down on drinking?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701060800,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Time,"Because of drinking, did he/she ever have problems such as spending a lot of time drinking or being hung over?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701060900,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Responsibilities,"Because of drinking, did he/she ever have problems such as being unable to work, go to school, or take care of household responsibilities?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701061000,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Hurt,"Because of drinking, did he/she ever have problems such as being high from drinking when he/she could get hurt?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701061100,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Accidents,"Because of drinking, did he/she ever have problems such as accidental injuries?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701061200,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Priorities,"Because of drinking, did he/she ever have problems such as reducing or giving up important activities?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701061300,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Objections,"Because of drinking, did he/she ever have problems such as objections from the family or friends, at work or school?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701061400,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Legal_Trouble,"Because of drinking, did he/she ever have problems such as legal problems more than once (DWIs, arrests)?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701061500,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Blackouts,"Because of drinking, did he/she ever have problems such as blackouts more than once?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701061600,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Binges,"Because of drinking, did he/she ever have problems such as binges or benders more than once?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701061700,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Physical_Health,"Because of drinking, did he/she ever have problems such as physical health problems (liver disease, pancreatitis)?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701061800,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Psychological_Health,"Because of drinking, did he/she ever have problems such as emotional or psychological problems (uninterested, depressed, suspicious/paranoid, having strange ideas)?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701061900,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Withdrawal,"Because of drinking, did he/she ever have problems such as withdrawal symptoms (shakes, seizures/convulsions, DTs)?",DCW_660701.doc,encoded,,,,,,,PhenX,PX660701062000,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Treatment,Did he/she go to AA or have any kind of treatment? (Code and describe all that apply),DCW_660701.doc,encoded,,,,,,,PhenX,PX660701062101,,,,,0 = None,1 = Inpatient,2 = Outpatient,3 = AA or other self help,4 = Medication,9 = Unknown
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Treatment_Inpatient,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF inpatient encoded,,PhenX,PX660701062102,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Treatment_Outpatient,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF outpatient encoded,,PhenX,PX660701062103,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Treatment_AA,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF AA encoded,,PhenX,PX660701062104,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Treatment_Medication,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF Medication encoded,,PhenX,PX660701062105,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Alcoholism_Problem,Does he/she currently have a problem with alcohol?,DCW_660701.doc,encoded,,,,,,,PhenX,PX660701062200,,,,,0 = No,1 = Yes,9 = Unknown,,,
