VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Medications_Dose,Medications taken before the test (dose),DCW_090602.doc,numeric,mL,,,,,,PhenX,PX090602250100,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Medications_Time,Medications taken before the test (time),DCW_090602.doc,time,,,,,,,PhenX,PX090602250200,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Supplemental_Oxygen,Supplemental oxygen during the test ,DCW_090602.doc,numeric,mm Hg,,,,,,PhenX,PX090602260000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Baseline_Time,Baseline - Time,DCW_090602.doc,time,,,,,,,PhenX,PX090602270000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Baseline_Heart_Rate,Baseline - Heart rate,DCW_090602.doc,numeric,bpm,,,,,,PhenX,PX090602280000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Baseline_Dyspnea,Baseline - Dyspnea (Borg Scale),DCW_090602.doc,numeric,,,,,,,PhenX,PX090602290000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Baseline_Fatigue,Baseline - Fatigue (Borg Scale),DCW_090602.doc,numeric,,,,,,,PhenX,PX090602300000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Baseline_Oxygen_Saturation,Baseline - SpO2,DCW_090602.doc,numeric,percent,,,,,,PhenX,PX090602310000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_End_Time,End of test - Time,DCW_090602.doc,time,,,,,,,PhenX,PX090602320000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_End_Heart_Rate,End of test - Heart rate,DCW_090602.doc,numeric,beats per min,,,,,,PhenX,PX090602330000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_End_Dyspnea,End of test - Dyspnea (Borg Scale),DCW_090602.doc,numeric,,,,,,,PhenX,PX090602340000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_End_Fatigue,End of test - Fatigue (Borg Scale),DCW_090602.doc,numeric,,,,,,,PhenX,PX090602350000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_End_Oxygen_Saturation,End of test - SpO2,DCW_090602.doc,numeric,percent,,,,,,PhenX,PX090602360000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Exercise_Stop_Six_Minutes,Stopped or paused before 6 minutes,DCW_090602.doc,enumerated,,,,,,,PhenX,PX090602370100,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Exercise_Stop_Six_Minutes_Reason,Stopped or paused before 6 minutes; reason:,DCW_090602.doc,string,,,,,,,PhenX,PX090602370200,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Exercise_Symptoms,Other symptoms at end of exercise,DCW_090602.doc,enumerated,,,,,,,PhenX,PX090602380000,,,,,angina,dizziness,hip pain,leg pain,calf pain,,,,,,,
PX090602_Exercise_Capacity_Total_Distance,Total distance walked in 6 minutes (Number of laps * 60 meters + final partial lap (in meters)),DCW_090602.doc,numeric,meters,,,,,,PhenX,PX090602390000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Predicted_Distance,Predicted distance,DCW_090602.doc,numeric,meters,,,,,,PhenX,PX090602400000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Predicted_Distance_Percent,Percent predicted,DCW_090602.doc,numeric,percent,,,,,,PhenX,PX090602410000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Technician_Comments,Tech comments,DCW_090602.doc,string,,,,,,,PhenX,PX090602420000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Pulse_Oximetry_Baseline_Heart_Rate,"If pulse oximetry is performed, what is the baseline heart rate?",DCW_090602.doc,numeric,beats per min,,,,,,PhenX,PX090602430100,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Pulse_Oximetry_Baseline_Oxygen_Saturation,"If pulse oximetry is performed, what is the baseline oxygen saturation (SpO2)?",DCW_090602.doc,numeric,percent,,,,,,PhenX,PX090602430200,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Baseline_Dyspnea_Rating,How would you rate the baseline dyspnea using the Borg scale of the patient?,DCW_090602.doc,encoded values,,,,,,,PhenX,PX090602440100,,,,,0 = Nothing at all,"0.5 = Very, very slight (just noticeable)",1 = Very slight,2 = Slight (light),3 = Moderate,4 = Somewhat severe,5 = Severe (heavy),6,7 = Very severe,8,9,"10 = Very, very severe (maximal)"
PX090602_Exercise_Capacity_Overall_Fatigue_Rating,How would you rate the overall fatigue using the Borg scale of the patient?,DCW_090602.doc,encoded values,,,,,,,PhenX,PX090602440200,,,,,0 = Nothing at all,"0.5 = Very, very slight (just noticeable)",1 = Very slight,2 = Slight (light),3 = Moderate,4 = Somewhat severe,5 = Severe (heavy),6,7 = Very severe,8,9,"10 = Very, very severe (maximal)"
