VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX240901_Gestational_Age_Retrieval_Date,What was your retrieval date (mmm-dd-yyyy)?,DCW_240901.doc,date,,,,,,,PhenX,PX240901090000,,,,,,,,,,,,,,,,
PX240901_Gestational_Age_Eggs_Retrieved,How many eggs were retrieved?,DCW_240901.doc,integer,eggs,,,,,,PhenX,PX240901100000,,,,,,,,,,,,,,,,
PX240901_Gestational_Age_Last_Normal_Period,When did your last entirely normal period begin (mmm-dd-yyyy)?,DCW_240901.doc,date,,,,,,,PhenX,PX240901110000,,,,,,,,,,,,,,,,
PX240901_Gestational_Age_First_Prenatal_Date,When did you first go to a doctor or clinic for prenatal care (mmm-dd-yyyy)?,DCW_240901.doc,date,,,,,,,PhenX,PX240901120100,,,,,,,,,,,,,,,,
PX240901_Gestational_Age_First_Prenatal_Weeks,When did you first go to a doctor or clinic for prenatal care (week of pregnancy)?,DCW_240901.doc,integer,weeks,,,,,,PhenX,PX240901120200,,,,,,,,,,,,,,,,
PX240901_Gestational_Age_Due_Date,What due date were you given then (mmm-dd-yyyy)?,DCW_240901.doc,date,,,,,,,PhenX,PX240901130000,,,,,,,,,,,,,,,,
PX240901_Gestational_Age_First_Ultrasound_Date,When was your first ultrasound performed? (mmm-dd-yyyy),DCW_240901.doc,date,,,,,,,PhenX,PX240901140100,,,,,,,,,,,,,,,,
PX240901_Gestational_Age_First_Ultrasound_Weeks,When was your first ultrasound performed? week of pregnancy,DCW_240901.doc,integer,weeks,,,,,,PhenX,PX240901140200,,,,,,,,,,,,,,,,
PX240901_Gestational_Age_Ultrasound_Doctor,Did the ultrasound give the same due date as your doctor or nurse?,DCW_240901.doc,encoded values,,,,,,,PhenX,PX240901150000,,,,,0 = No,1 = Yes,,,,,,,,,,
PX240901_Gestational_Age_Ultrasound_Due_Date,If NO: What date did the ultrasound give (mmm-dd-yyyy)?,DCW_240901.doc,date,,,,,ASK IF Q15 = NO,,PhenX,PX240901160000,,,,,,,,,,,,,,,,
PX240901_Gestational_Age_Change_Due_Date,Did anyone ever change your due date?,DCW_240901.doc,encoded values,,,,,,,PhenX,PX240901170000,,,,,0 = No,1 = Yes,,,,,,,,,,
PX240901_Gestational_Age_Change_Due_Date_Reason,If YES: Why?,DCW_240901.doc,encoded values,,,,,ASK IF Q17 = YES,,PhenX,PX240901180000,,,,,1 = baby was too small,2 = baby was too big,3 = other,,,,,,,,,
PX240901_Gestational_Age_Final_Due_Date,What was the final due date (mmm-dd-yyyy)?,DCW_240901.doc,date,,,,,,,PhenX,PX240901190000,,,,,,,,,,,,,,,,
