VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,
PX510801_AddictionSeverity_Abstinence_End,How many months ago did this abstinence end?,DCW_510801.doc,integer,months,,,,,,PhenX,PX510801004700,,,,,,,,,,,,,
PX510801_AddictionSeverity_Alcohol_Delerious_Tremors,How many times have you *Had alcohol d.t.’s,DCW_510801.doc,integer,,,,,,,PhenX,PX510801004800,,,,,,,,,,,,,
PX510801_AddictionSeverity_Drug_Overdoses,How many times have you Overdosed on drugs,DCW_510801.doc,integer,,,,,,,PhenX,PX510801004900,,,,,,,,,,,,,
PX510801_AddictionSeverity_Alcohol_Treatment,How many times in your life have you been treated for alcohol abuse?,DCW_510801.doc,integer,,,,,,,PhenX,PX510801005000,,,,,,,,,,,,,
PX510801_AddictionSeverity_Drug_Treatment,How many times in your life have you been treated for drug abuse?,DCW_510801.doc,integer,,,,,,,PhenX,PX510801005100,,,,,,,,,,,,,
PX510801_AddictionSeverity_Detox_Alcohol,How many of these were detox only? Alcohol,DCW_510801.doc,integer,,,,,,,PhenX,PX510801005200,,,,,,,,,,,,,
PX510801_AddictionSeverity_Detox_Drug,How many of these were detox only? Drug,DCW_510801.doc,integer,,,,,,,PhenX,PX510801005300,,,,,,,,,,,,,
PX510801_AddictionSeverity_Spent_On_Alcohol,How much would you say you spent during the past 30 days on: Alcohol,DCW_510801.doc,integer,,,,,,,PhenX,PX510801005400,,,,,,,,,,,,,
PX510801_AddictionSeverity_Spent_On_Drugs,How much would you say you spent during the past 30 days on: Drugs,DCW_510801.doc,integer,,,,,,,PhenX,PX510801005500,,,,,,,,,,,,,
PX510801_AddictionSeverity_Outpatient_Past_Month,"How many days have you been treated in an outpatient setting for alcohol or drugs in the past 30 days (Include NA, AA).",DCW_510801.doc,integer,days,,,,,,PhenX,PX510801005600,,,,,,,,,,,,,
PX510801_AddictionSeverity_Alcohol_Problems_Past_Month,How many days in the past 30 have you experience alcohol problems?,DCW_510801.doc,integer,days,,,,,,PhenX,PX510801005700,,,,,,,,,,,,,
PX510801_AddictionSeverity_Drug_Problems_Past_Month,How many days in the past 30 have you experience drug problems,DCW_510801.doc,integer,days,,,,,,PhenX,PX510801005800,,,,,,,,,,,,,
PX510801_AddictionSeverity_Troubled_Alcohol_Problems,How troubled or bothered have you been in the past 30 days by these: Alcohol Problems,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801005900,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Troubled_Drug_Problems,How troubled or bothered have you been in the past 30 days by these: Drug Problems,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801006000,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Treatment_Alcohol_Problems,How important to you now is treatment for these: Alcohol Problems,DCW_510801.doc,string,,,,,,,PhenX,PX510801006100,,,,,,,,,,,,,
PX510801_AddictionSeverity_Treatment_Drug_Problems,How important to you now is treatment for these: Drug Problems,DCW_510801.doc,string,,,,,,,PhenX,PX510801006200,,,,,,,,,,,,,
PX510801_AddictionSeverity_AlcoholAbuse_Interviewer_Rating,How would you rate the patient’s need for treatment for: Alcohol Abuse,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801006300,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_DrugAbuse_Interviewer_Rating,How would you rate the patient’s need for treatment for: Drug Abuse,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801006400,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Patient_Misrepresentation_SubstanceAbuse,Is the above information significantly distorted by: Patient’s misrepresentation?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801006500,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Patient_Misunderstanding_SubstanceAbuse,Is the above information significantly distorted by: Patient’s inability to understand?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801006600,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Admission_Criminal_Justice,"Was this admission prompted or suggested by the criminal justice system (judge, probation/parole officer, etc.)",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801006700,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Probation_Parole,Are you on probation or parole?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801006800,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Arrested_Shoplifting,How many times in your life have you been arrested and charged with the following: *Shoplifting/vandalism,DCW_510801.doc,integer,,,,,,,PhenX,PX510801006900,,,,,,,,,,,,,
PX510801_AddictionSeverity_Arrested_Parole_Violations,How many times in your life have you been arrested and charged with the following: *Parole/probation violations,DCW_510801.doc,integer,,,,,,,PhenX,PX510801007000,,,,,,,,,,,,,
PX510801_AddictionSeverity_Arrested_Drug_Charges,How many times in your life have you been arrested and charged with the following: *Drug charges,DCW_510801.doc,integer,,,,,,,PhenX,PX510801007100,,,,,,,,,,,,,
PX510801_AddictionSeverity_Arrested_Forgery,How many times in your life have you been arrested and charged with the following: *Forgery,DCW_510801.doc,integer,,,,,,,PhenX,PX510801007200,,,,,,,,,,,,,
PX510801_AddictionSeverity_Arrested_Weapons_Offense,How many times in your life have you been arrested and charged with the following: *Weapons offense,DCW_510801.doc,integer,,,,,,,PhenX,PX510801007300,,,,,,,,,,,,,
PX510801_AddictionSeverity_Arrested_Burglary,"How many times in your life have you been arrested and charged with the following: *Burglary, larceny, B&E",DCW_510801.doc,integer,,,,,,,PhenX,PX510801007400,,,,,,,,,,,,,
PX510801_AddictionSeverity_Arrested_Robbery,How many times in your life have you been arrested and charged with the following: *Robbery,DCW_510801.doc,integer,,,,,,,PhenX,PX510801007500,,,,,,,,,,,,,
PX510801_AddictionSeverity_Arrested_Assault,How many times in your life have you been arrested and charged with the following: *Assault,DCW_510801.doc,integer,,,,,,,PhenX,PX510801007600,,,,,,,,,,,,,
PX510801_AddictionSeverity_Arrested_Arson,How many times in your life have you been arrested and charged with the following: *Arson,DCW_510801.doc,integer,,,,,,,PhenX,PX510801007700,,,,,,,,,,,,,
PX510801_AddictionSeverity_Arrested_Rape,How many times in your life have you been arrested and charged with the following: *Rape,DCW_510801.doc,integer,,,,,,,PhenX,PX510801007800,,,,,,,,,,,,,
PX510801_AddictionSeverity_Arrested_Homicide,"How many times in your life have you been arrested and charged with the following: *Homicide, manslaughter",DCW_510801.doc,integer,,,,,,,PhenX,PX510801007900,,,,,,,,,,,,,
PX510801_AddictionSeverity_Arrested_Prostitution,How many times in your life have you been arrested and charged with the following: *Prostitution,DCW_510801.doc,integer,,,,,,,PhenX,PX510801008000,,,,,,,,,,,,,
PX510801_AddictionSeverity_Arrested_Contempt_Court,How many times in your life have you been arrested and charged with the following: *Contempt of court,DCW_510801.doc,integer,,,,,,,PhenX,PX510801008100,,,,,,,,,,,,,
PX510801_AddictionSeverity_Arrested_Other,How many times in your life have you been arrested and charged with the following: *Other,DCW_510801.doc,integer,,,,,,,PhenX,PX510801008200,,,,,,,,,,,,,
PX510801_AddictionSeverity_Arrested_Convictions,*How many of these charges resulted in convictions?,DCW_510801.doc,integer,,,,,,,PhenX,PX510801008300,,,,,,,,,,,,,
PX510801_AddictionSeverity_Charged_Disorderly_Conduct,"How many times in your life have you been charged with the following: *Disorderly conduct, vagrancy, public intoxication",DCW_510801.doc,integer,,,,,,,PhenX,PX510801008400,,,,,,,,,,,,,
PX510801_AddictionSeverity_Charged_DUI,How many times in your life have you been charged with the following: *Driving while intoxicated,DCW_510801.doc,integer,,,,,,,PhenX,PX510801008500,,,,,,,,,,,,,
PX510801_AddictionSeverity_Charged_Driving_Violations,"How many times in your life have you been charged with the following: *Major driving violations (reckless driving, speeding, no license, etc.)",DCW_510801.doc,integer,,,,,,,PhenX,PX510801008600,,,,,,,,,,,,,
PX510801_AddictionSeverity_Incarcerated,*How many months were you incarcerated in your life?,DCW_510801.doc,integer,months,,,,,,PhenX,PX510801008700,,,,,,,,,,,,,
PX510801_AddictionSeverity_Incarcerated_Last,How long was your last incarceration?,DCW_510801.doc,integer,months,,,,,,PhenX,PX510801008800,,,,,,,,,,,,,
PX510801_AddictionSeverity_Incarcerated_Last_Charge,"What was it for? (Use code 3-16, 18-20. If multiple charges, code most severe)",DCW_510801.doc,string,,,,,,,PhenX,PX510801008900,,,,,,,,,,,,,
PX510801_AddictionSeverity_Pending_Charges,"Are you presently awaiting charges, trial or sentence?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801009000,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Pending_Charges_Details,"What for (if multiple charges, use most severe).",DCW_510801.doc,string,,,,,,,PhenX,PX510801009100,,,,,,,,,,,,,
PX510801_AddictionSeverity_Incarcerated_Past_Month,How many days in the past 30 were you detained or incarcerated?,DCW_510801.doc,integer,,,,,,,PhenX,PX510801009200,,,,,,,,,,,,,
PX510801_AddictionSeverity_Criminal_Activity_Past_Month,How many days in the past 30 have you engaged in illegal activities for profit?,DCW_510801.doc,integer,,,,,,,PhenX,PX510801009300,,,,,,,,,,,,,
PX510801_AddictionSeverity_Seriousness_Legal_Problems,How serious do you feel your present legal problems are? (Exclude civil problems),DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801009400,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Counseling_Legal_Problems,How important to you now is counseling or referral for these legal problems?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801009500,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
