"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX880501_Fertility_Quality_Of_Life_Rate_Health","How would you rate your health?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501010000","","","","","Very Poor","Poor","Neither Good nor Poor","Good","Very Good","",""
"PX880501_Fertility_Quality_Of_Life_Feel_Sad_Depressed","Do you feel sad and depressed about your fertility problems?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501180000","","","","","An Extreme Amount","Very Much","A Moderate Amount","A Little","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Inferior_To_People_With_Children","Do your fertility problems make you inferior to people with children?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501190000","","","","","An Extreme Amount","Very Much","A Moderate Amount","A Little","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Bothered_Fatigue","Are you bothered by fatigue because of fertility problems?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501200000","","","","","An Extreme Amount","Very Much","A Moderate Amount","A Little","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Negative_Impact_Relationship_Partner","Have fertility problems had a negative impact on your relationship with your partner?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501210000","","","","","An Extreme Amount","Very Much","A Moderate Amount","A Little","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Difficult_Talk_Partner_Feelings","Do you find it difficult to talk to your partner about your feelings related to infertility?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501220000","","","","","An Extreme Amount","Very Much","A Moderate Amount","A Little","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Content_Relationship","Are you content with your relationship even though you have fertility problems?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501230000","","","","","An Extreme Amount","Very Much","A Moderate Amount","A Little","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Feel_Social_Pressure_Have_Children","Do you feel social pressure on you to have (or have more) children?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501240000","","","","","An Extreme Amount","Very Much","A Moderate Amount","A Little","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Angry","Do your fertility problems make you angry?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501250000","","","","","An Extreme Amount","Very Much","A Moderate Amount","A Little","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Feel_Pain_Physical_Discomfort","Do you feel pain and physical discomfort because of your fertility problems?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501260000","","","","","An Extreme Amount","Very Much","A Moderate Amount","A Little","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Treatment_Negatively_Affect_Mood","Does infertility treatment negatively affect your mood?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501270000","","","","","Always","Very Often","Quite Often","Seldom","Never","",""
"PX880501_Fertility_Quality_Of_Life_Medical_Services_Available","Are the fertility medical services you would like available to you?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501280000","","","","","Always","Very Often","Quite Often","Seldom","Never","",""
"PX880501_Fertility_Quality_Of_Life_Complicated_Dealing_With_Procedure_Administration_Medication_Treatment","How complicated is dealing with the procedure and/ or administration of medication for your infertility treatment(s)?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501290000","","","","","An Extreme Amount","Very Much","A Moderate Amount","A Little","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Bothered_Effect_Treatment_Daily_Work_Activities","Are you bothered by the effect of treatment on your daily or work related activities?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501300000","","","","","An Extreme Amount","Very Much","A Moderate Amount","A Little","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Feel_Staff_Understand","Do you feel the fertility staff understand what you are going through?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501310000","","","","","An Extreme Amount","Very Much","A Moderate Amount","A Little","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Bothered_Physical_Side_Effects_Medication_Treatment","Are you bothered by the physical side effects of fertility medications and treatment?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501320000","","","","","An Extreme Amount","Very Much","A Moderate Amount","A Little","Not At All","",""
"PX880501_Fertility_Quality_Of_Life_Satisfied_Services_Available_Address_Emotional_Needs","Are you satisfied with the quality of services available to you to address your emotional needs?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501330000","","","","","Very Dissatisfied","Dissatisfied","Neither Satisfied Nor Dissatisfied","Satisfied","Very Satisfied","",""
"PX880501_Fertility_Quality_Of_Life_Rate_Surgery_Medical_Treatment","How would you rate the surgery and/or medical treatment(s) you have received?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501340000","","","","","Very Dissatisfied","Dissatisfied","Neither Satisfied Nor Dissatisfied","Satisfied","Very Satisfied","",""
"PX880501_Fertility_Quality_Of_Life_Rate_Information_Received_About_Medication_Surgery_Treatment","How would you rate the quality of information you received about medication, surgery and/or medical treatment?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501350000","","","","","Very Dissatisfied","Dissatisfied","Neither Satisfied Nor Dissatisfied","Satisfied","Very Satisfied","",""
"PX880501_Fertility_Quality_Of_Life_Satisfied_Interactions_Medical_Staff","Are you satisfied with your interactions with fertility medical staff?","DCW_880501.doc","enumerated","","","","","","","PhenX","PX880501360000","","","","","Very Dissatisfied","Dissatisfied","Neither Satisfied Nor Dissatisfied","Satisfied","Very Satisfied","",""
