VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,
PX510303_SubstanceUse_PastYear_Other_Hallucinogen,"On how many occasions (if any) have you used hallucinogens other than LSD (like mescaline, peyote, ""shrooms"" or psilocybin, PCP) during the last 12 months?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303100200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Other_Hallucinogen,"On how many occasions (if any) have you used hallucinogens other than LSD (like mescaline, peyote, ""shrooms"" or psilocybin, PCP) during the last 30 days?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303100300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Cocaine,"On how many occasions (if any) have you used cocaine (sometimes called “coke,” “crack,” “rock”) if your lifetime?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303110100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Cocaine,"On how many occasions (if any) have you used cocaine (sometimes called “coke,” “crack,” “rock”) during the last 12 months?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303110200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Cocaine,"On how many occasions (if any) have you used cocaine (sometimes called “coke,” “crack,” “rock”) during the last 30 days?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303110300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Crack,On how many occasions (if any) have you used “crack” in your lifetime?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303120100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Crack,On how many occasions (if any) have you used “crack” during the last 12 months?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303120200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Crack,On how many occasions (if any) have you used “crack” during the last 30 days?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303120300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Other_Cocaine,On how many occasions (if any) have you used cocaine in any other form in your lifetime?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303130100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Other_Cocaine,On how many occasions (if any) have you used cocaine in any other form during the last 12 months?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303130200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Other_Cocaine,On how many occasions (if any) have you used cocaine in any other form during the last 30 days?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303130300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Amphetamines,"On how many occasions (if any) have you taken amphetamines or other prescription stimulant drugs on your own—that is, without a doctor telling you to take them in your lifetime?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303140100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Amphetamines,"On how many occasions (if any) have you taken amphetamines or other prescription stimulant drugs on your own—that is, without a doctor telling you to take them during the last 12 months?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303140200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Amphetamines,"On how many occasions (if any) have you taken amphetamines or other prescription stimulant drugs on your own—that is, without a doctor telling you to take them during the last 30 days?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303140300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Methamphetamine,"On how many occasions (if any) have you used methamphetamine (“meth,” “speed,” “crank,” “crystal meth”) by any method in your lifetime?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303150100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Methamphetamine,"On how many occasions (if any) have you used methamphetamine (“meth,” “speed,” “crank,” “crystal meth”) by any method during the last 12 months?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303150200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Methamphetamine,"On how many occasions (if any) have you used methamphetamine (“meth,” “speed,” “crank,” “crystal meth”) by any method during the last 30 days?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303150300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Crystal_Meth,On how many occasions (if any) have you smoked (or inhaled the fumes of) crystal meth (“ice”) in your lifetime?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303160100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Crystal_Meth,On how many occasions (if any) have you smoked (or inhaled the fumes of) crystal meth (“ice”) during the last 12 months?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303160200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Crystal_Meth,On how many occasions (if any) have you smoked (or inhaled the fumes of) crystal meth (“ice”) during the last 30 days?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303160300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Sedative,"On how many occasions (if any) have you taken sedatives on your own - that is, without a doctor telling you to take them - in your lifetime?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303170100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Sedative,"On how many occasions (if any) have you taken sedatives on your own - that is, without a doctor telling you to take them - during the last 12 months?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303170200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Sedative,"On how many occasions (if any) have you taken sedatives on your own - that is, without a doctor telling you to take them - during the last 30 days?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303170300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Tranquilizer,"On how many occasions (if any) have you taken tranquilizers on your own - that is, without a doctor telling you to take them - in your lifetime?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303180100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Tranquilizer,"On how many occasions (if any) have you taken tranquilizers on your own - that is, without a doctor telling you to take them - during the last 12 months?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303180200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Tranquilizer,"On how many occasions (if any) have you taken tranquilizers on your own - that is, without a doctor telling you to take them - during the last 30 days?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303180300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Heroin,On how many occasions (if any) have you used heroin in your lifetime?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303190100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Heroin,On how many occasions (if any) have you used heroin during the last 12 months?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303190200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Heroin,On how many occasions (if any) have you used heroin during the last 30 days?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303190300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Heroin_WithNeedle,On how many occasions (if any) have you taken heroin using a needle in your lifetime?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303200100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Heroin_WithNeedle,On how many occasions (if any) have you taken heroin using a needle during the last 12 months?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303200200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Heroin_WithNeedle,On how many occasions (if any) have you taken heroin using a needle during the last 30 days?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303200300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Heroin_WithoutNeedle,On how many occasions (if any) have you taken heroin WITHOUT using a needle in your lifetime?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303210100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Heroin_WithoutNeedle,On how many occasions (if any) have you taken heroin WITHOUT using a needle during the last 12 months?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303210200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Heroin_WithoutNeedle,On how many occasions (if any) have you taken heroin WITHOUT using a needle during the last 30 days?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303210300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Other_Narcotic,"On how many occasions (if any) have you taken narcotics other than heroin on your own - that is, without a doctor telling you to take them - in your lifetime?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303220100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Other_Narcotic,"On how many occasions (if any) have you taken narcotics other than heroin on your own - that is, without a doctor telling you to take them - during the last 12 months?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303220200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Other_Narcotic,"On how many occasions (if any) have you taken narcotics other than heroin on your own - that is, without a doctor telling you to take them - during the last 30 days?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303220300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Inhaled_Gas_Spray,"On how many occasions (if any) have you sniffed glue, or breathed the contents of aerosol spray cans, or inhaled any other gases or sprays in order to get high in your lifetime?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303230100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Inhaled_Gas_Spray,"On how many occasions (if any) have you sniffed glue, or breathed the contents of aerosol spray cans, or inhaled any other gases or sprays in order to get high during the last 12 months?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303230200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Inhaled_Gas_Spray,"On how many occasions (if any) have you sniffed glue, or breathed the contents of aerosol spray cans, or inhaled any other gases or sprays in order to get high during the last 30 days?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303230300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Steroid,"On how many occasions (if any) have you taken steroids on your own - that is, without a doctor telling you to take them - in your lifetime?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303240100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Steroid,"On how many occasions (if any) have you taken steroids on your own - that is, without a doctor telling you to take them - during the last 12 months?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303240200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Steroid,"On how many occasions (if any) have you taken steroids on your own - that is, without a doctor telling you to take them - during the last 30 days?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303240300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_MDMA,"On how many occasions (if any) have you used MDMA (“Molly,” “ecstasy”) in your lifetime?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303240400,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_MDMA,"On how many occasions (if any) have you used MDMA (“Molly,” “ecstasy”) during the last 12 months?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303240500,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_MDMA,"On how many occasions (if any) have you used MDMA (“Molly,” “ecstasy”) during the last 30 days?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303240600,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_GHB,"During the LAST 12 MONTHS, on how many occasions (if any) have you taken GHB (“liquid G,” “grievous bodily harm”)?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303250100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Ketamine,"During the LAST 12 MONTHS, on how many occasions (if any) have you taken ketamine (“special K,” “super K”)?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303250200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Andro,"During the LAST 12 MONTHS, on how many occasions (if any) have you taken “andro” (androstenedione, nonprescription steroid)?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303250300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Creatine,"During the LAST 12 MONTHS, on how many occasions (if any) have you taken creatine (amino acid used to build muscles)?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303250400,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_HGH,"During the LAST 12 MONTHS, on how many occasions (if any) have you taken human growth hormone (HGH) (without a doctor’s orders)?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303250500,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Ritalin,"During the LAST 12 MONTHS, on how many occasions (if any) have you taken Ritalin® (without a doctor’s orders)?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303250600,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Adderall,"During the LAST 12 MONTHS, on how many occasions (if any) have you taken Adderall® (without a doctor’s orders)?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303250700,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_OxyContin,"During the LAST 12 MONTHS, on how many occasions (if any) have you taken OxyContin® (without a doctor’s orders)?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303250800,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
