"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX960204_Covid19_Effects_Outbreak_Healthcare","¿De que formas ha afectado el brote de COVID-19 tu atencion medica general? (Marca todas las que correspondan)","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204010000","","","","","1 = No fui a citas de atencion medica porque me preocupaba tener que entrar al consultorio del profesional de la salud","2 = El profesional de la salud que me atiende cancelo las citas","3 = El profesional de la salud que me atiende cambio a consultas por telefono o en linea","4 = El profesional de la salud que me atiende me dijo que me autoaislara o me mantuviera en cuarentena","5 = Ninguna de estas correspond","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Cope_Stress","¿Que has hecho para sobrellevar el estres relacionado con el brote de COVID-19? (Marca todas las que correspondan)","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204060000","","","","","1 = Practicar meditacion o atencion plena (mindfulness)","2 = Participar en mas actividades en familia (p. ej., juegos, deportes)","3 = Comer con mas frecuencia, incluidos refrigerios o snacks","4 = Aumentar el tiempo que pasas leyendo libros o haciendo actividades como rompecabezas y crucigramas","5 = Beber alcohol","6 = Consumir tabaco (p. ej., fumar; no se incluye el vapeo)","7 = Consumir marihuana (p. ej., fumar, ingerir; no se incluye el vapeo) o cannabidiol (CBD)","8 = Vapear marihuana","9 = Vapear otras sustancias (p. ej., cigarrillos electronicos, jugo de vape)","10 = Hablar con los profesionales de la salud que me atienden con mas frecuencia, incluido el profesional de la salud mental (p. ej., terapista, psicologo, consejero)","11 = Hacer trabajos voluntarios","12 = No he hecho ninguna de estas cosas para sobrellevar el brote de COVID-19","","","","",""
"PX960204_Covid19_Effects_Outbreak_Impact_Positive_Negative","Indica en que grado crees que el brote de COVID-19 tiene un efecto positivo o negativo en tu vida.","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204070000","","","","","1 = Sumamente negativo","2 = Moderadamente negativo","3 = Algo negativo","4 = NingÃºn efecto","5 = Ligeramente positivo","6 = Moderadamente positivo","7 = Sumamente positive","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Happy_Life","Desde que te enteraste del brote de COVID-19, ¿con que frecuencia te has sentido feliz y satisfecho/a con tu vida?","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204080000","","","","","1 = Nunca","2 = Rara vez","3 = A veces","4 = Con frecuencia","5 = Con mucha frecuencia","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Often_Difficult_Sleeping","Desde que te enteraste del brote de COVID-19, ¿con que frecuencia...? has tenido dificultad para dormir","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204090100","","","","","1 = Nunca","2 = Rara vez","3 = A veces","4 = Con frecuencia","5 = Con mucha frecuencia","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Often_Startled","Desde que te enteraste del brote de COVID-19, ¿con que frecuencia...? te has sobresaltado facilmente","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204090200","","","","","1 = Nunca","2 = Rara vez","3 = A veces","4 = Con frecuencia","5 = Con mucha frecuencia","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Often_Outburst","Desde que te enteraste del brote de COVID-19, ¿con que frecuencia...? has tenido arrebatos de ira (de gran enojo)","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204090300","","","","","1 = Nunca","2 = Rara vez","3 = A veces","4 = Con frecuencia","5 = Con mucha frecuencia","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Often_Time_Slow","Desde que te enteraste del brote de COVID-19, ¿con que frecuencia...? has sentido que el tiempo va avanzando mas lentamente","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204090400","","","","","1 = Nunca","2 = Rara vez","3 = A veces","4 = Con frecuencia","5 = Con mucha frecuencia","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Often_Feel_Daze","Desde que te enteraste del brote de COVID-19, ¿con que frecuencia...? te has sentido aturdido/a","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204090500","","","","","1 = Nunca","2 = Rara vez","3 = A veces","4 = Con frecuencia","5 = Con mucha frecuencia","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Often_Avoid_Thought_Feeling","Desde que te enteraste del brote de COVID-19, ¿con que frecuencia...? has tratado de evitar pensamientos y sentimientos relacionados con la COVID-19","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204090600","","","","","1 = Nunca","2 = Rara vez","3 = A veces","4 = Con frecuencia","5 = Con mucha frecuencia","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Often_Avoid_Read_Watch_Information","Desde que te enteraste del brote de COVID-19, ¿con que frecuencia...? has tratado de no leer ni ver informacion sobre la COVID-19","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204090700","","","","","1 = Nunca","2 = Rara vez","3 = A veces","4 = Con frecuencia","5 = Con mucha frecuencia","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Often_Distress_Dream","Desde que te enteraste del brote de COVID-19, ¿con que frecuencia...? has tenido sueÃ±os angustiantes sobre la COVID-19","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204090800","","","","","1 = Nunca","2 = Rara vez","3 = A veces","4 = Con frecuencia","5 = Con mucha frecuencia","","","","","","","","","","","",""
"PX960204_Covid19_Effects_Outbreak_Often_Distress_Remind","Desde que te enteraste del brote de COVID-19, ¿con que frecuencia...? has estado angustiado/a cuando ves algo que te recuerda la COVID-19","DCW_960204.doc","encoded values","","","","","","","PhenX","PX960204090900","","","","","1 = Nunca","2 = Rara vez","3 = A veces","4 = Con frecuencia","5 = Con mucha frecuencia","","","","","","","","","","","",""
