"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX151102_Physical_Functioning_Subjective_Eating","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...eating, like holding a fork, cutting food or drinking from a glass?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010011","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Dressing","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...dressing {yourself/himself/herself}, including tying shoes, working zippers, and doing buttons?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010012","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Standing_Two_Hours","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...standing or being on {your/his/her} feet for about 2 hours?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010013","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Sitting_Two_Hours","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...sitting for about 2 hours?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010014","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Reaching_Over_Head","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...reaching up over {your/his/her} head?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010015","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Grasping_Small_Objects","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...using {your/his/her} fingers to grasp or handle small objects?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010016","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Going_Out","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...going out to things like shopping, movies, or sporting events?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010017","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Social_Activities","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...participating in social activities [visiting friends, attending clubs or meetings or going to parties]?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010018","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Relax","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...Doing things to relax at home or for leisure [reading, watching TV, sewing, listening to music]?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010019","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
"PX151102_Physical_Functioning_Subjective_Pushing_Large_Objects","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does Sample Person (SP)} have...Pushing or pulling large objects like a living room chair?","DCW_151102.doc","encoded values","","","","","","","PhenX","PX151102010020","","","","","1 = No difficulty","2 = Some difficulty,3 = Much difficulty,4 = Unable to do,5 = Do not do this activity,7 = Refused,9 = Don't know"
