VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,
PX300802_Parenting_Behavior_Parent_Give_Up_Obey,Please rate each item as to how often it TYPICALLY occurs in your home. You feel that getting your child to obey you is more trouble than it’s worth.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802120000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Compliment_Child,Please rate each item as to how often it TYPICALLY occurs in your home. You compliment your child when he/she does something well.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802130000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Ask_Plans,Please rate each item as to how often it TYPICALLY occurs in your home. You ask your child what his/her plans are for the coming day.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802140000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Drives_Activities,Please rate each item as to how often it TYPICALLY occurs in your home. You drive your child to a special activity.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802150000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Parents_Child,Please rate each item as to how often it TYPICALLY occurs in your home. You praise your child if he/she behaves well.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802160000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Know_Friends,Please rate each item as to how often it TYPICALLY occurs in your home. Your child is out with friends you don’t know.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802170000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Hug_And_Kiss_Child,Please rate each item as to how often it TYPICALLY occurs in your home. You hug or kiss your child when he/she does something well.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802180000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Go_Out_Without_Curfew,Please rate each item as to how often it TYPICALLY occurs in your home. Your child goes out without a set time to be home.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802190000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Talk_Friends,Please rate each item as to how often it TYPICALLY occurs in your home. You talk to your child about his/her friends.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802200000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Out_After_Dark_Without_Adult,Please rate each item as to how often it TYPICALLY occurs in your home. Your child is out after dark without an adult with him/her.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802210000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Lift_Restrictions_Early,Please rate each item as to how often it TYPICALLY occurs in your home. You let your child out of a punishment early (like lift restrictions earlier than you originally said).,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802220000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Help_Plan_Family_Activities,Please rate each item as to how often it TYPICALLY occurs in your home. Your child helps plan family activities.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802230000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Forget_What_Child_Doing,Please rate each item as to how often it TYPICALLY occurs in your home. You get so busy that you forget where your child is and what he/she is doing.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802240000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Punish,Please rate each item as to how often it TYPICALLY occurs in your home. Your child is not punished when he/she has done something wrong.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802250000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Attend_School_Meeting,"Please rate each item as to how often it TYPICALLY occurs in your home. You attend PTA meetings, parent/teacher conferences, or other meetings at your child’s school.",DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802260000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Tell_Child_Like_Help,Please rate each item as to how often it TYPICALLY occurs in your home. You tell your child that you like it when he/she helps out around the house.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802270000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Out_Late_Parents_DontKnow,Please rate each item as to how often it TYPICALLY occurs in your home. You don’t check that your child comes home at the time she/he was supposed to.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802280000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Parents_Leave_House,Please rate each item as to how often it TYPICALLY occurs in your home. You don’t tell your child where you are going.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802290000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Come_Home_School_Late,Please rate each item as to how often it TYPICALLY occurs in your home. Your child comes home from school more than an hour past the time you expect him/her.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802300000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Punishment_Parent_Mood,Please rate each item as to how often it TYPICALLY occurs in your home. The punishment you give your child depends on your mood.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802310000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Home_Without_Adult,Please rate each item as to how often it TYPICALLY occurs in your home. Your child is at home without adult supervision.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802320000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Parents_Spank_With_Hand,Please rate each item as to how often it TYPICALLY occurs in your home. You spank your child with your hand when he/she has done something wrong.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802330000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Parents_Ignore_Misbehavior,Please rate each item as to how often it TYPICALLY occurs in your home. You ignore your child when he/she is misbehaving.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802340000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Parents_Slap_Child,Please rate each item as to how often it TYPICALLY occurs in your home. You slap your child when he/she has done something wrong.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802350000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Parents_Take_Away_Privilege,Please rate each item as to how often it TYPICALLY occurs in your home. You take away privileges or money from your child as a punishment.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802360000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Parents_Send_Child_To_Room,Please rate each item as to how often it TYPICALLY occurs in your home. You send your child to his/her room as a punishment.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802370000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Parents_Hit_Belt_Switch,"Please rate each item as to how often it TYPICALLY occurs in your home. You hit your child with a belt, switch, or other object when he/she has done something wrong.",DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802380000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Parents_Yell_Scream,Please rate each item as to how often it TYPICALLY occurs in your home. You yell or scream at your child when he/she has done something wrong.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802390000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Parents_Calmly_Explain,Please rate each item as to how often it TYPICALLY occurs in your home. You calmly explain to your child why his/her behavior was wrong when he/she misbehaves.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802400000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Parents_Use_Time_Out,Please rate each item as to how often it TYPICALLY occurs in your home. You use time out (make him/her sit or stand in a corner) as a punishment.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802410000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Parents_Give_Chores_Punishment,Please rate each item as to how often it TYPICALLY occurs in your home. You give your child extra chores as a punishment.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802420000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
