VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,ASK IF Q1.6.1 = Yes,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,
PX030502_Alcohol_Lifetime_Use_Disorder_Drink_More_Than_Intended_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.7.1 = Yes,,PhenX,PX030502010702,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drink_More_Than_Intended_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.7.1 = Yes, MARK Yes if Q1.7.2 = No",,PhenX,PX030502010703,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drink_More_Than_Intended_Longer,Did you drink more or longer than you meant to?,DCW_030502.doc,encoded values,,,,,ASK IF Q1.7.1 = Yes,,PhenX,PX030502010704,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drink_Longer_Than_Intended_Ever,In your entire life did you EVER have a period when you kept on drinking for longer than you had intended to?,DCW_030502.doc,encoded values,,,,,MARK Yes IF Q1.7.3=Yes,,PhenX,PX030502010801,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drink_Longer_Than_Intended_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.8.1 = Yes,,PhenX,PX030502010802,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drink_Longer_Than_Intended_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.8.1 = Yes, MARK Yes if Q1.8.2 = No",,PhenX,PX030502010803,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drink_Longer_Than_Intended,Did you drink more or longer than you meant to?,DCW_030502.doc,encoded values,,,,,ASK IF Q1.8.1 = Yes,,PhenX,PX030502010804,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Trouble_Sleeping_Ever,Did you EVER have trouble falling asleep or staying asleep (when the effects of alcohol were wearing off)?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502010901,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Trouble_Sleeping_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.9.1 = Yes,,PhenX,PX030502010902,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Trouble_Sleeping_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.9.1 = Yes, MARK Yes if Q1.9.2 = No",,PhenX,PX030502010903,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Shaking_Trembling_Ever,Did you EVER find yourself shaking or your hands trembling?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502011001,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Shaking_Trembling_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.10.1 = Yes,,PhenX,PX030502011002,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Shaking_Trembling_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.10.1 = Yes, MARK Yes if Q1.10.2 = No",,PhenX,PX030502011003,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Anxious_Nervous_Ever,Did you EVER feel anxious or nervous?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502011101,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Anxious_Nervous_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.11.1 = Yes,,PhenX,PX030502011102,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Anxious_Nervous_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.11.1 = Yes, MARK Yes if Q1.11.2 = No",,PhenX,PX030502011103,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Sick_Vomit_Ever,Did you EVER feel sick to your stomach or vomit (when the effects of alcohol were wearing off)?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502011201,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Sick_Vomit_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.12.1 = Yes,,PhenX,PX030502011202,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Sick_Vomit_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.12.1 = Yes, MARK Yes if Q1.12.2 = No",,PhenX,PX030502011203,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Restless_Ever,Did you EVER feel more restless than is usual for you?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502011301,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Restless_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.13.1 = Yes,,PhenX,PX030502011302,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Restless_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.13.1 = Yes, MARK Yes if Q1.13.2 = No",,PhenX,PX030502011303,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Sweating_Heart_Beat_Ever,Did you EVER find yourself sweating or your heart beating fast?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502011401,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Sweating_Heart_Beat_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.14.1 = Yes,,PhenX,PX030502011402,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Sweating_Heart_Beat_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.14.1 = Yes, MARK Yes if Q1.14.2 = No",,PhenX,PX030502011403,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Hallucinations_Ever,"Did you EVER see, feel, or hear things that werenít really there (when the effects of alcohol were wearing off)?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502011501,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Hallucinations_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.15.1 = Yes,,PhenX,PX030502011502,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Hallucinations_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.15.1 = Yes, MARK Yes if Q1.15.2 = No",,PhenX,PX030502011503,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Seizures_Ever,Did you EVER have fits or seizures?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502011601,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Seizures_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.16.1 = Yes,,PhenX,PX030502011602,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Seizures_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago?)",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.16.1 = Yes, MARK Yes if Q1.16.2 = No",,PhenX,PX030502011603,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Check_Item,"Are at least 2 items marked ""Yes"" for part B of Q9-16 (Q1.9.2-Q1.16.2)?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502011701,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_After_Effects_Stop_Drinking_Past_Year,You just mentioned that you had SOME bad aftereffects when stopping or cutting down on drinking in the last 12 months. Did at least 2 of these experiences happen around the same time DURING the last 12 months?,DCW_030502.doc,encoded values,,,,,ASK IF Q17.1 = Yes,,PhenX,PX030502011702,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Check_Item2,"Are at least 2 items marked ""Yes"" for part C of Q9-16 (Q1.9.3-Q1.16.3)?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502011801,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_After_Effects_Stop_Drinking_Prior_Last_Year,You (also/just) mentioned that you had SOME bad aftereffects when stopping or cutting down on drinking before 12 months ago. Did at least 2 of these experiences happen around the same time BEFORE 12 months ago?,DCW_030502.doc,encoded values,,,,,ASK IF Q18.1 = Yes,,PhenX,PX030502011802,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Take_Drink_Drug_Recover_After_Effects_Ever,"In your entire life did you EVER take a drink or use any drug or medicine, other than aspirin, Advil or Tylenol, to GET OVER any of the bad aftereffects of drinking?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502011901,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Take_Drink_Drug_Recover_After_Effects_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.19.1 = Yes,,PhenX,PX030502011902,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Take_Drink_Drug_Recover_After_Effects_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.19.1 = Yes, MARK Yes if Q1.19.2 = No",,PhenX,PX030502011903,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Take_Drink_Drug_Recover_After_Effects,"Did you take a drink, medicine or drug to get over or avoid the bad aftereffects of drinking?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502011904,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Take_Drink_Drug_Prevent_After_Effects_Ever,"In your entire life did you EVER take a drink or use any drug or medicine, other than aspirin, Advil or Tylenol, to KEEP FROM having any of these bad aftereffects of drinking?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012001,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Take_Drink_Drug_Prevent_After_Effects_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.20.1 = Yes,,PhenX,PX030502012002,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Take_Drink_Drug_Prevent_After_Effects_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.20.1 = Yes, MARK Yes if Q1.20.2 = No",,PhenX,PX030502012003,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Take_Drink_Drug_Prevent_After_Effects,"Did you take a drink, medicine or drug to get over or avoid the bad aftereffects of drinking?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012004,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Time_Spent_Drinking_Ever,In your entire life did you EVER have a period when you spent a lot of time drinking?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012101,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Time_Spent_Drinking_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.21.1 = Yes,,PhenX,PX030502012102,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Time_Spent_Drinking_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.21.1 = Yes, MARK Yes if Q1.21.2 = No",,PhenX,PX030502012103,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Time_Spent_Drinking,Did you spend a lot of time drinking or getting over being sick from drinking?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012104,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Sick_After_Effects_Ever,In your entire life did you EVER have a period when you spent a lot of time being sick or getting over the bad aftereffects of drinking?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012201,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Sick_After_Effects_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.22.1 = Yes,,PhenX,PX030502012202,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Sick_After_Effects_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.22.1 = Yes, MARK Yes if Q1.22.2 = No",,PhenX,PX030502012203,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Sick_After_Effects,Did you spend a lot of time drinking or getting over being sick from drinking?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012204,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drinking_Social_Impact_Ever,"In your entire life did you EVER give up or cut down on activities that were important to you in order to drinkólike work, school, or associating with friends or relatives?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012301,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drinking_Social_Impact_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.23.1 = Yes,,PhenX,PX030502012302,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drinking_Social_Impact_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.23.1 = Yes, MARK Yes if Q1.23.2 = No",,PhenX,PX030502012303,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drinking_Social_Impact,Did you give up or cut down on activities that were important to you in order to drink?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012304,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drinking_Hobbies_Impact_Ever,In your entire life did you EVER give up or cut down on activities that you were interested in or that gave you pleasure in order to drink?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012401,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drinking_Hobbies_Impact_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.24.1 = Yes,,PhenX,PX030502012402,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drinking_Hobbies_Impact_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.24.1 = Yes, MARK Yes if Q1.24.2 = No",,PhenX,PX030502012403,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Drinking_Hobbies_Impact,Did you give up or cut down on activities that were important to you in order to drink?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012404,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Depressed_Ever,"In your entire life did you EVER continue to drink even though you knew it was making you feel depressed, uninterested in things, or suspicious or distrustful of other people?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012501,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Depressed_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.25.1 = Yes,,PhenX,PX030502012502,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Depressed_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.25.1 = Yes, MARK Yes if Q1.25.2 = No",,PhenX,PX030502012503,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Depressed,Did you drink even though it affected your mood or health?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012504,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Health_Ever,In your entire life did you EVER continue to drink even though you knew it was causing you a health problem or making a health problem worse?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012601,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Health_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.26.1 = Yes,,PhenX,PX030502012602,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Health_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.26.1 = Yes, MARK Yes if Q1.26.2 = No",,PhenX,PX030502012603,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Health,Did you drink even though it affected your mood or health?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012604,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Blackout_Ever,"In your entire life did you EVER continue to drink even though you had experienced a prior blackout, that is, awakened the next day not being able to remember some of the things you did while drinking or after drinking?",DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012701,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Blackout_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.27.1 = Yes,,PhenX,PX030502012702,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Blackout_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.27.1 = Yes, MARK Yes if Q1.27.2 = No",,PhenX,PX030502012703,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Continue_Drinking_Blackout,Did you drink even though it affected your mood or health?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012704,,,,,1 = Yes,0 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Strong_Desire_Drink_Ever,In your entire life did you EVER feel a very strong urge or desire to drink?,DCW_030502.doc,encoded values,,,,,,,PhenX,PX030502012801,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Strong_Desire_Drink_Past_Year,"If yes, did this happen in the last 12 months?",DCW_030502.doc,encoded values,,,,,ASK IF Q1.28.1 = Yes,,PhenX,PX030502012802,,,,,1 = Yes,2 = No
PX030502_Alcohol_Lifetime_Use_Disorder_Strong_Desire_Drink_Prior_Last_Year,"Did this happen before 12 months ago, that is before last (Month one year ago)?",DCW_030502.doc,encoded values,,,,,"ASK IF Q1.28.1 = Yes, MARK Yes if Q1.28.2 = No",,PhenX,PX030502012803,,,,,1 = Yes,2 = No
