VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Recovered_Completely,Has your child recovered completely from the stroke?,DCW_820702.doc,enumerated,,,,,,,PhenX,PX820702010000,,,,,Yes,"No - If no, please answer the following questions:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Problems_Strength_Coordination_Sensation,"Does your child have any problems with strength, coordination, or sensation including vision or hearing, as a result of the stroke? If yes, please choose which of the following are present in your child:",DCW_820702.doc,enumerated,,,,,skip logic,ASK IF Q1=No,PhenX,PX820702010101,,,,,Developmental delay,Abnormal tone,Weakness on one side of the body,Weakness on one side of the face,Unsteadiness on one side of the body,Difficulty with hearing,Difficulty with speaking clearly (problem with pronouncing words),"Difficulty with drinking, chewing, or swallowing",Loss of sensation on one side of the body,Other sensory problems,Difficulty with vision,Other problems with strength or coordination; Describe:______________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Help_DailyActivities_Compared_OtherChildren,Does your child need extra help with day-to-day activities compared with other children of the same age?,DCW_820702.doc,enumerated,,,,,,,PhenX,PX820702020000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Stroke_TIA_BloodClot,"Since the first stroke, has your child had another Stroke or Transient Ischemic Attack (TIA) or blood clot in any other blood vessel (e.g. in the leg, lung, heart, other location) ?",DCW_820702.doc,enumerated,,,,,,,PhenX,PX820702030101,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Stroke_TIA_BloodClotType,"If yes, which type?",DCW_820702.doc,enumerated,,,,,skip logic,ASK IF Q3.01.01=Yes,PhenX,PX820702030102,,,,,Unknown,Stroke in a brain artery (usual form of ‘stroke’),Stroke in a brain vein (‘sinus thrombosis’),TIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Stroke_TIA_BloodClotType_Other,"If yes, which type? Other blood clot: (State location of blood clot :_______________ )",DCW_820702.doc,string,,,,,skip logic,ASK IF Q3.01.01=Yes,PhenX,PX820702030103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Stroke_TIA_BloodClot_WhenRecurrence,"If yes, when was the recurrence (if unknown, please estimate)?",DCW_820702.doc,date,,,,,skip logic,ASK IF Q3.01.01=Yes,PhenX,PX820702030104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_CT_MRI_Recurrence,Did your child have a CT / MRI at the time of the recurrence?,DCW_820702.doc,enumerated,,,,,,,PhenX,PX820702030201,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_CT_MRI_Recurrence_WhichDone,"If yes, which test was done?",DCW_820702.doc,enumerated,,,,,skip logic,ASK IF Q3.02.01=Yes,PhenX,PX820702030202,,,,,CT,MRI,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_CT_MRI_NewStroke,"If yes, did the CT /MRI show a new stroke?",DCW_820702.doc,enumerated,,,,,skip logic,ASK IF Q3.02.01=Yes,PhenX,PX820702030203,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_New_Clinical_Symptoms,Describe the new clinical symptoms at the time of the recurrence:,DCW_820702.doc,enumerated,,,,,,,PhenX,PX820702030301,,,,,Difficulty walking,Difficulty speaking,"Difficulty with drinking, chewing or swallowing",Difficulty using hands,Difficulty with vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_New_Clinical_Symptoms_Describe,"Describe the new clinical symptoms at the time of the recurrence: Other, describe",DCW_820702.doc,string,,,,,,,PhenX,PX820702030302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Long_Symptoms_Lasted,Describe how long the symptoms lasted with the most recent attack:,DCW_820702.doc,enumerated,,,,,,,PhenX,PX820702030400,,,,,Less than 6hrs,6-24 hours,More than 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Total_Episodes,"If there was more than one episode, how many episodes occurred?_________________",DCW_820702.doc,integer,,,,,,,PhenX,PX820702030500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Treatment_Beginning_Episode,What stroke treatment was he/she on at the beginning of the episode?,DCW_820702.doc,enumerated,,,,,,,PhenX,PX820702030601,,,,,None,Aspirin,"Low molecular weight Heparin (Enoxaparin, Loxaprin, injections under the skin)",Coumadin (blood thinning pill),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Treatment_Beginning_Episode_Describe,What stroke treatment was he/she on at the beginning of the episode? Other (describe):,DCW_820702.doc,string,,,,,,,PhenX,PX820702030602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_HeadachesOrSeizures_Discharged,Does your child suffer from headaches or seizures since being discharged after the stroke(s)?,DCW_820702.doc,enumerated,,,,,,,PhenX,PX820702040100,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Headaches_Discharged,Headache,DCW_820702.doc,enumerated,,,,,,,PhenX,PX820702040200,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Seizures_Discharged,Seizures,DCW_820702.doc,enumerated,,,,,,,PhenX,PX820702040301,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Seizures_Medicine_Now,"If yes, is he/she on a seizure medicine now?",DCW_820702.doc,enumerated,,,,,skip logic,ASK IF Q4.03.01=Yes,PhenX,PX820702040302,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_OtherHealthProblems_Procedures_FromStrokeOrTreatment,Have there been any other major health problems or procedures resulting from the stroke(s) or the stroke(s) treatment?,DCW_820702.doc,enumerated,,,,,,,PhenX,PX820702050100,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_OtherHealthProblems_Procedures_FromStrokeOrTreatmentDescribe,"If yes, describe: ___________________________________________________________",DCW_820702.doc,string,,,,,skip logic,ASK IF Q5.01=Yes,PhenX,PX820702050200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_MedicationsNow_Stroke_Treatment,What medications are being used right now for stroke treatment?,DCW_820702.doc,enumerated,,,,,,,PhenX,PX820702060100,,,,,None,Aspirin,LMWH (blood thinner injected under the skin),Coumadin (blood thinner pill),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_MedicationsNow_Stroke_Treatment_Describe,"What medications are being used right now for stroke treatment? Other(describe)""",DCW_820702.doc,string,,,,,,,PhenX,PX820702060200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Rehabilitation_Treatment_Now,What rehabilitation treatments is your child receiving now?,DCW_820702.doc,enumerated,,,,,,,PhenX,PX820702070100,,,,,None,Occupational Therapy,Physical Therapy,Speech therapy,Special education services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_Rehabilitation_Treatment_Now_Describe,What rehabilitation treatments is your child receiving now? Other (describe):,DCW_820702.doc,string,,,,,,,PhenX,PX820702070200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_DateOfDeath,"If your child is deceased, please specify: Date of death:",DCW_820702.doc,date,,,,,,,PhenX,PX820702080100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX820702_FunctionalityAfterStrokePediatrics_CauseOfDeath,"If your child is deceased, please specify: Cause of death: ___________________________________________________________",DCW_820702.doc,string,,,,,,,PhenX,PX820702080200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
