VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,
PX150801_QA_Distribution_ID,"Participant ID# entered at ""Subject Name"" prompt",DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801050000,,,,,Yes,No,,,,,,,
PX150801_QA_Distribution_USB_Disconnected,"ActiGraph disconnected from USB cable and ""OK"" clicked",DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801060000,,,,,Yes,No,,,,,,,
PX150801_QA_Distribution_Wearing_Instructions,Participant instructed about how to wear ActiGraph,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801070000,,,,,Yes,No,,,,,,,
PX150801_QA_Distribution_Iliac_Crest_Placement,Actigraph placed as close to iliac crest as possible,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801080000,,,,,Yes,No,,,,,,,
PX150801_QA_Distribution_7Day_Diary_Instructions,Procedure for completing 7-day activity diary explained to participant,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801090000,,,,,Yes,No,,,,,,,
PX150801_QA_Distribution_Return_Procedure,Procedure for returning Actigraph explained to participant,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801100000,,,,,Yes,No,,,,,,,
PX150801_QA_Distribution_Participant_Questions,Participant asked if they have any questions,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801110000,,,,,Yes,No,,,,,,,
PX150801_QA_ActiGraph_Distribution_Form,Fills out ActiGraph Distribution Form,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801120000,,,,,Yes,No,,,,,,,
PX150801_QA_Distribution_Review_Form,Reviews forms for completeness,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801130000,,,,,Yes,No,,,,,,,
PX150801_Date_Returned_Month,Date participant returned ActiGraph to clinic (Month),DCW_150801.doc,integer,month,,,,,,PhenX,PX150801150100,,,,,,,,,,,,,
PX150801_Date_Returned_Day,Date participant returned ActiGraph to clinic (Day),DCW_150801.doc,integer,day,,,,,,PhenX,PX150801150200,,,,,,,,,,,,,
PX150801_Date_Returned_Year,Date participant returned ActiGraph to clinic (Year),DCW_150801.doc,date,year,,,,,,PhenX,PX150801150300,,,,,,,,,,,,,
PX150801_Actigraph_Not_Returned,Did not return ActiGraph,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801150400,,,,,Yes,No,,,,,,,
PX150801_Number_Days_Actigraph_Worn,How many days was ActiGraph worn?,DCW_150801.doc,integer,day,,,,,,PhenX,PX150801160000,,,,,,,,,,,,,
PX150801_Number_Days_Actigraph_Worn_Valid,How many of the days that the ActiGraph was worn were valid?,DCW_150801.doc,integer,day,,,,,,PhenX,PX150801170000,,,,,,,,,,,,,
PX150801_Actigraph_Activity_Recorded,Was any activity collected and recorded on the ActiGraph?,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801180100,,,,,Yes,No,,,,,,,
PX150801_Reason_No_Activity_Recorded,Why wasn't any activity collected and recorded on the ActiGraph? (Please mark all that apply.),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801180200,,,,,Cognitive problems,Dexterity problems,Vision problems,Travel plans interfered,Participant took off; did not replace or restart correctly,Equipment failure; periods not recorded,ActiGraph lost,Participant refused,Other (Please Specify)
PX150801_Reason_No_Activity_Recorded_Specify,"Completed if answer is ""Other Specify""",DCW_150801.doc,string,,,,,"Completed if answer is ""Other Specify""",,PhenX,PX150801180300,,,,,,,,,,,,,
PX150801_Diary_Completed,Was the diary completed?,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801190000,,,,,Yes,No (no diary entries were made),No (some diary entries were made),,,,,,
PX150801_QA_Return_USB,ActiGraph properly connected to USB cable,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801200000,,,,,Yes,No,,,,,,,
PX150801_QA_Return_Download_Button,Download button clicked on ActiWeb Client Software,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801210000,,,,,Yes,No,,,,,,,
PX150801_QA_Return_Data_Saved,Data saved properly,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801220000,,,,,Yes,No,,,,,,,
PX150801_QA_Return_Review_Diary,"Reviews activity diary to see if completely filled out, partially filled out, or not filled out at all",DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801230000,,,,,Yes,No,,,,,,,
PX150801_QA_Return_Enter_Activity_On_Computer,Correctly enters activities on computer,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801240000,,,,,Yes,No,,,,,,,
PX150801_QA_Return_Days_Recorded,Records how many days the ActiGraph was worn on ActiGraph Return and Reading Form,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801250000,,,,,Yes,No,,,,,,,
PX150801_QA_Return_Valid_Days_Recorded,Records how many valid days the ActiGraph was worn on ActiGraph Return and Reading Form,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801260000,,,,,Yes,No,,,,,,,
PX150801_QA_Return_Diary_Recorded,"Records whether diary was completed partially, fully, or not at all on the ActiGraph Return and Reading Form",DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801270000,,,,,Yes,No,,,,,,,
PX150801_QA_Return_Reviews_Forms,Reviews forms for completeness,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801280000,,,,,Yes,No,,,,,,,
PX150801_Diary_Day1_Date_Month,Today's Date (Month),DCW_150801.doc,integer,month,,,,,,PhenX,PX150801290101,,,,,,,,,,,,,
PX150801_Diary_Day1_Date_Day,Today's Date (Day),DCW_150801.doc,integer,day,,,,,,PhenX,PX150801290102,,,,,,,,,,,,,
PX150801_Diary_Day1_Date_Year,Today's Date (Year),DCW_150801.doc,integer,year,,,,,,PhenX,PX150801290103,,,,,,,,,,,,,
PX150801_Diary_Day1_Day_Name,Day,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801290200,,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,
PX150801_Diary_Day1_Start_Time_Hour,Starting Time (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801290301,,,,,,,,,,,,,
PX150801_Diary_Day1_Start_Time_Minute,Starting Time (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801290302,,,,,,,,,,,,,
PX150801_Diary_Day1_Start_Time_AMPM,Starting Time (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801290303,,,,,AM,PM,,,,,,,
PX150801_Diary_Day1_TimeOff1_Hour,Time took off (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801290401,,,,,,,,,,,,,
PX150801_Diary_Day1_TimeOff1_Minute,Time took off (Minute),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801290402,,,,,,,,,,,,,
PX150801_Diary_Day1_TimeOff1_AMPM,Time took off,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801290403,,,,,AM,PM,,,,,,,
PX150801_Diary_Day1_TimeOff1_Activity,Activity while NOT wearing monitor,DCW_150801.doc,string,,,,,,,PhenX,PX150801290500,,,,,,,,,,,,,
PX150801_Diary_Day1_TimeBackOn1_Hour,Time put back on (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801290601,,,,,,,,,,,,,
PX150801_Diary_Day1_TimeBackOn1_Minutes,Time put back on (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801290602,,,,,,,,,,,,,
PX150801_Diary_Day1_TimeBackOn1_AMPM,Time put back on (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801290603,,,,,AM,PM,,,,,,,
PX150801_Diary_Day1_EndTime_Hour,End time (right before going to sleep) (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801290701,,,,,,,,,,,,,
PX150801_Diary_Day1_EndTime_Minutes,End time (right before going to sleep) (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801290702,,,,,,,,,,,,,
PX150801_Diary_Day1_EndTime_AMPM,End time (right before going to sleep) (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801290703,,,,,AM,PM,,,,,,,
PX150801_Diary_Day2_Date_Month,Today's Date (Month),DCW_150801.doc,integer,month,,,,,,PhenX,PX150801300101,,,,,,,,,,,,,
PX150801_Diary_Day2_Date_Day,Today's Date (Day),DCW_150801.doc,integer,day,,,,,,PhenX,PX150801300102,,,,,,,,,,,,,
PX150801_Diary_Day2_Date_Year,Today's Date (Year),DCW_150801.doc,integer,year,,,,,,PhenX,PX150801300103,,,,,,,,,,,,,
PX150801_Diary_Day2_Day_Name,Day,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801300200,,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,
PX150801_Diary_Day2_Start_Time_Hour,Starting Time (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801300301,,,,,,,,,,,,,
PX150801_Diary_Day2_Start_Time_Minute,Starting Time (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801300302,,,,,,,,,,,,,
PX150801_Diary_Day2_Start_Time_AMPM,Starting Time (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801300303,,,,,AM,PM,,,,,,,
PX150801_Diary_Day2_TimeOff1_Hour,Time took off (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801300401,,,,,,,,,,,,,
PX150801_Diary_Day2_TimeOff1_Minute,Time took off (Minute),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801300402,,,,,,,,,,,,,
PX150801_Diary_Day2_TimeOff1_AMPM,Time took off,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801300403,,,,,AM,PM,,,,,,,
PX150801_Diary_Day2_TimeOff1_Activity,Activity while NOT wearing monitor,DCW_150801.doc,string,,,,,,,PhenX,PX150801300500,,,,,,,,,,,,,
PX150801_Diary_Day2_TimeBackOn1_Hour,Time put back on (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801300601,,,,,,,,,,,,,
PX150801_Diary_Day2_TimeBackOn1_Minutes,Time put back on (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801300602,,,,,,,,,,,,,
PX150801_Diary_Day2_TimeBackOn1_AMPM,Time put back on (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801300603,,,,,AM,PM,,,,,,,
PX150801_Diary_Day2_EndTime_Hour,End time (right before going to sleep) (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801300701,,,,,,,,,,,,,
PX150801_Diary_Day2_EndTime_Minutes,End time (right before going to sleep) (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801300702,,,,,,,,,,,,,
PX150801_Diary_Day2_EndTime_AMPM,End time (right before going to sleep) (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801300703,,,,,AM,PM,,,,,,,
PX150801_Diary_Day3_Date_Month,Today's Date (Month),DCW_150801.doc,integer,month,,,,,,PhenX,PX150801310101,,,,,,,,,,,,,
PX150801_Diary_Day3_Date_Day,Today's Date (Day),DCW_150801.doc,integer,day,,,,,,PhenX,PX150801310102,,,,,,,,,,,,,
PX150801_Diary_Day3_Date_Year,Today's Date (Year),DCW_150801.doc,integer,year,,,,,,PhenX,PX150801310103,,,,,,,,,,,,,
PX150801_Diary_Day3_Day_Name,Day,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801310200,,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,
PX150801_Diary_Day3_Start_Time_Hour,Starting Time (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801310301,,,,,,,,,,,,,
PX150801_Diary_Day3_Start_Time_Minute,Starting Time (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801310302,,,,,,,,,,,,,
PX150801_Diary_Day3_Start_Time_AMPM,Starting Time (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801310303,,,,,AM,PM,,,,,,,
PX150801_Diary_Day3_TimeOff1_Hour,Time took off (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801310401,,,,,,,,,,,,,
PX150801_Diary_Day3_TimeOff1_Minute,Time took off (Minute),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801310402,,,,,,,,,,,,,
PX150801_Diary_Day3_TimeOff1_AMPM,Time took off,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801310403,,,,,AM,PM,,,,,,,
PX150801_Diary_Day3_TimeOff1_Activity,Activity while NOT wearing monitor,DCW_150801.doc,string,,,,,,,PhenX,PX150801310500,,,,,,,,,,,,,
PX150801_Diary_Day3_TimeBackOn1_Hour,Time put back on (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801310601,,,,,,,,,,,,,
PX150801_Diary_Day3_TimeBackOn1_Minutes,Time put back on (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801310602,,,,,,,,,,,,,
PX150801_Diary_Day3_TimeBackOn1_AMPM,Time put back on (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801310603,,,,,AM,PM,,,,,,,
PX150801_Diary_Day3_EndTime_Hour,End time (right before going to sleep) (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801310701,,,,,,,,,,,,,
PX150801_Diary_Day3_EndTime_Minutes,End time (right before going to sleep) (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801310702,,,,,,,,,,,,,
PX150801_Diary_Day3_EndTime_AMPM,End time (right before going to sleep) (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801310703,,,,,AM,PM,,,,,,,
PX150801_Diary_Day4_Date_Month,Today's Date (Month),DCW_150801.doc,integer,month,,,,,,PhenX,PX150801320101,,,,,,,,,,,,,
PX150801_Diary_Day4_Date_Day,Today's Date (Day),DCW_150801.doc,integer,day,,,,,,PhenX,PX150801320102,,,,,,,,,,,,,
PX150801_Diary_Day4_Date_Year,Today's Date (Year),DCW_150801.doc,integer,year,,,,,,PhenX,PX150801320103,,,,,,,,,,,,,
PX150801_Diary_Day4_Day_Name,Day,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801320200,,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,
PX150801_Diary_Day4_Start_Time_Hour,Starting Time (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801320301,,,,,,,,,,,,,
PX150801_Diary_Day4_Start_Time_Minute,Starting Time (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801320302,,,,,,,,,,,,,
PX150801_Diary_Day4_Start_Time_AMPM,Starting Time (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801320303,,,,,AM,PM,,,,,,,
PX150801_Diary_Day4_TimeOff1_Hour,Time took off (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801320401,,,,,,,,,,,,,
PX150801_Diary_Day4_TimeOff1_Minute,Time took off (Minute),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801320402,,,,,,,,,,,,,
PX150801_Diary_Day4_TimeOff1_AMPM,Time took off,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801320403,,,,,AM,PM,,,,,,,
PX150801_Diary_Day4_TimeOff1_Activity,Activity while NOT wearing monitor,DCW_150801.doc,string,,,,,,,PhenX,PX150801320500,,,,,,,,,,,,,
PX150801_Diary_Day4_TimeBackOn1_Hour,Time put back on (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801320601,,,,,,,,,,,,,
PX150801_Diary_Day4_TimeBackOn1_Minutes,Time put back on (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801320602,,,,,,,,,,,,,
PX150801_Diary_Day4_TimeBackOn1_AMPM,Time put back on (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801320603,,,,,AM,PM,,,,,,,
PX150801_Diary_Day4_EndTime_Hour,End time (right before going to sleep) (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801320701,,,,,,,,,,,,,
PX150801_Diary_Day4_EndTime_Minutes,End time (right before going to sleep) (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801320702,,,,,,,,,,,,,
PX150801_Diary_Day4_EndTime_AMPM,End time (right before going to sleep) (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801320703,,,,,AM,PM,,,,,,,
PX150801_Diary_Day5_Date_Month,Today's Date (Month),DCW_150801.doc,integer,month,,,,,,PhenX,PX150801330101,,,,,,,,,,,,,
PX150801_Diary_Day5_Date_Day,Today's Date (Day),DCW_150801.doc,integer,day,,,,,,PhenX,PX150801330102,,,,,,,,,,,,,
PX150801_Diary_Day5_Date_Year,Today's Date (Year),DCW_150801.doc,integer,year,,,,,,PhenX,PX150801330103,,,,,,,,,,,,,
PX150801_Diary_Day5_Day_Name,Day,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801330200,,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,
PX150801_Diary_Day5_Start_Time_Hour,Starting Time (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801330301,,,,,,,,,,,,,
PX150801_Diary_Day5_Start_Time_Minute,Starting Time (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801330302,,,,,,,,,,,,,
PX150801_Diary_Day5_Start_Time_AMPM,Starting Time (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801330303,,,,,AM,PM,,,,,,,
PX150801_Diary_Day5_TimeOff1_Hour,Time took off (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801330401,,,,,,,,,,,,,
PX150801_Diary_Day5_TimeOff1_Minute,Time took off (Minute),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801330402,,,,,,,,,,,,,
PX150801_Diary_Day5_TimeOff1_AMPM,Time took off,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801330403,,,,,AM,PM,,,,,,,
PX150801_Diary_Day5_TimeOff1_Activity,Activity while NOT wearing monitor,DCW_150801.doc,string,,,,,,,PhenX,PX150801330500,,,,,,,,,,,,,
PX150801_Diary_Day5_TimeBackOn1_Hour,Time put back on (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801330601,,,,,,,,,,,,,
PX150801_Diary_Day5_TimeBackOn1_Minutes,Time put back on (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801330602,,,,,,,,,,,,,
PX150801_Diary_Day5_TimeBackOn1_AMPM,Time put back on (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801330603,,,,,AM,PM,,,,,,,
PX150801_Diary_Day5_EndTime_Hour,End time (right before going to sleep) (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801330701,,,,,,,,,,,,,
PX150801_Diary_Day5_EndTime_Minutes,End time (right before going to sleep) (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801330702,,,,,,,,,,,,,
PX150801_Diary_Day5_EndTime_AMPM,End time (right before going to sleep) (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801330703,,,,,AM,PM,,,,,,,
PX150801_Diary_Day6_Date_Month,Today's Date (Month),DCW_150801.doc,integer,month,,,,,,PhenX,PX150801340101,,,,,,,,,,,,,
PX150801_Diary_Day6_Date_Day,Today's Date (Day),DCW_150801.doc,integer,day,,,,,,PhenX,PX150801340102,,,,,,,,,,,,,
PX150801_Diary_Day6_Date_Year,Today's Date (Year),DCW_150801.doc,integer,year,,,,,,PhenX,PX150801340103,,,,,,,,,,,,,
PX150801_Diary_Day6_Day_Name,Day,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801340200,,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,
PX150801_Diary_Day6_Start_Time_Hour,Starting Time (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801340301,,,,,,,,,,,,,
PX150801_Diary_Day6_Start_Time_Minute,Starting Time (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801340302,,,,,,,,,,,,,
PX150801_Diary_Day6_Start_Time_AMPM,Starting Time (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801340303,,,,,AM,PM,,,,,,,
PX150801_Diary_Day6_TimeOff1_Hour,Time took off (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801340401,,,,,,,,,,,,,
PX150801_Diary_Day6_TimeOff1_Minute,Time took off (Minute),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801340402,,,,,,,,,,,,,
PX150801_Diary_Day6_TimeOff1_AMPM,Time took off,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801340403,,,,,AM,PM,,,,,,,
PX150801_Diary_Day6_TimeOff1_Activity,Activity while NOT wearing monitor,DCW_150801.doc,string,,,,,,,PhenX,PX150801340500,,,,,,,,,,,,,
PX150801_Diary_Day6_TimeBackOn1_Hour,Time put back on (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801340601,,,,,,,,,,,,,
PX150801_Diary_Day6_TimeBackOn1_Minutes,Time put back on (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801340602,,,,,,,,,,,,,
PX150801_Diary_Day6_TimeBackOn1_AMPM,Time put back on (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801340603,,,,,AM,PM,,,,,,,
PX150801_Diary_Day6_EndTime_Hour,End time (right before going to sleep) (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801340701,,,,,,,,,,,,,
PX150801_Diary_Day6_EndTime_Minutes,End time (right before going to sleep) (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801340702,,,,,,,,,,,,,
PX150801_Diary_Day6_EndTime_AMPM,End time (right before going to sleep) (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801340703,,,,,AM,PM,,,,,,,
PX150801_Diary_Day7_Date_Month,Today's Date (Month),DCW_150801.doc,integer,month,,,,,,PhenX,PX150801350101,,,,,,,,,,,,,
PX150801_Diary_Day7_Date_Day,Today's Date (Day),DCW_150801.doc,integer,day,,,,,,PhenX,PX150801350102,,,,,,,,,,,,,
PX150801_Diary_Day7_Date_Year,Today's Date (Year),DCW_150801.doc,integer,year,,,,,,PhenX,PX150801350103,,,,,,,,,,,,,
PX150801_Diary_Day7_Day_Name,Day,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801350200,,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,
PX150801_Diary_Day7_Start_Time_Hour,Starting Time (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801350301,,,,,,,,,,,,,
PX150801_Diary_Day7_Start_Time_Minute,Starting Time (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801350302,,,,,,,,,,,,,
PX150801_Diary_Day7_Start_Time_AMPM,Starting Time (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801350303,,,,,AM,PM,,,,,,,
PX150801_Diary_Day7_TimeOff1_Hour,Time took off (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801350401,,,,,,,,,,,,,
PX150801_Diary_Day7_TimeOff1_Minute,Time took off (Minute),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801350402,,,,,,,,,,,,,
PX150801_Diary_Day7_TimeOff1_AMPM,Time took off,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801350403,,,,,AM,PM,,,,,,,
PX150801_Diary_Day7_TimeOff1_Activity,Activity while NOT wearing monitor,DCW_150801.doc,string,,,,,,,PhenX,PX150801350500,,,,,,,,,,,,,
PX150801_Diary_Day7_TimeBackOn1_Hour,Time put back on (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801350601,,,,,,,,,,,,,
PX150801_Diary_Day7_TimeBackOn1_Minutes,Time put back on (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801350602,,,,,,,,,,,,,
PX150801_Diary_Day7_TimeBackOn1_AMPM,Time put back on (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801350603,,,,,AM,PM,,,,,,,
PX150801_Diary_Day7_EndTime_Hour,End time (right before going to sleep) (Hour),DCW_150801.doc,integer,hour,,,,,,PhenX,PX150801350701,,,,,,,,,,,,,
PX150801_Diary_Day7_EndTime_Minutes,End time (right before going to sleep) (Minutes),DCW_150801.doc,integer,minute,,,,,,PhenX,PX150801350702,,,,,,,,,,,,,
PX150801_Diary_Day7_EndTime_AMPM,End time (right before going to sleep) (AM or PM),DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801350703,,,,,AM,PM,,,,,,,
