VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_23,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501230200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_23,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501230300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_24,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501240100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_24,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501240200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_24,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501240300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_25,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501250100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_25,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501250200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_25,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501250300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_26,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501260100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_26,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501260200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_26,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501260300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_27,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501270100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_27,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501270200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_27,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501270300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_28,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501280100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_28,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501280200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_28,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501280300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_29,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501290100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_29,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501290200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_29,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501290300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_30,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501300100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_30,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501300200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_30,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501300300,,,,,,,,,,,,,,,,,,,
