VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,
PX250601_Falls_Lighting,"Was the lighting good enough for you to see well, when you fell?",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601050000,,,,,0 = No,1 = Yes,8 = Refused,9 = Don’t know/non-valid response,,,,,,,,,,,,,,
PX250601_Falls_Health_Medical_Reasons,"Did you fall because of a health, or medical problem?",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601060000,,,,,0 = No [SKIP TO Q8 DIZZY]1 = Yes,8 = Refused,9 = Don’t know/non-valid response,,,,,,,,,,,,,,,
PX250601_Falls_Health_Medical_Reasons_Describe,[IF YES] What was the health or medical problem? [RECORD VERBATIM],DCW_250601.doc,string,,,,,,,PhenX,PX250601070000,,,,,,,,,,,,,,,,,,,,,,
PX250601_Falls_Dizzy_Lightheaded,Were you feeling dizzy or lightheaded when you fell?,DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601080000,,,,,0 = No,1 = Yes,8 = Refused,9 = Don’t know/non-valid response,,,,,,,,,,,,,,
PX250601_Falls_Faint_Unconscious,"Did you faint, pass out, blackout or lose consciousness?",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601090000,,,,,0 = No,1 = Yes,8 = Refused,9 = Don’t know/non-valid response,,,,,,,,,,,,,,
PX250601_Falls_Hurt_Yourself,Did you hurt yourself in any way when you fell?,DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601100000,,,,,0 = No [SKIP TO Q15 EMERGENCY ROOM],1 = Yes,8 = Refused,9 = Don’t know,,,,,,,,,,,,,,
PX250601_Falls_Bone_Fracture,"[If YES] Did you break or fracture a bone? [If not sure, Probe: ""Were you told by a doctor, or other health professional, that you fractured a bone?""]",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601110000,,,,,0 = No [Skip to Q13 OTHER INJURY],1 = Yes,8 = Refused,9 = Don’t know,,,,,,,,,,,,,,
PX250601_Falls_Bone_Fracture_Details,"[IF YES] What bone(s) did you break or fracture? [do not read list, but check all that R mentions that doctor said fractured]",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601120000,,,,,a = Head/skull,b = Face,c = Neck or collar bone,d = Ribs,e = Back/ spine/ vertebrae,f = Shoulder/ Upper arm,g = Elbow,h = Lower arm,i = Wrist,j = Hand/fingers,k = Pelvis,l = Hip,m = Upper leg/ femur,n = Knee,o = Lower leg,p = Ankle,q = Foot/ toes,r = Other
PX250601_Falls_Injuries,"Now I am going to read, a list of some injuries, you may have had from your fall. Please select all injuries from your fall.",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601130000,,,,,a = Dislocated joint?,"b = Sprain, pulled, or torn muscle, tendon or ligament?",c = Bruise or swelling?,d = Cut or Scrape?,e = Another injury? [SPECIFY BELOW],8 = Refused,9 = Don’t know/non-valid response,,,,,,,,,,,
PX250601_Falls_Injuries_Other,[IF ANOTHER INJURY] Probe: Can you describe the injury? [RECORD VERBATIM.],DCW_250601.doc,string,,,,,,,PhenX,PX250601140000,,,,,,,,,,,,,,,,,,,,,,
PX250601_Falls_Emergency_Room_Doctor,"Did you go to the Emergency Room, or to the office of a doctor, or other health professional, because of the fall?",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601150000,,,,,0 = No [next question],"1 = Yes, Emergency Room","2 = Yes, Doctor’s Office","3 = Yes, both the ER and the Doctor’s Office",8 = Refused,9 = Don’t know,,,,,,,,,,,,
PX250601_Falls_Hospital_Admitted,"Were you admitted for an overnight stay, or longer, in the hospital following your fall?",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601160000,,,,,0 = No,1 = Yes,8 = Refused,9 = Don’t know,,,,,,,,,,,,,,
PX250601_Falls_Activity_Description,Identify the ONE response that best describes what participant was doing when s/he fell. (See Probe 1A.)[CHECK ONLY ONE RESPONSE],DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601170000,,,,,"1 = Stepping on, or off, a curb;","2 = Getting into, or out of, a car or other vehicle",3 = Going up stairs (including a stoop),4 = Going down stairs (including a stoop),"5 = Getting onto, or out of, a chair, sofa, bed or toilet;",6 = Walking;,7 = Standing,8 = Sitting or lying,9 = Other (not included above),88 = Refused,99 = Don’t know/non-valid response,,,,,,,
PX250601_Falls_Activity_Location,Select the ONE response that best describes the location of where the fall occurred. (See Probes 1B-1C.)[CHECK ONLY ONE RESPONSE],DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601180000,,,,,1 = Inside own home,2 = Inside someone else’s home,3 = Inside other building,"4 = Inside, other (e.g. train, subway, bus)",5 = Outdoors [SKIP TO Q 20]8 = Refused,9 = Don’t know/non-valid response,,,,,,,,,,,,
PX250601_Falls_Inside_Location,"[If the fall occurred INSIDE,] Identify specific location of inside fall. (See Probes 1B.)",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601190000,,,,,1 = Hallway,2 = Bathroom,3 = Bedroom,4 = Living room,5 = Dining room,6 = Kitchen,7 = Basement or Cellar,8 = Stairs/Stairwell (Inside),9 = Escalator,"10 = Moving Walkways (e.g., airport walkway)",11 = In a Train/Bus,12 = Other inside location,88 = Refused,99 = Don’t know/non-valid response,,,,
PX250601_Falls_Outside_Location,"[If the fall occurred outside,] Identify specific location of outside fall.",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601200000,,,,,1 = Stairs/Stairwell (outside),2 = Garden or yard,3 = Sidewalk,4 = Street,5 = Curb,6 = Parking lot,7 = Other outside location,8 = Refused,9 = Don’t know/non-valid response,,,,,,,,,
PX250601_Falls_Surface_Condition,Identify the Ground/Floor Surface Condition (See Probe 1D.),DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601210000,,,,,1 = Wet,2 = Dry,3 = Snowy/icy,8 = Refused,9 = Don’t know/non-valid response,,,,,,,,,,,,,
PX250601_Falls_Slip_Trip_Participant,"Did participant slip or trip on something (such as, a table leg, irregularity in floor or sidewalk surface, step, curb, ladder, clothing, or pet)? (See Probe 1E.)",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601220000,,,,,0 = No,1 = Yes,8 = Refused,9 = Don’t know/non-valid response,,,,,,,,,,,,,,
PX250601_Falls_Knocked_Down,Was participant knocked down by someone or something? (See Probe 1A.),DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601230000,,,,,0 = No,1 = Yes,8 = Refused,9 = Don’t know/non-valid response,,,,,,,,,,,,,,
PX250601_Falls_Injure_Yourself,Did you injure yourself as a result of your fall?,DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601240000,,,,,Yes,No,,,,,,,,,,,,,,,,
PX250601_Falls_Injure_Yourself_Description,"If YES, did you have any of the following (check all that apply)",DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601250000,,,,,hit your head head,broken hip,,,,,,,,,,,,,,,,
PX250601_Falls_Injure_Yourself_Description_Other,"If YES, did you have any of the following (check all that apply): Other (describe)",DCW_250601.doc,string,,,,,,,PhenX,PX250601260000,,,,,,,,,,,,,,,,,,,,,,
PX250601_Falls_Emergency_Room_Hospital,Did you go to the emergency room or stay overnight in the hospital because of the fall?,DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601270000,,,,,Yes,No,,,,,,,,,,,,,,,,
PX250601_Falls_Emergency_Room_Visit,Went to the emergency room because of the fall?,DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601280000,,,,,Yes,No,,,,,,,,,,,,,,,,
PX250601_Falls_Hospital_Overnight,Stayed overnight in the hospital because of the fall?,DCW_250601.doc,encoded values,,,,,,,PhenX,PX250601290000,,,,,Yes,No,,,,,,,,,,,,,,,,
