VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES
PX290601_Employment_Selected_Characteristics_Total_16_24_Members_Unions_Total,Labor force statistics for the 16 to 24 years age group. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010302,,,,,
PX290601_Employment_Selected_Characteristics_Total_16_24_Members_Unions_Percent_Employed,Labor force statistics for the 16 to 24 years age group. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010303,,,,,
PX290601_Employment_Selected_Characteristics_Total_16_24_Represented_Unions_Total,Labor force statistics for the 16 to 24 years age group. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010304,,,,,
PX290601_Employment_Selected_Characteristics_Total_16_24_Represented_Unions_Percent_Employed,Labor force statistics for the 16 to 24 years age group. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010305,,,,,
PX290601_Employment_Selected_Characteristics_Total_25_Over_Total_Employed,Labor force statistics for the 25 years and over age group. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010401,,,,,
PX290601_Employment_Selected_Characteristics_Total_25_Over_Members_Unions_Total,Labor force statistics for the 25 years and over age group. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010402,,,,,
PX290601_Employment_Selected_Characteristics_Total_25_Over_Members_Unions_Percent_Employed,Labor force statistics for the 25 years and over age group. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010403,,,,,
PX290601_Employment_Selected_Characteristics_Total_25_Over_Represented_Unions_Total,Labor force statistics for the 25 years and over age group. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010404,,,,,
PX290601_Employment_Selected_Characteristics_Total_25_Over_Represented_Unions_Percent_Employed,Labor force statistics for the 25 years and over age group. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010405,,,,,
PX290601_Employment_Selected_Characteristics_Total_25_34_Total_Employed,Labor force statistics for the 25 to 34 years age group. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010501,,,,,
PX290601_Employment_Selected_Characteristics_Total_25_34_Members_Unions_Total,Labor force statistics for the 25 to 34 years age group. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010502,,,,,
PX290601_Employment_Selected_Characteristics_Total_25_34_Members_Unions_Percent_Employed,Labor force statistics for the 25 to 34 years age group. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010503,,,,,
PX290601_Employment_Selected_Characteristics_Total_25_34_Represented_Unions_Total,Labor force statistics for the 25 to 34 years age group. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010504,,,,,
PX290601_Employment_Selected_Characteristics_Total_25_34_Represented_Unions_Percent_Employed,Labor force statistics for the 25 to 34 years age group. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010505,,,,,
PX290601_Employment_Selected_Characteristics_Total_35_44_Total_Employed,Labor force statistics for the 35 to 44 years age group. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010601,,,,,
PX290601_Employment_Selected_Characteristics_Total_35_44_Members_Unions_Total,Labor force statistics for the 35 to 44 years age group. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010602,,,,,
PX290601_Employment_Selected_Characteristics_Total_35_44_Members_Unions_Percent_Employed,Labor force statistics for the 35 to 44 years age group. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010603,,,,,
PX290601_Employment_Selected_Characteristics_Total_35_44_Represented_Unions_Total,Labor force statistics for the 35 to 44 years age group. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010604,,,,,
PX290601_Employment_Selected_Characteristics_Total_35_44_Represented_Unions_Percent_Employed,Labor force statistics for the 35 to 44 years age group. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010605,,,,,
PX290601_Employment_Selected_Characteristics_Total_45_54_Total_Employed,Labor force statistics for the 45 to 54 years age group. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010701,,,,,
PX290601_Employment_Selected_Characteristics_Total_45_54_Members_Unions_Total,Labor force statistics for the 45 to 54 years age group. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010702,,,,,
PX290601_Employment_Selected_Characteristics_Total_45_54_Members_Unions_Percent_Employed,Labor force statistics for the 45 to 54 years age group. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010703,,,,,
PX290601_Employment_Selected_Characteristics_Total_45_54_Represented_Unions_Total,Labor force statistics for the 45 to 54 years age group. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010704,,,,,
PX290601_Employment_Selected_Characteristics_Total_45_54_Represented_Unions_Percent_Employed,Labor force statistics for the 45 to 54 years age group. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010705,,,,,
PX290601_Employment_Selected_Characteristics_Total_55_64_Total_Employed,Labor force statistics for the 55 to 64 years age group. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010801,,,,,
PX290601_Employment_Selected_Characteristics_Total_55_64_Members_Unions_Total,Labor force statistics for the 55 to 64 years age group. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010802,,,,,
PX290601_Employment_Selected_Characteristics_Total_55_64_Members_Unions_Percent_Employed,Labor force statistics for the 55 to 64 years age group. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010803,,,,,
PX290601_Employment_Selected_Characteristics_Total_55_64_Represented_Unions_Total,Labor force statistics for the 55 to 64 years age group. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010804,,,,,
PX290601_Employment_Selected_Characteristics_Total_55_64_Represented_Unions_Percent_Employed,Labor force statistics for the 55 to 64 years age group. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010805,,,,,
PX290601_Employment_Selected_Characteristics_Total_65_Over_Total_Employed,Labor force statistics for the 65 years and over age group. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010901,,,,,
PX290601_Employment_Selected_Characteristics_Total_65_Over_Members_Unions_Total,Labor force statistics for the 65 years and over age group. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010902,,,,,
PX290601_Employment_Selected_Characteristics_Total_65_Over_Members_Unions_Percent_Employed,Labor force statistics for the 65 years and over age group. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010903,,,,,
PX290601_Employment_Selected_Characteristics_Total_65_Over_Represented_Unions_Total,Labor force statistics for the 65 years and over age group. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010904,,,,,
PX290601_Employment_Selected_Characteristics_Total_65_Over_Represented_Unions_Percent_Employed,Labor force statistics for the 65 years and over age group. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010905,,,,,
PX290601_Employment_Selected_Characteristics_Men_16_Years_Over_Total_Employed,Labor force statistics for men 16 years and over. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011001,,,,,
PX290601_Employment_Selected_Characteristics_Men_16_Years_Over_Members_Unions_Total,Labor force statistics for men 16 years and over. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011002,,,,,
PX290601_Employment_Selected_Characteristics_Men_16_Years_Over_Members_Unions_Percent_Employed,Labor force statistics for men 16 years and over. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011003,,,,,
PX290601_Employment_Selected_Characteristics_Men_16_Years_Over_Represented_Unions_Total,Labor force statistics for men 16 years and over. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011004,,,,,
PX290601_Employment_Selected_Characteristics_Men_16_Years_Over_Represented_Unions_Percent_Employed,Labor force statistics for men 16 years and over. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011005,,,,,
PX290601_Employment_Selected_Characteristics_Men_16_24_Total_Employed,Labor force statistics for men 16 to 24 years old. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011101,,,,,
PX290601_Employment_Selected_Characteristics_Men_16_24_Members_Unions_Total,Labor force statistics for men 16 to 24 years old. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011102,,,,,
PX290601_Employment_Selected_Characteristics_Men_16_24_Members_Unions_Percent_Employed,Labor force statistics for men 16 to 24 years old. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011103,,,,,
PX290601_Employment_Selected_Characteristics_Men_16_24_Represented_Unions_Total,Labor force statistics for men 16 to 24 years old. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011104,,,,,
PX290601_Employment_Selected_Characteristics_Men_16_24_Represented_Unions_Percent_Employed,Labor force statistics for men 16 to 24 years old. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011105,,,,,
PX290601_Employment_Selected_Characteristics_Men_25_Over_Total_Employed,Labor force statistics for men 25 years old and over. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011201,,,,,
PX290601_Employment_Selected_Characteristics_Men_25_Over_Members_Unions_Total,Labor force statistics for men 25 years old and over. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011202,,,,,
PX290601_Employment_Selected_Characteristics_Men_25_Over_Members_Unions_Percent_Employed,Labor force statistics for men 25 years old and over. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011203,,,,,
PX290601_Employment_Selected_Characteristics_Men_25_Over_Represented_Unions_Total,Labor force statistics for men 25 years old and over. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011204,,,,,
PX290601_Employment_Selected_Characteristics_Men_25_Over_Represented_Unions_Percent_Employed,Labor force statistics for men 25 years old and over. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011205,,,,,
PX290601_Employment_Selected_Characteristics_Men_25_34_Total_Employed,Labor force statistics for men 25 to 34 years old. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011301,,,,,
PX290601_Employment_Selected_Characteristics_Men_25_34_Members_Unions_Total,Labor force statistics for men 25 to 34 years old. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011302,,,,,
PX290601_Employment_Selected_Characteristics_Men_25_34_Members_Unions_Percent_Employed,Labor force statistics for men 25 to 34 years old. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011303,,,,,
PX290601_Employment_Selected_Characteristics_Men_25_34_Represented_Unions_Total,Labor force statistics for men 25 to 34 years old. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011304,,,,,
PX290601_Employment_Selected_Characteristics_Men_25_34_Represented_Unions_Percent_Employed,Labor force statistics for men 25 to 34 years old. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011305,,,,,
PX290601_Employment_Selected_Characteristics_Men_35_44_Total_Employed,Labor force statistics for men 35 to 44 years old. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011401,,,,,
PX290601_Employment_Selected_Characteristics_Men_35_44_Members_Unions_Total,Labor force statistics for men 35 to 44 years old. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011402,,,,,
PX290601_Employment_Selected_Characteristics_Men_35_44_Members_Unions_Percent_Employed,Labor force statistics for men 35 to 44 years old. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011403,,,,,
PX290601_Employment_Selected_Characteristics_Men_35_44_Represented_Unions_Total,Labor force statistics for men 35 to 44 years old. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011404,,,,,
PX290601_Employment_Selected_Characteristics_Men_35_44_Represented_Unions_Percent_Employed,Labor force statistics for men 35 to 44 years old. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011405,,,,,
PX290601_Employment_Selected_Characteristics_Men_45_54_Total_Employed,Labor force statistics for men 45 to 54 years old. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011501,,,,,
PX290601_Employment_Selected_Characteristics_Men_45_54_Members_Unions_Total,Labor force statistics for men 45 to 54 years old. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011502,,,,,
PX290601_Employment_Selected_Characteristics_Men_45_54_Members_Unions_Percent_Employed,Labor force statistics for men 45 to 54 years old. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011503,,,,,
PX290601_Employment_Selected_Characteristics_Men_45_54_Represented_Unions_Total,Labor force statistics for men 45 to 54 years old. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011504,,,,,
PX290601_Employment_Selected_Characteristics_Men_45_54_Represented_Unions_Percent_Employed,Labor force statistics for men 45 to 54 years old. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011505,,,,,
PX290601_Employment_Selected_Characteristics_Men_55_64_Total_Employed,Labor force statistics for men 55 to 64 years old. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011601,,,,,
PX290601_Employment_Selected_Characteristics_Men_55_64_Members_Unions_Total,Labor force statistics for men 55 to 64 years old. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011602,,,,,
PX290601_Employment_Selected_Characteristics_Men_55_64_Members_Unions_Percent_Employed,Labor force statistics for men 55 to 64 years old. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011603,,,,,
PX290601_Employment_Selected_Characteristics_Men_55_64_Represented_Unions_Total,Labor force statistics for men 55 to 64 years old. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011604,,,,,
PX290601_Employment_Selected_Characteristics_Men_55_64_Represented_Unions_Percent_Employed,Labor force statistics for men 55 to 64 years old. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011605,,,,,
PX290601_Employment_Selected_Characteristics_Men_65_Over_Total_Employed,Labor force statistics for men 65 years and older. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011701,,,,,
PX290601_Employment_Selected_Characteristics_Men_65_Over_Members_Unions_Total,Labor force statistics for men 65 years and older. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011702,,,,,
PX290601_Employment_Selected_Characteristics_Men_65_Over_Members_Unions_Percent_Employed,Labor force statistics for men 65 years and older. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011703,,,,,
PX290601_Employment_Selected_Characteristics_Men_65_Over_Represented_Unions_Total,Labor force statistics for men 65 years and older. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011704,,,,,
PX290601_Employment_Selected_Characteristics_Men_65_Over_Represented_Unions_Percent_Employed,Labor force statistics for men 65 years and older. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011705,,,,,
PX290601_Employment_Selected_Characteristics_Women_16_Years_Over_Total_Employed,Labor force statistics for women 16 years and over. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011801,,,,,
PX290601_Employment_Selected_Characteristics_Women_16_Years_Over_Members_Unions_Total,Labor force statistics for women 16 years and over. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011802,,,,,
PX290601_Employment_Selected_Characteristics_Women_16_Years_Over_Members_Unions_Percent_Employed,Labor force statistics for women 16 years and over. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011803,,,,,
PX290601_Employment_Selected_Characteristics_Women_16_Years_Over_Represented_Unions_Total,Labor force statistics for women 16 years and over. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011804,,,,,
PX290601_Employment_Selected_Characteristics_Women_16_Years_Over_Represented_Unions_Percent_Employed,Labor force statistics for women 16 years and over. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011805,,,,,
PX290601_Employment_Selected_Characteristics_Women_16_24_Total_Employed,Labor force statistics for women 16 to 24 years old. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011901,,,,,
PX290601_Employment_Selected_Characteristics_Women_16_24_Members_Unions_Total,Labor force statistics for women 16 to 24 years old. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011902,,,,,
PX290601_Employment_Selected_Characteristics_Women_16_24_Members_Unions_Percent_Employed,Labor force statistics for women 16 to 24 years old. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011903,,,,,
PX290601_Employment_Selected_Characteristics_Women_16_24_Represented_Unions_Total,Labor force statistics for women 16 to 24 years old. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601011904,,,,,
PX290601_Employment_Selected_Characteristics_Women_16_24_Represented_Unions_Percent_Employed,Labor force statistics for women 16 to 24 years old. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601011905,,,,,
PX290601_Employment_Selected_Characteristics_Women_25_Over_Total_Employed,Labor force statistics for women 25 years old and over. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012001,,,,,
PX290601_Employment_Selected_Characteristics_Women_25_Over_Members_Unions_Total,Labor force statistics for women 25 years old and over. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012002,,,,,
PX290601_Employment_Selected_Characteristics_Women_25_Over_Members_Unions_Percent_Employed,Labor force statistics for women 25 years old and over. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601012003,,,,,
PX290601_Employment_Selected_Characteristics_Women_25_Over_Represented_Unions_Total,Labor force statistics for women 25 years old and over. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012004,,,,,
PX290601_Employment_Selected_Characteristics_Women_25_Over_Represented_Unions_Percent_Employed,Labor force statistics for women 25 years old and over. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601012005,,,,,
PX290601_Employment_Selected_Characteristics_Women_25_34_Total_Employed,Labor force statistics for women 25 to 34 years old. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012101,,,,,
PX290601_Employment_Selected_Characteristics_Women_25_34_Members_Unions_Total,Labor force statistics for women 25 to 34 years old. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012102,,,,,
PX290601_Employment_Selected_Characteristics_Women_25_34_Members_Unions_Percent_Employed,Labor force statistics for women 25 to 34 years old. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601012103,,,,,
PX290601_Employment_Selected_Characteristics_Women_25_34_Represented_Unions_Total,Labor force statistics for women 25 to 34 years old. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012104,,,,,
PX290601_Employment_Selected_Characteristics_Women_25_34_Represented_Unions_Percent_Employed,Labor force statistics for women 25 to 34 years old. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601012105,,,,,
PX290601_Employment_Selected_Characteristics_Women_35_44_Total_Employed,Labor force statistics for women 35 to 44 years old. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012201,,,,,
PX290601_Employment_Selected_Characteristics_Women_35_44_Members_Unions_Total,Labor force statistics for women 35 to 44 years old. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012202,,,,,
PX290601_Employment_Selected_Characteristics_Women_35_44_Members_Unions_Percent_Employed,Labor force statistics for women 35 to 44 years old. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601012203,,,,,
PX290601_Employment_Selected_Characteristics_Women_35_44_Represented_Unions_Total,Labor force statistics for women 35 to 44 years old. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012204,,,,,
PX290601_Employment_Selected_Characteristics_Women_35_44_Represented_Unions_Percent_Employed,Labor force statistics for women 35 to 44 years old. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601012205,,,,,
PX290601_Employment_Selected_Characteristics_Women_45_54_Total_Employed,Labor force statistics for women 45 to 54 years old. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012301,,,,,
PX290601_Employment_Selected_Characteristics_Women_45_54_Members_Unions_Total,Labor force statistics for women 45 to 54 years old. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012302,,,,,
PX290601_Employment_Selected_Characteristics_Women_45_54_Members_Unions_Percent_Employed,Labor force statistics for women 45 to 54 years old. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601012303,,,,,
PX290601_Employment_Selected_Characteristics_Women_45_54_Represented_Unions_Total,Labor force statistics for women 45 to 54 years old. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012304,,,,,
PX290601_Employment_Selected_Characteristics_Women_45_54_Represented_Unions_Percent_Employed,Labor force statistics for women 45 to 54 years old. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601012305,,,,,
PX290601_Employment_Selected_Characteristics_Women_55_64_Total_Employed,Labor force statistics for women 55 to 64 years old. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012401,,,,,
PX290601_Employment_Selected_Characteristics_Women_55_64_Members_Unions_Total,Labor force statistics for women 55 to 64 years old. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012402,,,,,
PX290601_Employment_Selected_Characteristics_Women_55_64_Members_Unions_Percent_Employed,Labor force statistics for women 55 to 64 years old. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601012403,,,,,
PX290601_Employment_Selected_Characteristics_Women_55_64_Represented_Unions_Total,Labor force statistics for women 55 to 64 years old. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012404,,,,,
PX290601_Employment_Selected_Characteristics_Women_55_64_Represented_Unions_Percent_Employed,Labor force statistics for women 55 to 64 years old. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601012405,,,,,
PX290601_Employment_Selected_Characteristics_Women_65_Over_Total_Employed,Labor force statistics for women 65 years and older. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012501,,,,,
PX290601_Employment_Selected_Characteristics_Women_65_Over_Members_Unions_Total,Labor force statistics for women 65 years and older. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012502,,,,,
PX290601_Employment_Selected_Characteristics_Women_65_Over_Members_Unions_Percent_Employed,Labor force statistics for women 65 years and older. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601012503,,,,,
PX290601_Employment_Selected_Characteristics_Women_65_Over_Represented_Unions_Total,Labor force statistics for women 65 years and older. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012504,,,,,
PX290601_Employment_Selected_Characteristics_Women_65_Over_Represented_Unions_Percent_Employed,Labor force statistics for women 65 years and older. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601012505,,,,,
PX290601_Employment_Selected_Characteristics_White_All_16_Years_Over_Total_Employed,Labor force statistics for white men and women 16 years and over. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012601,,,,,
PX290601_Employment_Selected_Characteristics_White_All_16_Years_Over_Members_Unions_Total,Labor force statistics for white men and women 16 years and over. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012602,,,,,
PX290601_Employment_Selected_Characteristics_White_All_16_Years_Over_Members_Unions_Percent_Employed,Labor force statistics for white men and women 16 years and over. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601012603,,,,,
PX290601_Employment_Selected_Characteristics_White_All_16_Years_Over_Represented_Unions_Total,Labor force statistics for white men and women 16 years and over. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601012604,,,,,
