VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Number_Correct_Consonants_Dabama,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901020203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Number_Additions_Dabama,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020204,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Consonants_Madaba,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020301,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Response_Madaba,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020302,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Number_Correct_Consonants_Madaba,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901020303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Number_Additions_Madaba,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020304,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Consonants_Nabada,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020401,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Response_Nabada,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020402,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Number_Correct_Consonants_Nabada,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901020403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Number_Additions_Nabada,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020404,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Consonants_Banada,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020501,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Response_Banada,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020502,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Number_Correct_Consonants_Banada,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901020503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Number_Additions_Banada,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020504,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Consonants_Manaba,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020601,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Response_Manaba,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020602,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Number_Correct_Consonants_Manaba,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901020603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Number_Additions_Manaba,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020604,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Consonants_Bamadana,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901030101,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Response_Bamadana,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901030102,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Number_Correct_Consonants_Bamadana,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901030103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Number_Additions_Bamadana,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901030104,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Consonants_Danabama,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901030201,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Response_Danabama,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901030202,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Number_Correct_Consonants_Danabama,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901030203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Number_Additions_Danabama,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901030204,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Consonants_Manabada,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901030301,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Response_Manabada,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901030302,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Number_Correct_Consonants_Manabada,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Number_Additions_Manabada,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901030304,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Consonants_Nadamaba,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901030401,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Response_Nadamaba,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901030402,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Number_Correct_Consonants_Nadamaba,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901030403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Quadruple_Number_Additions_Nadamaba,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901030404,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
