VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,
PX100403_Difficulty_Getting_Pregnant_Prospective_Assessment_Age_Menstrual_Cycle_Regular,How old were you when your menstrual periods became regular?,DCW_100403.doc,integer,years,8,21,,ASK IF B7 = 1,,PhenX,PX100403080801,,,,,,,,,,,,
PX100403_Difficulty_Getting_Pregnant_Prospective_Assessment_Age_Menstrual_Cycle_Regular_Encoded,How old were you when your menstrual periods became regular?,DCW_100403.doc,encoded values,,,,,ASK IF B7 = 1,,PhenX,PX100403080802,,,,,99 = Don't know (Go to B12),90 = Never became regular (Go to B12),,,,,,
PX100403_Difficulty_Getting_Pregnant_Prospective_Assessment_Hormonal_Contraceptives_Reason,What is the main reason you started using hormonal contraceptives? (Check all that apply),DCW_100403.doc,encoded values,,,,,ASK IF B7 = 3,,PhenX,PX100403081001,,,,,1 = To regulate my menstrual periods,2 = To prevent pregnancy,3 = To reduce menstrual pain,4 = To treat acne,5 = Other,,,
PX100403_Difficulty_Getting_Pregnant_Prospective_Assessment_Hormonal_Contraceptives_Reason_Other,What is the main reason you started using hormonal contraceptives? (Check all that apply) Other reason,DCW_100403.doc,string,,,,,ASK IF B7 = 3,,PhenX,PX100403081002,,,,,,,,,,,,
PX100403_Difficulty_Getting_Pregnant_Prospective_Assessment_Menstrual_Cycle_Pattern_Past_Two_Years,"Within the past couple of years, has your menstrual period been regular? Please think about those times you were not using hormonal contraceptives?",DCW_100403.doc,encoded values,,,,,,,PhenX,PX100403081200,,,,,1 = Yes (Go to B14),2 = No (go to B13),3 = Cannot say because I was taking hormones most of the time (Go to B14),,,,,
PX100403_Difficulty_Getting_Pregnant_Prospective_Assessment_Menstrual_Cycle_Pattern_Irregularity_Reason,What were the main reasons that your periods were irregular during this time? (Check all that apply.),DCW_100403.doc,enumerated,,,,,ASK IF B12 = 2,,PhenX,PX100403081301,,,,,I was not ovulating (GO TO B15),PCOS/Polycystic Ovary Syndrome (GO TO B15) ,Hormonal abnormality (GO TO B15) ,Stress (GO TO B15) ,Exercise/Diet/Weight-related (GO TO B15),Pregnancy/Breastfeeding (GO TO B15),Other (GO TO B15) ,Don’t Know (GO TO B15) 
PX100403_Difficulty_Getting_Pregnant_Prospective_Assessment_Menstrual_Cycle_Pattern_Irregularity_Reason_Other,What were the main reasons that your periods were irregular during this time? (Check all that apply.) Other,DCW_100403.doc,string,,,,,ASK IF B12 = 2,,PhenX,PX100403081302,,,,,,,,,,,,
PX100403_Difficulty_Getting_Pregnant_Prospective_Assessment_Menstrual_Cycle_Pattern_Without_Hormonal_Contraceptives,"Thinking about the time(s) when you have not used hormonal contraceptives, what is your typical menstrual cycle length? That is, the number of days from the first day of one menstrual period to the first day of your next menstrual period?",DCW_100403.doc,integer,days,,,,,,PhenX,PX100403081401,,,,,,,,,,,,
PX100403_Difficulty_Getting_Pregnant_Prospective_Assessment_Menstrual_Cycle_Pattern_Without_Hormonal_Contraceptives_Encoded,"Thinking about the time(s) when you have not used hormonal contraceptives, what is your typical menstrual cycle length? That is, the number of days from the first day of one menstrual period to the first day of your next menstrual period?",DCW_100403.doc,encoded values,,,,,,,PhenX,PX100403081402,,,,,99 = Don't know,,,,,,,
PX100403_Difficulty_Getting_Pregnant_Prospective_Assessment_Menstrual_Cycle_Pattern_One_Year,About how many menstrual periods do you have in one year (12 months)?,DCW_100403.doc,integer,periods,,,,,,PhenX,PX100403081501,,,,,,,,,,,,
PX100403_Difficulty_Getting_Pregnant_Prospective_Assessment_Menstrual_Cycle_Pattern_One_Year_Encoded,About how many menstrual periods do you have in one year (12 months)?,DCW_100403.doc,encoded values,,,,,,,PhenX,PX100403081502,,,,,99 = Don't know,,,,,,,
PX100403_Difficulty_Getting_Pregnant_Prospective_Assessment_Menstrual_Cycle_Flow_Days,"How many days does your menstrual period usually flow (bleeding, not spotting)?",DCW_100403.doc,encoded values,,,,,,,PhenX,PX100403081600,,,,,1 = Less than 3 days,2 = 3 days,3 = 4 days,4 = 5 days,5 = 6 days,6 = 7 or more days,,
PX100403_Difficulty_Getting_Pregnant_Prospective_Assessment_Menstrual_Cycle_Flow_Describe,How would you classify the total amount of your menstrual flow?,DCW_100403.doc,encoded values,,,,,,,PhenX,PX100403081700,,,,,1 = Light (10 or fewer pads or tampons per period),2 = Moderate (11 to 20 pads or tampons per period),3 = Moderate/heavy (21-30 pads or tampons per period),4 = Heavy (more than 30 pads or tampons per period),,,,
PX100403_Difficulty_Getting_Pregnant_Prospective_Assessment_Menstrual_Cycle_Pain,Do you usually experience pain during your menstrual period? Please focus on the times when you were not using hormonal contraceptives.,DCW_100403.doc,encoded values,,,,,,,PhenX,PX100403081800,,,,,1 = Yes,2 = No (go to end),,,,,,
PX100403_Difficulty_Getting_Pregnant_Prospective_Assessment_Menstrual_Cycle_Pain_Amount,How much pain do you usually have with your menstrual period?,DCW_100403.doc,encoded values,,,,,,,PhenX,PX100403081900,,,,,"1 = Mild cramps, with medication seldom needed","2 = Moderate cramps, with medication usually needed","3 = Severe cramps, with medications and bed rest required",,,,,
