"PX851001_Transfusion_Reaction_Acute_Lung_Injury_Case_Recipient_All","Check all that apply","DCW_851001.doc","enumerated","","","","","","","","PX851001110000","","","","","NO evidence of acute lung injury (ALI) prior to transfusion.","ALI onset during or within 6 hours of cessation of transfusion","Hypoxemia – defined as PaO2/FiO2 less than or equal to 300 mm Hg","Hypoxemia – defined as Oxygen saturation less than 90% on room air","Hypoxemia – defined as Other clinical evidence","Radiographic evidence of bilateral infiltrates","No evidence of left atrial hypertension (i.e., circulatory overload)","","","","","","",""
"PX851001_Transfusion_Reaction_Acute_Lung_Injury_Imputability","Which best describes the relationship between the transfusion and the reaction?","DCW_851001.doc","enumerated","","","","","","","","PX851001120000","","","","","There are no alternative risk factors for ALI present.","There is evidence of other causes for acute lung injury.","Evidence is clearly in favor of a cause other than the transfusion, but transfusion cannot be excluded.","There is conclusive evidence beyond reasonable doubt of a cause other than the transfusion.","The relationship between the adverse reaction and the transfusion is unknown or not stated.","","","","","","","","",""
"PX851001_Transfusion_Reaction_Dyspnea_Case","Check all that apply","DCW_851001.doc","enumerated","","","","","","","","PX851001130000","","","","","Acute respiratory distress occurring within 24 hours of cessation of transfusion.","Allergic reaction, TACO, and TRALI definitions are not applicable.","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Dyspnea_Imputability","Which best describes the relationship between the transfusion and the reaction?","DCW_851001.doc","enumerated","","","","","","","","PX851001140000","","","","","Patient has no other conditions that could explain symptoms.","There are other potential causes that could explain symptoms, but transfusion is the most likely cause.","Other present causes are most likely, but transfusion cannot be ruled out","Evidence is clearly in favor of a cause other than the transfusion, but transfusion cannot be excluded.","There is conclusive evidence beyond reasonable doubt of a cause other than the transfusion.","The relationship between the adverse reaction and the transfusion is unknown or not stated.","","","","","","","",""
"PX851001_Transfusion_Reaction_Allergic_Reaction_Case","Check the following that occurred during or within 4 hours of cessation of transfusion:","DCW_851001.doc","enumerated","","","","","","","","PX851001150000","","","","","Conjunctival edema","Edema of lips, tongue and uvula","Localized angioedema","Erythema and edema of the periorbital area","Respiratory distress; bronchospasm","Generalized flushing","Maculopapular rash","Pruritus (itching)","Hypotension","Urticaria (hives)","","","",""
"PX851001_Transfusion_Reaction_Allergic_Reaction_Imputability_Relationship","Which best describes the relationship between the transfusion and the reaction?","DCW_851001.doc","enumerated","","","","","","","","PX851001160000","","","","","No other evidence of environmental, drug or dietary risks.","There are other potential causes present that could explain acute hemolysis, but transfusion is the most likely cause.","Other present causes are most likely, but transfusion cannot be ruled out.","Evidence is clearly in favor of a cause other than the transfusion, but transfusion cannot be excluded.","There is conclusive evidence beyond reasonable doubt of a cause other than the transfusion.","The relationship between the adverse reaction and the transfusion is unknown or not stated.","","","","","","","",""
"PX851001_Transfusion_Reaction_Allergic_Reaction_Imputability_Reaction","When did the reaction occur in relation to the transfusion?","DCW_851001.doc","enumerated","","","","","","","","PX851001170000","","","","","Occurred during or within 2 hours of cessation of transfusion.","Occurred 2 - 4 hours after cessation of transfusion.","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Allergic_Reaction_Imputability_Restart","Did the same reaction occur after the transfusion was restarted (rechallenge)? ","DCW_851001.doc","enumerated","","","","","","","","PX851001180000","","","","","Yes ","No","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Hypotensive_Transfusion_Case_Cessation","Check all that occurred during or within 1 hour of cessation of transfusion:","DCW_851001.doc","enumerated","","","","","","","","PX851001190000","","","","","All other adverse reactions presenting with hypotension are excluded.","Hypotension occurs, does not meet the criteria above. Other, more specific reaction definitions do not apply.","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Hypotensive_Transfusion_Case_All","Check all that apply:","DCW_851001.doc","enumerated","","","","","","","","PX851001200000","","","","","Hypotension occurs, does not meet the criteria above. Other, more specific reaction definitions do not apply.","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Hypotensive_Transfusion_Imputability_Relationship","Which best describes the relationship between the transfusion and the reaction?","DCW_851001.doc","enumerated","","","","","","","","PX851001210000","","","","","The patient has no other conditions that could explain hypotension.","There are other potential causes present that could explain hypotension, but transfusion is the most likely cause.","Other conditions that could readily explain hypotension are present.","Evidence is clearly in favor of a cause other than the transfusion, but transfusion cannot be excluded.","There is conclusive evidence beyond reasonable doubt of a cause other than the transfusion.","The relationship between the adverse reaction and the transfusion is unknown or not stated.","","","","","","","",""
"PX851001_Transfusion_Reaction_Hypotensive_Transfusion_Imputability_Response","How did the patient respond the cessation of transfusion and supportive treatment?","DCW_851001.doc","enumerated","","","","","","","","PX851001220000","","","","","Responds rapidly (i.e., within 10 minutes) to cessation of transfusion and supportive treatment.","The patient does not respond rapidly to cessation of transfusion and supportive treatment.","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Hypotensive_Transfusion_Imputability_Reaction","When did the reaction occur in relation to the transfusion?","DCW_851001.doc","enumerated","","","","","","","","PX851001230000","","","","","Occurs less than 15 minutes after the start of the transfusion.","Onset is between 15 minutes after start and 1 hour after cessation of transfusion.","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Febrile_Nonhemolytic_Case_Cessation","Check all that occurred during or within 4 hours of cessation of transfusion:","DCW_851001.doc","enumerated","","","","","","","","PX851001240000","","","","","Fever (greater than or equal to 38°C/100.4°F oral and a change of at least 1°C/1.8°F) from pre-transfusion value","Chills/rigors are present","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Febrile_Nonhemolytic_All","Check all that apply:","DCW_851001.doc","enumerated","","","","","","","","PX851001250000","","","","","FNHTR is suspected, but reported symptoms and/or available information are not sufficient.","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Febrile_Nonhemolytic_Imputability","Which best describes the relationship between the transfusion and the reaction?","DCW_851001.doc","enumerated","","","","","","","","PX851001260000","","","","","Patient has no other conditions that could explain signs/symptoms.","There are other potential causes present that could explain signs/symptoms, but transfusion is the most likely cause.","Other present causes are most likely, but transfusion cannot be ruled out.","Evidence is clearly in favor of a cause other than the transfusion, but transfusion cannot be excluded.","There is conclusive evidence beyond reasonable doubt of a cause other than the transfusion.","The relationship between the adverse reaction and the transfusion is unknown or not stated.","","","","","","","",""
"PX851001_Transfusion_Reaction_Acute_Hemolytic_Case","Case Definition","DCW_851001.doc","enumerated","","","","","","","","PX851001270000","","","","","Immune Antibody","Non-immune (specify) ","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Acute_Hemolytic_Case_Immune","Case Definition Immune Antibody","DCW_851001.doc","string","","","","","ASK IF Q27 =  ‘Immune Antibody’","","","PX851001270100","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Acute_Hemolytic_Case_Nonimmune","Case Definition Non-immune (specify) ","DCW_851001.doc","string","","","","","ASK IF Q27 =  ‘Non-immune (specify)’","","","PX851001270200","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Acute_Hemolytic_Case_Cessation","Check the following that occurred during, or within 24 hours of cessation of transfusion with new onset:","DCW_851001.doc","enumerated","","","","","","","","PX851001280000","","","","","Back/flank pain ","Chills/rigors ","Epistaxis ","Disseminated intravascular coagulation (DIC)","Oliguria/anuria ","Hypotension ","Fever ","Hematuria (gross visual hemolysis)","Pain and/or oozing at IV site ","Renal failure ","Other bleeding","","",""
"PX851001_Transfusion_Reaction_Acute_Hemolytic_Case_Cessation_Other","Check the following that occurred during, or within 24 hours of cessation of transfusion with new onset- Other bleeding","DCW_851001.doc","string","","","","","ASK IF Q28 =  ‘Other bleeding’","","","PX851001280100","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Acute_Hemolytic_Case_All","Check all that apply:","DCW_851001.doc","enumerated","","","","","","","","PX851001290000","","","","","Decreased fibrinogen ","Decreased haptoglobin ","Elevated bilirubin","Elevated LDH ","Hemoglobinemia","Hemoglobinuria","Plasma discoloration c/w hemolysis ","Spherocytes on blood film","Positive direct antiglobulin test (DAT) for anti-IgG or anti-C3","Positive elution test with alloantibody present on the transfused red blood cells","Serologic testing is negative, and physical cause (e.g., thermal, osmotic, mechanical, chemical) is confirmed.","Physical cause is excluded but serologic evidence is not sufficient to meet definitive criteria.","Physical cause is suspected and serologic testing is negative.","AHTR is suspected, but symptoms, test results, and/or information are not sufficient to confirm reaction"
"PX851001_Transfusion_Reaction_Acute_Hemolytic_Imputability","Which best describes the relationship between the transfusion and the reaction?","DCW_851001.doc","enumerated","","","","","","","","PX851001300000","","","","","ABO or other allotypic RBC antigen incompatibility is known.","Only transfusion-related (i.e., immune or non-immune) cause of acute hemolysis is present.","There are other potential causes present that could explain acute hemolysis, but transfusion is the most likely cause.","Other present causes are most likely, but transfusion cannot be ruled out.","Evidence is clearly in favor of a cause other than the transfusion, but transfusion cannot be excluded.","There is conclusive evidence beyond reasonable doubt of a cause other than the transfusion.","The relationship between the adverse reaction and the transfusion is unknown or not stated.","","","","","","",""
"PX851001_Transfusion_Reaction_Delayed_Hemolytic_Case","Case Definition","DCW_851001.doc","enumerated","","","","","","","","PX851001310000","","","","","Immune Antibody","Non-immune (specify) ","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Delayed_Hemolytic_Case_Immune","Case Definition Immune Antibody","DCW_851001.doc","string","","","","","ASK IF Q31 =  ‘Immune Antibody’","","","PX851001310100","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Delayed_Hemolytic_Case_Nonimmune","Case Definition Non-immune (specify) ","DCW_851001.doc","string","","","","","ASK IF Q31 =  ‘Non-immune (specify)’","","","PX851001310200","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Delayed_Hemolytic_Case_Cessation","Check the following that occurred between 24 hours and 28 days after cessation of transfusion:","DCW_851001.doc","enumerated","","","","","","","","PX851001320000","","","","","Positive direct antiglobulin test (DAT)","Newly-identified red blood cell alloantibody in recipient serum","Positive elution test with alloantibody present on the transfused red blood cells","Inadequate rise of post-transfusion hemoglobin level or rapid fall in hemoglobin back to pre-transfusion levels","Otherwise unexplained appearance of spherocytes","","","","","","","","",""
"PX851001_Transfusion_Reaction_Delayed_Hemolytic_Case_Suspect","Check if applicable:","DCW_851001.doc","enumerated","","","","","","","","PX851001330000","","","","","DHTR is suspected, but reported symptoms, test results, and/or available information are not sufficient","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Delayed_Hemolytic_Case_Imputability","Which best describes the relationship between the transfusion and the reaction?","DCW_851001.doc","enumerated","","","","","","","","PX851001340000","","","","","No other explanation for symptoms or newly-identified antibody is present.","An alternate explanation for symptoms or newly-identified antibody is present, but transfusion is the most likely cause.","Other explanations for symptoms or newly-identified antibody are more likely, but transfusion cannot be ruled out.","Evidence is clearly in favor of a cause other than the transfusion, but transfusion cannot be excluded.","There is conclusive evidence beyond reasonable doubt of a cause other than the transfusion.","The relationship between the adverse reaction and the transfusion is unknown or not stated.","","","","","","","",""
"PX851001_Transfusion_Reaction_Hyperhemoloysis_Case_All","Check all that apply:","DCW_851001.doc","enumerated","","","","","","","","PX851001350000","","","","","Severe anemia post-transfusion with post-transfusion hemoglobin value lower than pre-transfusion hemoglobin","Evidence of hemolysis (check all that apply)","Increased LDH","Hemoglobinemia","Hemoglobinuria","Hyperbilirubinemia","Relative reticulocytopenia","Presenting symptoms may include fever and VOC post-transfusion","Acute form: less than 7 days post-transfusion, with negative DAT and no new RBC allo or auto antibodies identified","Delayed form: greater than 7 days post-transfusion, usually with positive DAT and new RBC allo or auto antibodies identified.","","","",""
"PX851001_Transfusion_Reaction_Hyperhemoloysis_Case_Antibody","Check all that apply Antibody","DCW_851001.doc","string","","","","","ASK IF Q35 =  ‘Delayed form: greater than 7 days post-transfusion, usually with positive DAT and new RBC allo or auto antibodies identified.’","","","PX851001350100","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Hyperhemoloysis_Imputability","Which best describes the relationship between the transfusion and the reaction?","DCW_851001.doc","enumerated","","","","","","","","PX851001360000","","","","","No other explanation for symptoms","An alternate explanation for symptoms, but transfusion is the most likely cause.","Other present causes are most likely, but transfusion cannot be ruled out.","Evidence is clearly in favor of a cause other than the transfusion, but transfusion cannot be excluded.","There is conclusive evidence beyond reasonable doubt of a cause other than the transfusion.","The relationship between the adverse reaction and the transfusion is unknown or not stated.","","","","","","","",""
"PX851001_Transfusion_Reaction_Delayed_Serologic_Case_Antibody","Antibody(ies):","DCW_851001.doc","string","","","","","","","","PX851001370100","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Delayed_Serologic_Case_All","Check all that apply:","DCW_851001.doc","enumerated","","","","","","","","PX851001370200","","","","","Absence of clinical or laboratory signs of hemolysis","Positive direct antiglobulin test (DAT)","Demonstration of new, clinically-significant antibodies against red blood cells","Positive antibody screen with newly identified RBC alloantibody","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Delayed_Serologic_Imputability_Relationship","Which best describes the relationship between the transfusion and the reaction?","DCW_851001.doc","enumerated","","","","","","","","PX851001380000","","","","","Transfusion performed by your facility is the only possible cause for seroconversion.","The patient has other exposures (e.g. transfusion by another facility or pregnancy) that could explain seroconversion, but transfusion by your facility is the most likely cause.","The patient was transfused by your facility, but other exposures are present that most likely explain seroconversion.","Evidence is clearly in favor of a cause other than the transfusion, but transfusion cannot be excluded.","There is conclusive evidence beyond reasonable doubt of a cause other than the transfusion.","The relationship between the adverse reaction and the transfusion is unknown or not stated.","","","","","","","",""
"PX851001_Transfusion_Reaction_Delayed_Serologic_Imputability_Reaction","When did the reaction occur in relation to the transfusion?","DCW_851001.doc","enumerated","","","","","","","","PX851001390000","","","","","Occurred between 24 hours and 28 days after cessation of transfusion.","Occurred less than 24 hours after cessation of transfusion. ","Occurred greater than 28 days after cessation of transfusion.","No new antibody was identified.","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Graft_Host_Case_Product","Did patient receive non-irradiated blood product(s) in the two months preceding the reaction?","DCW_851001.doc","enumerated","","","","","","","","PX851001400000","","","","","Yes ","No","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Graft_Host_Case_Cessation","Check all that occurred within 2 days to 6 weeks after cessation of transfusion:","DCW_851001.doc","enumerated","","","","","","","","PX851001410000","","","","","Diarrhea ","Fever ","Hepatomegaly ","Pancytopenia","Liver dysfunction (i.e., elevated ALT, AST, Alkaline phosphatase, and bilirubin) ","Marrow aplasia","Characteristic rash: erythematous, maculopapular eruption centrally that spreads to extremities and may, in severe cases, progress to generalized erythroderma and hemorrhagic bullous formation.","","","","","","",""
"PX851001_Transfusion_Reaction_Graft_Host_Case_All","Check all that apply:","DCW_851001.doc","enumerated","","","","","","","","PX851001420000","","","","","Characteristic histological appearance of skin or liver biopsy.","Biopsy negative or not done.","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Graft_Host_Imputability_Relationship","Which best describes the relationship between the transfusion and the reaction?","DCW_851001.doc","enumerated","","","","","","","","PX851001430000","","","","","No other alternative diagnoses.","Other potential causes are present (e.g., stem cell transplantation).","Alternative explanations are more likely (e.g., solid organ transplantation).","Evidence is clearly in favor of a cause other than the transfusion, but transfusion cannot be excluded.","There is conclusive evidence beyond reasonable doubt of a cause other than the transfusion.","The relationship between the adverse reaction and the transfusion is unknown or not stated.","","","","","","","",""
"PX851001_Transfusion_Reaction_Graft_Host_Imputability_Chimerism","WBC chimerism: ","DCW_851001.doc","enumerated","","","","","","","","PX851001440000","","","","","WBC chimerism present ","WBC chimerism not present or not done","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Purpura_Cessation","Check all that occurred after cessation of transfusion:","DCW_851001.doc","enumerated","","","","","","","","PX851001450000","","","","","Alloantibodies in the patient directed against HPA or other platelet specific antigen detected at or after development of thrombocytopenia.","Thrombocytopenia (i.e., decrease in platelets to less than 20% of pre-transfusion count).","Decrease in platelets to levels between 20% and 80% of pre-transfusion count.","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Purpura_All","Check all that apply:","DCW_851001.doc","enumerated","","","","","","","","PX851001460000","","","","","PTP is suspected, but laboratory findings and/or information are not sufficient. NOTE: For example, the patient has a drop in platelet count to less than 80% of pre-transfusion count but HPA antibodies were not tested or were negative.","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Purpura_Relationship","Which best describes the relationship between the transfusion and the reaction?","DCW_851001.doc","enumerated","","","","","","","","PX851001470000","","","","","Patient has no other conditions to explain thrombocytopenia.","There are other potential causes present that could explain thrombocytopenia, but transfusion is the most likely cause.","Alternate explanations for thrombocytopenia are more likely, but transfusion cannot be ruled out.","Evidence is clearly in favor of a cause other than the transfusion, but transfusion cannot be excluded.","There is conclusive evidence beyond reasonable doubt of a cause other than the transfusion.","The relationship between the adverse reaction and the transfusion is unknown or not stated.","","","","","","","",""
"PX851001_Transfusion_Reaction_Purpura_Reaction","When did the reaction occur in relation to the transfusion?","DCW_851001.doc","enumerated","","","","","","","","PX851001480000","","","","","Occurred 5-12 days post-transfusion.","Occurred less than 5 or more than 12 days post-transfusion.","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Transfusion","Was a test to detect a specific pathogen performed on the recipient post-transfusion? ","DCW_851001.doc","enumerated","","","","","","","","PX851001490000","","","","","Yes ","No","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Transfusion_Reactive","If Yes, positive or reactive results? ","DCW_851001.doc","enumerated","","","","","","","","PX851001490100","","","","","Yes ","No","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Transfusion_Reactive_Org_1","If Yes, positive or reactive results? Org1","DCW_851001.doc","string","","","","","ASK IF Q49.1 =  ‘Yes’","","","PX851001490101","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Transfusion_Reactive_Org_2","If Yes, positive or reactive results? Org2","DCW_851001.doc","string","","","","","ASK IF Q49.1 =  ‘Yes’","","","PX851001490102","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Transfusion_Reactive_Org_3","If Yes, positive or reactive results? Org3","DCW_851001.doc","string","","","","","ASK IF Q49.1 =  ‘Yes’","","","PX851001490103","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Donation","Was a test to detect a specific pathogen performed on the donor post-donation? ","DCW_851001.doc","enumerated","","","","","","","","PX851001500000","","","","","Yes ","No","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Donation_Reactive","If Yes, positive or reactive results?","DCW_851001.doc","enumerated","","","","","","","","PX851001500100","","","","","Yes ","No","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Donation_Reactive_Org_1","If Yes, positive or reactive results? Org1","DCW_851001.doc","string","","","","","ASK IF Q50.1 =  ‘Yes’","","","PX851001500101","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Donation_Reactive_Org_2","If Yes, positive or reactive results? Org2","DCW_851001.doc","string","","","","","ASK IF Q50.1 =  ‘Yes’","","","PX851001500102","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Donation_Reactive_Org_3","If Yes, positive or reactive results? Org3","DCW_851001.doc","string","","","","","ASK IF Q50.1 =  ‘Yes’","","","PX851001500103","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Unit","Was a test to detect a specific pathogen performed on the unit post-transfusion? (i.e., culture, serology, NAT) ","DCW_851001.doc","enumerated","","","","","","","","PX851001510000","","","","","Yes ","No","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Unit_Reactive","If Yes, positive or reactive results? ","DCW_851001.doc","enumerated","","","","","","","","PX851001510100","","","","","Yes ","No","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Unit_Reactive_Org_1","If Yes, positive or reactive results? Org1","DCW_851001.doc","string","","","","","ASK IF Q51.1 =  ‘Yes’","","","PX851001510101","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Unit_Reactive_Org_2","If Yes, positive or reactive results? Org2","DCW_851001.doc","string","","","","","ASK IF Q51.1 =  ‘Yes’","","","PX851001510102","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Unit_Reactive_Org_3","If Yes, positive or reactive results? Org3","DCW_851001.doc","string","","","","","ASK IF Q51.1 =  ‘Yes’","","","PX851001510103","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_All","Check all that apply:","DCW_851001.doc","enumerated","","","","","","","","PX851001520000","","","","","Temporally associated unexplained clinical illness consistent with infection","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Imputability","Which best describes the relationship between the transfusion and the reaction?","DCW_851001.doc","enumerated","","","","","","","","PX851001530000","","","","","No other potential exposures to the pathogen could be identified in the recipient.","Evidence is clearly in favor of a cause other than transfusion, but transfusion cannot be excluded.","There is conclusive evidence beyond reasonable doubt of a cause other than the transfusion.","The relationship between the adverse reaction and the transfusion is unknown or not stated.","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Infection_Imputability_All","Check all that apply:","DCW_851001.doc","enumerated","","","","","","","","PX851001540000","","","","","Evidence of the pathogen in the transfused component.","Evidence of the pathogen in the donor at the time of donation.","Evidence of the pathogen in an additional component from the same donation.","Evidence of the pathogen in an additional recipient of a component from the same donation.","Evidence that the identified pathogen strains are related by molecular or extended phenotypic comparison testing with statistical confidence (p<0.05).","Evidence that the transfused component was negative for this pathogen at the time of transfusion","Evidence that the donor was negative for this pathogen at the time of donation.","Evidence that additional components from the same donation were negative for this pathogen.","Evidence that the recipient was not infected with the pathogen prior to transfusion.","Laboratory evidence that the recipient was infected with this pathogen prior to transfusion","","","",""
"PX851001_Transfusion_Reaction_Other","Other, specify: ","DCW_851001.doc","string","","","","","","","","PX851001550000","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Other_Test_Name_1","List tests relevant to reaction investigation -Test name: ","DCW_851001.doc","string","","","","","ASK IF Q55 != NULL","","","PX851001560101","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Other_Test_Date_1","List tests relevant to reaction investigation -Testing date: ","DCW_851001.doc","date","","","","","ASK IF Q55 != NULL","","","PX851001560102","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Other_Test_Result_1","List tests relevant to reaction investigation -Test result: ","DCW_851001.doc","string","","","","","ASK IF Q55 != NULL","","","PX851001560103","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Other_Test_Name_2","List tests relevant to reaction investigation -Test name: ","DCW_851001.doc","string","","","","","ASK IF Q55 != NULL","","","PX851001560201","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Other_Test_Date_2","List tests relevant to reaction investigation -Testing date: ","DCW_851001.doc","date","","","","","ASK IF Q55 != NULL","","","PX851001560202","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Other_Test_Result_2","List tests relevant to reaction investigation -Test result: ","DCW_851001.doc","string","","","","","ASK IF Q55 != NULL","","","PX851001560203","","","","","","","","","","","","","","","","","",""
"PX851001_Transfusion_Reaction_Other__Imputability","Which best describes the relationship between the transfusion and the reaction?","DCW_851001.doc","enumerated","","","","","ASK IF Q55 != NULL","","","PX851001570000","","","","","Conclusive evidence exists that the adverse reaction can be attributed to the transfusion.","Evidence is clearly in favor of attributing the adverse reaction to the transfusion.","Evidence is indeterminate for attributing the adverse reaction to the transfusion or an alternate cause.","Evidence is clearly in favor of a cause other than the transfusion, but transfusion cannot be excluded.","There is conclusive evidence beyond reasonable doubt of a cause other than the transfusion.","The relationship between the adverse reaction and the transfusion is unknown or not stated.","","","","","","","",""
