"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Sedatives_Age_First_Time","How old were you when you FIRST used sedatives or tranquilizers?","DCW_510405.doc","integer","","0","99","","","","PhenX","PX510405010100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Painkillers_Use_Highest_Frequency_Period_Weeks","About how long did that period last when you were using painkillers that frequently? (If less than 1 week enter 1 week)","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use painkillers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405021000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Painkillers_Use_Highest_Frequency_Period_Months","About how long did that period last when you were using painkillers that frequently? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use painkillers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405021100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Painkillers_Use_Highest_Frequency_Period_Years","About how long did that period last when you were using painkillers that frequently? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use painkillers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405021200","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Marijuana_Age_First_Time","How old were you when you FIRST used marijuana?","DCW_510405.doc","integer","","0","99","","","","PhenX","PX510405030100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Marijuana_Use_History","Did you use marijuana in the last 12 months only, before the last 12 months only, or during both time periods?","DCW_510405.doc","encoded values","","","","","ASK IF 'How old were you when you FIRST used marijuana?' > 0","","PhenX","PX510405030200","","","","","1 = Last 12 months only","2 = Prior to last 12 months only","3 = Both time periods","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Marijuana_Use_Frequency","During the last 12 months, about how often did you use marijuana?","DCW_510405.doc","string","","","","","ASK IF 'Did you use marijuana in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405030300","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Marijuana_Use_History_Recent_Days","When was the most recent time you used marijuana? Days","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use marijuana in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405030400","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Marijuana_Use_History_Recent_Weeks","When was the most recent time you used marijuana? Weeks","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use marijuana in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405030500","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Marijuana_Use_History_Recent_Months","When was the most recent time you used marijuana? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use marijuana in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405030600","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Marijuana_Use_History_Recent_Years","When was the most recent time you used marijuana? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use marijuana in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405030700","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Marijuana_Use_Highest_Frequency","Think about the time when you were using marijuana the MOST. At that time about how often did you use (it÷them)?","DCW_510405.doc","string","","","","","ASK IF 'Did you use marijuana in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405030800","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Marijuana_Use_Highest_Frequency_Age","About how old were you when you FIRST BEGAN using marijuana that frequently?","DCW_510405.doc","integer","","0","99","","ASK IF 'Did you use marijuana in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405030900","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Marijuana_Use_Highest_Frequency_Period_Weeks","About how long did that period last when you were using marijuana that frequently? (If less than 1 week enter 1 week)","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use marijuana in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405031000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Marijuana_Use_Highest_Frequency_Period_Months","About how long did that period last when you were using marijuana that frequently? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use marijuana in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405031100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Marijuana_Use_Highest_Frequency_Period_Years","About how long did that period last when you were using marijuana that frequently? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use marijuana in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405031200","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Age_First_Time","How old were you when you FIRST used cocaine or crack?","DCW_510405.doc","integer","","0","99","","","","PhenX","PX510405040100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Use_History","Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?","DCW_510405.doc","encoded values","","","","","ASK IF 'How old were you when you FIRST used cocaine or crack?' > 0","","PhenX","PX510405040200","","","","","1 = Last 12 months only","2 = Prior to last 12 months only","3 = Both time periods","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Use_Frequency","During the last 12 months, about how often did you use cocaine or crack?","DCW_510405.doc","string","","","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405040300","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Use_History_Recent_Days","When was the most recent time you used cocaine or crack? Days","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405040400","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Use_History_Recent_Weeks","When was the most recent time you used cocaine or crack? Weeks","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405040500","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Use_History_Recent_Months","When was the most recent time you used cocaine or crack? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405040600","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Use_History_Recent_Years","When was the most recent time you used cocaine or crack? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405040700","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Use_Highest_Frequency","Think about the time when you were using cocaine or crack the MOST. At that time about how often did you use (it÷them)?","DCW_510405.doc","string","","","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405040800","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Use_Highest_Frequency_Age","About how old were you when you FIRST BEGAN using cocaine or crack that frequently?","DCW_510405.doc","integer","","0","99","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405040900","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Use_Highest_Frequency_Period_Weeks","About how long did that period last when you were using cocaine or crack that frequently? (If less than 1 week enter 1 week)","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405041000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Use_Highest_Frequency_Period_Months","About how long did that period last when you were using cocaine or crack that frequently? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405041100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Cocaine_Use_Highest_Frequency_Period_Years","About how long did that period last when you were using cocaine or crack that frequently? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use cocaine or crack in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405041200","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Age_First_Time","How old were you when you FIRST used stimulants?","DCW_510405.doc","integer","","0","99","","","","PhenX","PX510405050100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Use_History","Did you use stimulants in the last 12 months only, before the last 12 months only, or during both time periods?","DCW_510405.doc","encoded values","","","","","ASK IF 'How old were you when you FIRST used stimulants?' > 0","","PhenX","PX510405050200","","","","","1 = Last 12 months only","2 = Prior to last 12 months only","3 = Both time periods","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Use_Frequency","During the last 12 months, about how often did you use stimulants?","DCW_510405.doc","string","","","","","ASK IF 'Did you use stimulants in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405050300","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Use_History_Recent_Days","When was the most recent time you used stimulants? Days","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use stimulants in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405050400","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Use_History_Recent_Weeks","When was the most recent time you used stimulants? Weeks","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use stimulants in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405050500","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Use_History_Recent_Months","When was the most recent time you used stimulants? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use stimulants in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405050600","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Use_History_Recent_Years","When was the most recent time you used stimulants? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use stimulants in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405050700","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Use_Highest_Frequency","Think about the time when you were using stimulants the MOST. At that time about how often did you use (it÷them)?","DCW_510405.doc","string","","","","","ASK IF 'Did you use stimulants in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405050800","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Use_Highest_Frequency_Age","About how old were you when you FIRST BEGAN using stimulants that frequently?","DCW_510405.doc","integer","","0","99","","ASK IF 'Did you use stimulants in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405050900","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Use_Highest_Frequency_Period_Weeks","About how long did that period last when you were using stimulants that frequently? (If less than 1 week enter 1 week)","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use stimulants in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405051000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Use_Highest_Frequency_Period_Months","About how long did that period last when you were using stimulants that frequently? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use stimulants in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405051100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Stimulants_Use_Highest_Frequency_Period_Years","About how long did that period last when you were using stimulants that frequently? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use stimulants in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405051200","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Club_Drugs_Age_First_Time","How old were you when you FIRST used club drugs?","DCW_510405.doc","integer","","0","99","","","","PhenX","PX510405060100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Club_Drugs_Use_History","Did you use club drugs in the last 12 months only, before the last 12 months only, or during both time periods?","DCW_510405.doc","encoded values","","","","","ASK IF 'How old were you when you FIRST used club drugs?' > 0","","PhenX","PX510405060200","","","","","1 = Last 12 months only","2 = Prior to last 12 months only","3 = Both time periods","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Club_Drugs_Use_Frequency","During the last 12 months, about how often did you use club drugs?","DCW_510405.doc","string","","","","","ASK IF 'Did you use club drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405060300","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Club_Drugs_Use_History_Recent_Days","When was the most recent time you used club drugs? Days","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use club drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405060400","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Club_Drugs_Use_History_Recent_Weeks","When was the most recent time you used club drugs? Weeks","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use club drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405060500","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Club_Drugs_Use_History_Recent_Months","When was the most recent time you used club drugs? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use club drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405060600","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Club_Drugs_Use_History_Recent_Years","When was the most recent time you used club drugs? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use club drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405060700","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Club_Drugs_Use_Highest_Frequency","Think about the time when you were using club drugs the MOST. At that time about how often did you use (it÷them)?","DCW_510405.doc","string","","","","","ASK IF 'Did you use club drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405060800","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Club_Drugs_Use_Highest_Frequency_Age","About how old were you when you FIRST BEGAN using club drugs that frequently?","DCW_510405.doc","integer","","0","99","","ASK IF 'Did you use club drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405060900","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Club_Drugs_Use_Highest_Frequency_Period_Weeks","About how long did that period last when you were using club drugs that frequently? (If less than 1 week enter 1 week)","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use club drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405061000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Club_Drugs_Use_Highest_Frequency_Period_Months","About how long did that period last when you were using club drugs that frequently? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use club drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405061100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Club_Drugs_Use_Highest_Frequency_Period_Years","About how long did that period last when you were using club drugs that frequently? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use club drugs in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405061200","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Hallucinogens_Age_First_Time","How old were you when you FIRST used hallucinogens?","DCW_510405.doc","integer","","0","99","","","","PhenX","PX510405070100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Hallucinogens_Use_History","Did you use hallucinogens in the last 12 months only, before the last 12 months only, or during both time periods?","DCW_510405.doc","encoded values","","","","","ASK IF 'How old were you when you FIRST used hallucinogens?' > 0","","PhenX","PX510405070200","","","","","1 = Last 12 months only","2 = Prior to last 12 months only","3 = Both time periods","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Hallucinogens_Use_Frequency","During the last 12 months, about how often did you use hallucinogens?","DCW_510405.doc","string","","","","","ASK IF 'Did you use hallucinogens in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405070300","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Hallucinogens_Use_History_Recent_Days","When was the most recent time you used hallucinogens? Days","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use hallucinogens in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405070400","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Hallucinogens_Use_History_Recent_Weeks","When was the most recent time you used hallucinogens? Weeks","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use hallucinogens in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405070500","","","","","","","","","","","","","","","","","","","","","","","",""
