VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Inpatient_Care_Ever,"In your entire life, did you EVER go to an inpatient ward of a psychiatric or general hospital or community mental health program?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020401,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Inpatient_Care_Past_Year,Did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes & Q2.4.1 = Yes,,PhenX,PX550702020402,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Inpatient_Care_Past_Year_Drugs,For which medicines or drugs did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020403,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Inpatient_Care_Prior_Last_Year,"Did you go there before 12 months ago, that is before last (Month one year ago)?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Inpatient_Care_Prior_Last_Year_Drugs,For which medicines or drugs did you go there before 12 months ago?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020405,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Outpatient_Clinic_Ever,"In your entire life, did you EVER go to an outpatient clinic, including outreach programs and day or partial patient programs?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020501,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Outpatient_Clinic_Past_Year,Did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes & Q2.5.1 = Yes,,PhenX,PX550702020502,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Outpatient_Clinic_Past_Year_Drugs,For which medicines or drugs did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020503,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Outpatient_Clinic_Prior_Last_Year,"Did you go there before 12 months ago, that is before last (Month one year ago)?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Outpatient_Clinic_Prior_Last_Year_Drugs,For which medicines or drugs did you go there before 12 months ago?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020505,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Rehabilitation_Program_Ever,"In your entire life, did you EVER go to a drug or alcohol rehabilitation program?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020601,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Rehabilitation_Program_Past_Year,Did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes & Q2.6.1 = Yes,,PhenX,PX550702020602,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Rehabilitation_Program_Past_Year_Drugs,For which medicines or drugs did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020603,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Rehabilitation_Program_Prior_Last_Year,"Did you go there before 12 months ago, that is before last (Month one year ago)?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Rehabilitation_Program_Prior_Last_Year_Drugs,For which medicines or drugs did you go there before 12 months ago?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020605,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Methadone_Program_Ever,"In your entire life, did you EVER go to a Methadone Maintenance Program?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020701,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Methadone_Program_Past_Year,Did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes & Q2.7.1 = Yes,,PhenX,PX550702020702,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Methadone_Program_Past_Year_Drugs,For which medicines or drugs did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020703,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Methadone_Program_Prior_Last_Year,"Did you go there before 12 months ago, that is before last (Month one year ago)?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Methadone_Program_Prior_Last_Year_Drugs,For which medicines or drugs did you go there before 12 months ago?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020705,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Emergency_Room_Ever,"In your entire life, did you EVER go to an emergency room for any reason related to your drug use?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020801,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Emergency_Room_Past_Year,Did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes & Q2.8.1 = Yes,,PhenX,PX550702020802,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Emergency_Room_Past_Year_Drugs,For which medicines or drugs did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020803,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Emergency_Room_Prior_Last_Year,"Did you go there before 12 months ago, that is before last (Month one year ago)?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Emergency_Room_Prior_Last_Year_Drugs,For which medicines or drugs did you go there before 12 months ago?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020805,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Halfway_House_Ever,"In your entire life, did you EVER go to a halfway house, including therapeutic communities?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020901,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Halfway_House_Past_Year,Did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes & Q2.9.1 = Yes,,PhenX,PX550702020902,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Halfway_House_Past_Year_Drugs,For which medicines or drugs did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020903,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Halfway_House_Prior_Last_Year,"Did you go there before 12 months ago, that is before last (Month one year ago)?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Halfway_House_Prior_Last_Year_Drugs,For which medicines or drugs did you go there before 12 months ago?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702020905,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Crisis_Center_Ever,"In your entire life, did you EVER go to a crisis center for any reason related to your drug use?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Crisis_Center_Past_Year,Did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes & Q2.10.1 = Yes,,PhenX,PX550702021002,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Crisis_Center_Past_Year_Drugs,For which medicines or drugs did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021003,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Crisis_Center_Prior_Last_Year,"Did you go there before 12 months ago, that is before last (Month one year ago)?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Crisis_Center_Prior_Last_Year_Drugs,For which medicines or drugs did you go there before 12 months ago?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021005,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Employee_Assistance_Program_Ever,"In your entire life, did you EVER go to an Employee Assistance Program (EAP)?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Employee_Assistance_Program_Past_Year,Did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes & Q2.11.1 = Yes,,PhenX,PX550702021102,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Employee_Assistance_Program_Past_Year_Drugs,For which medicines or drugs did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021103,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Employee_Assistance_Program_Prior_Last_Year,"Did you go there before 12 months ago, that is before last (Month one year ago)?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Employee_Assistance_Program_Prior_Last_Year_Drugs,For which medicines or drugs did you go there before 12 months ago?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021105,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Clergyman_Ever,"In your entire life, did you EVER go to a clergyman priest, rabbi or any other religious counselor for any reason related to your drug use?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Clergyman_Past_Year,Did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes & Q2.12.1 = Yes,,PhenX,PX550702021202,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Clergyman_Past_Year_Drugs,For which medicines or drugs did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021203,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Clergyman_Prior_Last_Year,"Did you go there before 12 months ago, that is before last (Month one year ago)?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Clergyman_Prior_Last_Year_Drugs,For which medicines or drugs did you go there before 12 months ago?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021205,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Private_Care_Ever,"In your entire life, did you EVER go to a private physician, psychiatrist, psychologist, social worker or any other professional?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Private_Care_Past_Year,Did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes & Q2.13.1 = Yes,,PhenX,PX550702021302,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Private_Care_Past_Year_Drugs,For which medicines or drugs did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021303,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Private_Care_Prior_Last_Year,"Did you go there before 12 months ago, that is before last (Month one year ago)?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Private_Care_Prior_Last_Year_Drugs,For which medicines or drugs did you go there before 12 months ago?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021305,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Other_Agency_Professional_Ever,"In your entire life, did you EVER go to any other agency or professional?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Other_Agency_Professional_Past_Year,Did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes & Q2.14.1 = Yes,,PhenX,PX550702021402,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Other_Agency_Professional_Past_Year_Drugs,For which medicines or drugs did you go there in the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021403,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Other_Agency_Professional_Prior_Last_Year,"Did you go there before 12 months ago, that is before last (Month one year ago)?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Other_Agency_Professional_Prior_Last_Year_Drugs,For which medicines or drugs did you go there before 12 months ago?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702021405,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Seeking_Assistance_Age_First_Time,How old were you the FIRST time you went anywhere for help or saw anyone for a reason that was related to your medicine or drug use?,DCW_550702.doc,integer,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702030100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Seeking_Assistance_Age_Recent,How old were you the MOST RECENT time you went anywhere for help or saw anyone for a reason that was related to your medicine or drug use? Age,DCW_550702.doc,integer,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702030201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Seeking_Assistance_Age_Recent_Encoded,How old were you the MOST RECENT time you went anywhere for help or saw anyone for a reason that was related to your medicine or drug use? Encoded,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702030202,,,,,0 = Happened only once,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Seeking_Assistance_Fail,"Was there ever a time when you thought you should see a doctor, counselor, or other health professional or seek any other help for your drug use, but you didn't go?",DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes ,,PhenX,PX550702040000,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX550702_Unmet_Need_Alcohol_Drug_Treatment_Seeking_Assistance_Fail_Past_Year,Did this happen during the last 12 months?,DCW_550702.doc,encoded values,,,,,ASK IF Q1 = Yes & Q2.4 = Yes,,PhenX,PX550702050000,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,
