VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Drying_Body,"In the previous month, did you have any difficulty, due to hemophilia, with drying your whole body?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802240000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Shirt_Sweater,"In the previous month, did you have any difficulty, due to hemophilia, with putting on a shirt, sweater, etc.?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802250000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Sock_Shoes,"In the previous month, did you have any difficulty, due to hemophilia, with putting on sock and shoes?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802260000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Tie_Shirt,"In the previous month, did you have any difficulty, due to hemophilia, with putting on a tie or closing the top button of a shirt?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802270000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Toilet,"In the previous month, did you have any difficulty, due to hemophilia, with going to the toilet?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802280000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Shopping,"In the previous month, did you have any difficulty, due to hemophilia, with going out shopping (for food, drink, etc.)?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802290000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Washing_Dishes,"In the previous month, did you have any difficulty, due to hemophilia, with washing the dishes, cleaning the sink?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802300000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Cleaning_House,"In the previous month, did you have any difficulty, due to hemophilia, with cleaning the house?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802310000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Household_Tasks,"In the previous month, did you have any difficulty, due to hemophilia, with other household tasks (ironing, making the beds)?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802320000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Odd_Jobs,"In the previous month, did you have any difficulty, due to hemophilia, with doing odd jobs (both in and around the house)?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802330000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Gardening,"In the previous month, did you have any difficulty, due to hemophilia, with gardening?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802340000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Playing_Games,"In the previous month, did you have any difficulty, due to hemophilia, with playing games (outdoors, e.g. with your children)?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802350000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Sports,"In the previous month, did you have any difficulty, due to hemophilia, with sports?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802360000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Going_Out,"In the previous month, did you have any difficulty, due to hemophilia, with going out (theater/museum/movie theater/bar)?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802370000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Hobbies,"In the previous month, did you have any difficulty, due to hemophilia, with hobbies?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802380000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Dancing,"In the previous month, did you have any difficulty, due to hemophilia, with dancing?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802390000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Holiday,"In the previous month, did you have any difficulty, due to hemophilia, with going on a holiday (active)?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802400000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Holiday_Passive,"In the previous month, did you have any difficulty, due to hemophilia, with going on a holiday (""passive"", beach/hotel holiday)?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802410000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Car_Adaptations,Do you own a car with adaptations?,DCW_910802.doc,enumerated,,,,,,,PhenX,PX910802420100,,,,,No - I don't have a car,No - I don't have adaptations in my car,Yes - I own a car,,,
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Car_Adaptations_Describe,Which of the following does your car have?,DCW_910802.doc,enumerated,,,,,ASK IF Q42.1 = Yes,,PhenX,PX910802420201,,,,,Electronic windows,Power steering,Automatic gearbox,The ability to sit in a wheelchair inside your car,Break and/or accelerator on the steering column,Other
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Car_Adaptations_Describe_Other,Which of the following does your car have? Other,DCW_910802.doc,string,,,,,ASK IF Q42.2 = Other,,PhenX,PX910802420202,,,,,,,,,,
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Aids_Activities,Do you use aids when performing certain activities?,DCW_910802.doc,enumerated,,,,,,,PhenX,PX910802430100,,,,,No - I don't use any aids,Yes - I use an aid,,,,
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Aids_Activities_Describe,Which of the following aids do you use?,DCW_910802.doc,enumerated,,,,,ASK IF Q43.1 = Yes,,PhenX,PX910802430201,,,,,A crutch (1 crutch/cane),Crutches (two),Wheelchair,Rollator,Other,
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Aids_Activities_Describe_Others,Which of the following aids do you use? Other,DCW_910802.doc,string,,,,,ASK IF Q43.2 = Other,,PhenX,PX910802430202,,,,,,,,,,
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Date,What is today's date?,DCW_910802.doc,date,,,,,,,PhenX,PX910802440000,,,,,,,,,,
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Birthdate,What is your date of birth?,DCW_910802.doc,date,,,,,,,PhenX,PX910802450000,,,,,,,,,,
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Type,What type of haemophilia do you have?,DCW_910802.doc,enumerated,,,,,,,PhenX,PX910802460100,,,,,Type A,Type B,,,,
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Severity,What is the severity of your condition?,DCW_910802.doc,enumerated,,,,,,,PhenX,PX910802460200,,,,,Mild,Moderate,Severe,,,
