"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX870202_External_Stigma_Sickle_Cell_Disease_Family_Could_Be_More_Active","My family thinks that I could be more physically active if I wanted.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202110000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_Family_Prescription_Drug_Addict","My family thinks that by taking pain medication on a regular basis, I have become a \"drug addict\".","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202120000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_Family_Less_Respect","I feel that my family has less respect for me since I have sickle cell.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202130000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_Family_Think_Mental_Emotional_Problem","My family thinks that sickle cell pain is more of a mental or emotional problem than a physical problem.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202140000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_Family_Embarrassed","My family feels embarrassed to tell people that I have sickle cell.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202150000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_Nurse_Exaggerate_Pain","Nurses think that people with sickle cell exaggerate their pain.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202160000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_Nurse_Think_Want_More_Medication_Than_Needed","Many nurses think that people with sickle cell pain want more pain medication than is necessary for their physical pain.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202170000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_Nurse_Think_Mental_Emotional_Problem","Nurses think that sickle cell pain is mostly a mental or emotional problem.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202180000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_Nurse_Could_Be_More_Active","Many nurses believe that people with sickle cell could be more physically active if they wanted.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202190000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_Nurse_Prescription_Drug_Addict","Many nurses think that people with sickle cell pain are \"drug addicts\".","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202200000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_Nurse_Prefer_Not_Care","Most nurses would prefer not to care for people with sickle cell disease.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202210000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
