VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_100g_Other,"Glucose tolerance testing (a3 (3-hr) GTT, 100g challenge): Other",DCW_241001.doc,encoded values,,,,,,,PhenX,PX241001020304,,,,,01 = Not done,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_75g_Date,"Glucose tolerance testing (a2 (2-hr) GTT, 75g challenge): Date",DCW_241001.doc,date,,,,,,,PhenX,PX241001030100,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_75g_Test_A_Baseline,Fasting Blood Sugar (FBS) - Test A: a0,DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001030201,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_75g_Test_A_Hour_1,Fasting Blood Sugar (FBS) - Test A: a1 (1-hr),DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001030202,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_75g_Test_A_Hour_2,Fasting Blood Sugar (FBS) - Test A: a2 (2-hr),DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001030203,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_75g_Test_B_Baseline,Fasting Blood Sugar (FBS) - Test B: b0,DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001030301,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_75g_Test_B_Hour_1,Fasting Blood Sugar (FBS) - Test B: b1 (1-hr),DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001030302,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_75g_Test_B_Hour_2,Fasting Blood Sugar (FBS) - Test B: b2 (2-hr),DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001030303,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_75g_Other,"Glucose tolerance testing (a3 (2-hr) GTT, 75g challenge): Other",DCW_241001.doc,encoded values,,,,,,,PhenX,PX241001030400,,,,,01 = Not done,,,,,,,,,,,
PX241001_Gestational_Diabetes_HgbA1_Test_A_Date,HgbA1c test - Test A: Date,DCW_241001.doc,date,,,,,,,PhenX,PX241001040101,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_HgbA1_Test_A_Percentage,HgbA1c test - Test A: Percentage,DCW_241001.doc,numeric,percent,,,,,,PhenX,PX241001040102,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_HgbA1_Test_B_Date,HgbA1c test - Test B: Date,DCW_241001.doc,date,,,,,,,PhenX,PX241001040201,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_HgbA1_Test_B_Percentage,HgbA1c test - Test B: Percentage,DCW_241001.doc,numeric,percent,,,,,,PhenX,PX241001040202,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_HgbA1_TestC_Date,HgbA1c test - Test C: Date,DCW_241001.doc,date,,,,,,,PhenX,PX241001040301,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_HgbA1_TestC_Percentage,HgbA1c test - Test C: Percentage,DCW_241001.doc,numeric,percent,,,,,,PhenX,PX241001040302,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_HgbA1_TestD_Date,HgbA1c test - Test D: Date,DCW_241001.doc,date,,,,,,,PhenX,PX241001040401,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_HgbA1_TestD_Percentage,HgbA1c test - Test D: Percentage,DCW_241001.doc,numeric,percent,,,,,,PhenX,PX241001040402,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Result_Before_Diagnosis,"During this pregnancy, was a fasting plasma glucose result > 92 milligram per deciliter obtained at any gestational age BEFORE meeting the criteria for a diabetes diagnosis?",DCW_241001.doc,encoded values,,,,,,,PhenX,PX241001050000,,,,,"1 = NA, Type 1 or Type II diabetes before pregnancy (End questionnaire)",2 = Yes (Continue to Q5 a),3 = No (Skip to Q6),4 = Not done or none recorded. (Skip to Q6),,,,,,,,
PX241001_Gestational_Diabetes_Fasting_Plasma_Glucose_Test_A_Date,Fasting plasma glucose - Test A: Date,DCW_241001.doc,date,,,,,,,PhenX,PX241001060101,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Fasting_Plasma_Glucose_Test_A_Result,Fasting plasma glucose - Test A: Result,DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001060102,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Fasting_Plasma_Glucose_Test_B_Date,Fasting plasma glucose - Test B: Date,DCW_241001.doc,date,,,,,,,PhenX,PX241001060201,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Fasting_Plasma_Glucose_Test_B_Result,Fasting plasma glucose - Test B: Result,DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001060202,,,,,,,,,,,,,,,,
