VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,
PX300801_Parenting_Behavior_Child_Talk_Parents_Out_Of_Punishment,Please rate each item as to how often it TYPICALLY occurs in your home.   You talk your parents out of punishing you after you have done something wrong.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801080000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Mom_Asks_About_School,Please rate each item as to how often it TYPICALLY occurs in your home.   Your mom asks you about your day in school.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801090100,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Dad_Asks_About_School,Please rate each item as to how often it TYPICALLY occurs in your home.   How about your dad?,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801090200,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Out_Past_Curfew,Please rate each item as to how often it TYPICALLY occurs in your home.   You stay out in the evening past the time you are supposed to be home.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801100000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Mom_Helps_Homework,Please rate each item as to how often it TYPICALLY occurs in your home.   Your mom helps you with your homework.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801110100,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Dad_Helps_Homework,Please rate each item as to how often it TYPICALLY occurs in your home.   How about your dad?,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801110200,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Give_Up,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents give up trying to get you to obey them because it’s too much trouble.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801120000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Compliment_You,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents compliment you when you have done something well.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801130000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Mom_Asks_About_Plans,Please rate each item as to how often it TYPICALLY occurs in your home.   Your mom asks you what your plans are for the coming day.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801140100,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Dad_Asks_About_Plans,Please rate each item as to how often it TYPICALLY occurs in your home.   How about your dad?,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801140200,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Mom_Drives_To_Activities,Please rate each item as to how often it TYPICALLY occurs in your home.   Your mom drives you to a special activity.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801150100,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Dad_Drives_To_Activities,Please rate each item as to how often it TYPICALLY occurs in your home.   How about your dad?,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801150200,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Praise_You,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents praise you for behaving well.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801160000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_DoNot_Know_Friends,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents do not know the friends you are with.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801170000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Hug_And_KissYou,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents hug and kiss you when you have done something well.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801180000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Go_OutWithout_Curfew,Please rate each item as to how often it TYPICALLY occurs in your home.   You go out without a set time to be home.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801190000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Mom_Talks_About_Friends,Please rate each item as to how often it TYPICALLY occurs in your home.   Your mom talks to you about your friends.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801200100,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Dad_Talks_About_Friends,Please rate each item as to how often it TYPICALLY occurs in your home.   How about your dad?,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801200200,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Out_After_Dark_Without_Adult,Please rate each item as to how often it TYPICALLY occurs in your home.   You go out after dark without an adult with you.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801210000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Lift_Restrictions_Early,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents let you out of a punishment early (like lift restrictions earlier than they originally said.),DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801220000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Help_Plan_Family_Activities,Please rate each item as to how often it TYPICALLY occurs in your home.   You help plan family activities.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801230000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Forget_You,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents get so busy that they forget where you are and what you are doing.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801240000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_DoNot_Punish,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents do not punish you when you have done something wrong.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801250000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Mom_School_Meeting,"Please rate each item as to how often it TYPICALLY occurs in your home.   Your mom goes to a meeting at school, like a PTA meeting or parent/teacher conference.",DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801260100,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Dad_School_Meeting,Please rate each item as to how often it TYPICALLY occurs in your home.   How about your dad?,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801260200,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Like_Help,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents tell you that they like it when you help out around the house.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801270000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Out_Late_Parents_DontKnow,Please rate each item as to how often it TYPICALLY occurs in your home.   You stay out later than you are supposed to and your parents don’t know it.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801280000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Leave_House,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents leave the house and don’t tell you where they are going.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801290000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Come_Home_School_Late,Please rate each item as to how often it TYPICALLY occurs in your home.   You come home from school more than an hour past the time your parents expect you to be home.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801300000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Punishment_Parent_Mood,Please rate each item as to how often it TYPICALLY occurs in your home.   The punishment your parents give depends on their mood.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801310000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Home_Without_Adult,Please rate each item as to how often it TYPICALLY occurs in your home.   You are at home without an adult being with you.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801320000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Spank_With_Hand,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents spank you with their hand when you have done something wrong.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801330000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Ignore_Misbehavior,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents ignore you when you are misbehaving.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801340000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Slap_You,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents slap you when you have done something wrong.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801350000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Take_Away_Privilege,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents take away a privilege or money from you as a punishment.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801360000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Send_You_To_Room,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents send you to your room as punishment.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801370000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Hit_Belt_Switch,"Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents hit you with a belt, switch, or other object when you have done something wrong.",DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801380000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Yell_Scream,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents yell or scream at you when you have done something wrong.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801390000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Calmly_Explain,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents calmly explain to you why your behavior was wrong when you misbehave.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801400000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Use_Time_Out,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents use time out (make you sit or stand in a corner) as a punishment.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801410000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300801_Parenting_Behavior_Child_Parents_Give_Chores_Punishment,Please rate each item as to how often it TYPICALLY occurs in your home.   Your parents give you extra chores as a punishment.,DCW_300801.doc,encoded values,,,,,,,PhenX,PX300801420000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
