VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,ASK IF Q1.6.1 = Yes,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Heart_Beating_Fast_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402060500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Nausea,Did you EVER have nausea or vomiting?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402070100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Nausea_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402070200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Nausea_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402070300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Nausea_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402070400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Nausea_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402070500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Yawn,Did you EVER yawn a lot?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402080100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Yawn_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402080200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Yawn_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402080300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Yawn_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402080400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Yawn_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402080500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Runny_Eyes_Nose,Did you EVER have runny eyes or a runny nose (when the effects of a medicine or drug were wearing off)?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402090100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Runny_Eyes_Nose_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402090200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Runny_Eyes_Nose_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402090300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Runny_Eyes_Nose_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402090400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Runny_Eyes_Nose_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402090500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Weight_Gain,Did you EVER eat more than usual or gain weight?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402100100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Weight_Gain_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402100200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Weight_Gain_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402100300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Weight_Gain_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402100400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Weight_Gain_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402100500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Anxious_Nervous,Did you EVER feel anxious or nervous?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402110100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Anxious_Nervous_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402110200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Anxious_Nervous_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402110300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Anxious_Nervous_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402110400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Anxious_Nervous_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402110500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Muscle_Aches,Did you EVER have muscle aches or cramps (when the effects of a medicine or drug were wearing off)?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402120100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Muscle_Aches_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402120200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Muscle_Aches_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402120300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Muscle_Aches_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402120400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Muscle_Aches_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402120500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Fever,Did you EVER have a fever?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402130100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Fever_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402130200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Fever_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402130300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Fever_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402130400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Fever_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402130500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Restless,"Did you EVER become so restless you fidgeted, paced or couldn’t sit still?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402140100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Restless_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402140200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Restless_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402140300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Restless_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402140400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Restless_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402140500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Talk_Move_Slowly,Did you EVER move or talk much more slowly than usual (when the effects of a medicine or drug were wearing off)?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402150100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Talk_Move_Slowly_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402150200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Talk_Move_Slowly_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402150300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Talk_Move_Slowly_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402150400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Talk_Move_Slowly_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402150500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Pupils_Dilation,Did you EVER find your pupils dilating or your hair standing up?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402160100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Pupils_Dilation_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402160200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Pupils_Dilation_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402160300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Pupils_Dilation_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402160400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Pupils_Dilation_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402160500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Unpleasant_Dreams,Did you EVER have unpleasant dreams that often seemed real?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402170100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Unpleasant_Dreams_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402170200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Unpleasant_Dreams_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402170300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Unpleasant_Dreams_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402170400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Unpleasant_Dreams_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402170500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Hallucinations,"Did you EVER see, feel or hear things that weren’t really there (when the effects of a medicine or drug were wearing off)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402180100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Hallucinations_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402180200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Hallucinations_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402180300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Hallucinations_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402180400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Hallucinations_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402180500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Shaky_Trembling_Hands,Did you EVER feel shaky or have shaky or trembling hands?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402190100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Shaky_Trembling_Hands_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402190200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Shaky_Trembling_Hands_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402190300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Shaky_Trembling_Hands_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402190400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Shaky_Trembling_Hands_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402190500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Trouble_Sleeping,Did you EVER have trouble falling asleep or staying asleep?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402200100,,,,,1 = Yes,2 = No,,,,,,,,
