VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstracted_Date_Month,Date Abstracted - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401010100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstracted_Date_Day,Date Abstracted - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401010200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstracted_Date_Year,Date Abstracted - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401010300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstractor_ID,Abstractor ID Number,DCW_190401.doc,integer,,0,9999,,,,PhenX,PX190401020000,,,,,0..9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Nosologist_ID,Nosologist ID Number,DCW_190401.doc,integer,,0,9999,,,,PhenX,PX190401030000,,,,,0..9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_CTR_ID,CTR ID Number,DCW_190401.doc,integer,,0,9999,,,,PhenX,PX190401040000,,,,,0..9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Study_Year,Study Year,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401050000,,,,,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Sigmoidoscopy_Colonoscopy,Sigmoidoscopy or Colonoscopy,DCW_190401.doc,enumerated,,,,,DO NOT RECORD RESULTS OF PLCO SCREENING EXAMIMATIONS.,,PhenX,PX190401110100,,,,,No,Yes,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Type_1,PROCEDURE TYPE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401110201,,,,,1 = Sigmoidoscopy,3 = Colonoscopy,4 = Endoscopy (NOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Date_1_Month,DATE OF PROCEDURE - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401110202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Date_1_Day,DATE OF PROCEDURE - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401110203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Date_1_Year,DATE OF PROCEDURE - Year,DCW_190401.doc,Date,,,,,,,PhenX,PX190401110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Cecum_Visualization_1,CECUM VISUALIZATION,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401110205,,,,,0 = No,1 = Yes,9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Bowel_Preparation_1,BOWEL PREPARATION,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401110206,,,,,0 = Inadequate,1 = Adequate,9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Hyperplastic_Polyps_1,HYPERPLASTIC POLYPS,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401110207,,,,,0 = None,1 = One,2 = Multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Type_2,PROCEDURE TYPE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401110301,,,,,1 = Sigmoidoscopy,3 = Colonoscopy,4 = Endoscopy (NOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Date_2_Month,DATE OF PROCEDURE - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401110302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Date_2_Day,DATE OF PROCEDURE - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401110303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Date_2_Year,DATE OF PROCEDURE - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401110304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Cecum_Visualization_2,CECUM VISUALIZATION,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401110305,,,,,0 = No,1 = Yes,9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Bowel_Preparation_2,BOWEL PREPARATION,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401110306,,,,,0 = Inadequate,1 = Adequate,9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Hyperplastic_Polyps_2,HYPERPLASTIC POLYPS,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401110307,,,,,0 = None,1 = One,2 = Multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Type_3,PROCEDURE TYPE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401110401,,,,,1 = Sigmoidoscopy,3 = Colonoscopy,4 = Endoscopy (NOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Date_3_Month,DATE OF PROCEDURE - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401110402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Date_3_Day,DATE OF PROCEDURE - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401110403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Date_3_Year,DATE OF PROCEDURE - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401110404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Cecum_Visualization_3,CECUM VISUALIZATION,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401110405,,,,,0 = No,1 = Yes,9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Bowel_Preparation_3,BOWEL PREPARATION,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401110406,,,,,0 = Inadequate,1 = Adequate,9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Procedure_Hyperplastic_Polyps_3,HYPERPLASTIC POLYPS,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401110407,,,,,0 = None,1 = One,2 = Multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Sigmoidoscopy_Colonoscopy,Adenomas on Sigmoidoscopy or Colonoscopy,DCW_190401.doc,enumerated,,,,,DO NOT RECORD RESULTS OF PLCO SCREENING EXAMIMATIONS.,,PhenX,PX190401120100,,,,,No,Yes,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Multiple_Polyps_1,MULTIPLE POLYPS IN SPECIMEN JAR?,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120201,,,,,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Procedure_1,PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120202,,,,,1 = Sigmoidoscopy,2 = Colonoscopy,3 = Endoscopy (NOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_1_Cecum,LOCATION - Anatomic  Cecum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120203,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_1_AscendingColon,LOCATION - Anatomic  Ascending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120204,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_1_HepaticFlexure,LOCATION - Anatomic  Hepatic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120205,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_1_TranverseColon,LOCATION - Anatomic  Transverse Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120206,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_1_SplenicFlexure,LOCATION - Anatomic  Splenic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120207,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_1_DescendingColon,LOCATION - Anatomic  Descending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120208,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_1_SigmoidColon,LOCATION - Anatomic  Sigmoid Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120209,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_1_Rectum,LOCATION - Anatomic  Rectum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120210,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_1_Appendix,LOCATION - Anatomic  Appendix,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120211,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_1_NotAvailable,LOCATION - Anatomic  Not Available,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120212,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Distance_1,LOCATION - Distance in cm,DCW_190401.doc,integer,,,,,,,PhenX,PX190401120213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Distance_1_Coded,LOCATION - Distance in cm,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120214,,,,,99 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Size_Dimension_1,SIZE - Longest dimension in cm,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401120215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Size_Dimension_1_Coded,SIZE - Longest dimension in cm,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120216,,,,,99.9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Size_Description_1,SIZE - Description,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120217,,,,,1 = Diminutive,2 = Small,3 = Large,9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Histology_1,HISTOLOGY,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120218,,,,,2 = Tubular adenoma,3 = Tubular villous adenoma,4 = Villous adenoma,5 = Adenoma (NOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Dysplasia_1,DYSPLASIA,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120219,,,,,0 = None,1 = Mild (low grade),2 = Moderate (low grade),3 = Severe (high grade),9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Multiple_Polyps_2,MULTIPLE POLYPS IN SPECIMEN JAR?,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120301,,,,,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Procedure_2,PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120302,,,,,1 = Sigmoidoscopy,2 = Colonoscopy,3 = Endoscopy (NOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_2_Cecum,LOCATION - Anatomic  Cecum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120303,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_2_AscendingColon,LOCATION - Anatomic  Ascending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120304,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_2_HepaticFlexure,LOCATION - Anatomic  Hepatic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120305,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_2_TranverseColon,LOCATION - Anatomic  Transverse Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120306,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_2_SplenicFlexure,LOCATION - Anatomic  Splenic Flexure,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120307,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_2_DescendingColon,LOCATION - Anatomic  Descending Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120308,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_2_SigmoidColon,LOCATION - Anatomic  Sigmoid Colon,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120309,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_2_Rectum,LOCATION - Anatomic  Rectum,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120310,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_2_Appendix,LOCATION - Anatomic  Appendix,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120311,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Anatomic_2_NotAvailable,LOCATION - Anatomic  Not Available,DCW_190401.doc,enumerated,,,,,MARK ALL THAT APPLY FOR MULTIPLE ADENOMAS.,,PhenX,PX190401120312,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Distance_2,LOCATION - Distance In cm,DCW_190401.doc,integer,,,,,,,PhenX,PX190401120313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Location_Distance_2_Coded,LOCATION - Distance In cm,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120314,,,,,99 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Size_Dimension_2,SIZE - Longest dimension in cm,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401120315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Size_Dimension_2_Coded,SIZE - Longest dimension in cm,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120316,,,,,99.9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Size_Description_2,SIZE - Description,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120317,,,,,1 = Diminutive,2 = Small,3 = Large,9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Histology_2,HISTOLOGY,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120318,,,,,2 = Tubular adenoma,3 = Tubular villous adenoma,4 = Villous adenoma,5 = Adenoma (NOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Dysplasia_2,DYSPLASIA,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120319,,,,,0 = None,1 = Mild (low grade),2 = Moderate (low grade),3 = Severe (high grade),9 = Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Adenoma_Multiple_Polyps_3,MULTIPLE POLYPS IN SPECIMEN JAR?,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401120401,,,,,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
