"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX280201_Health_Numeracy_Colon_Cancer_Death_Decreased_Risk","A study found that chemotherapy decreased the risk of dying from colon cancer by about 30%. The study was 95% sure that the real benefit was between 10% and 50%. Which of the following is not in the expected range of benefit?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201110000","","","","","11% decrease in risk","30% decrease in risk","45% decrease in risk","95% decrease in risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Arthritis_Pain_Medicine_Effectiveness","A study in arthritis patients found that medicine A decreased arthritis pain 10% more often than medicine B. The difference was not statistically significant. Which of the following best describes these results?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201120000","","","","","Medicine A and medicine B work equally well","Medicine A is proven to be better than medicine B","Medicine B is proven to be better than medicine A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Diabetes_Medicine_Effectiveness_Significance","A study found that a new diabetes medicine led to control of blood sugar in 8% more patients than the old medicine. This difference was statistically significant (p=0.05). The likelihood that this finding was due to chance alone is:","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201130000","","","","","1 in 5","1 in 10","1 in 15","1 in 20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Randomized_Controlled_Trial_Size","In general, the results of a randomized controlled trial will be more reliable if a larger number of people are in the study.","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201140000","","","","","TRUE","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Exercise_Habits_Life_Expectancy","A survey asked a group of people about their exercise habits and followed them; over time. The study found that those who exercised 3 times a week or more lived an average of 2 years longer than those who did not. What did this study show?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201150000","","","","","Exercising causes people to live longer","There is a relationship between exercising and living longer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Exercise_Diabetes_Percent_Read_Graph","According to the graph below, what percent (%) of adults in the 40–49 year old age group have diabetes?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201160000","","","","","5%","10%","15%","20%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Fever_Temperature_Action_Taken","John had a fever. The doctor told him to come to the hospital if his temperature was above 102.5 F. Otherwise, John should take Tylenol and rest. If John’s temperature is as shown in the picture below, what should John do?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201170000","","","","","Take Tylenol and rest","Go to the hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Nutrition_Label_Calorie_Interpretation","A nutrition label is shown below. How many calories did Mary eat if she had 2 cups of food?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201180000","","","","","140 calories","280 calories","560 calories","680 calories","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Breast_Cancer_Three_Year_Survival","The graph below shows the outcomes of a group of women diagnosed with breast cancer. Andrea has stage 2 breast cancer. According to the graph, what is her chance of surviving 3 years after diagnosis?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201190000","","","","","56%","82%","92%","100%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_New_Medicine_Side_Effect_Chance","Carol is taking a new medicine. The chance of a side effect is very small as shown in the graph below. What number best shows her chance of having a side effect?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201200000","","","","","0.0002","0.002","0.02","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
