"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX870901_Transition_Readiness_Understan_Drugs_Alcohol_Tobacco_Usage_Affect_Sickle_Cell_Disease","I understand how drugs, alcohol, and tobacco usage affect sickle cell disease.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901060000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Understan_Drugs_Alcohol_Tobacco_Usage_Affect_Sickle_Cell_Disease_Comments","I understand how drugs, alcohol, and tobacco usage affect sickle cell disease. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901060100","","","","","","","","",","
"PX870901_Transition_Readiness_Vision_My_Future","I have a vision for my future.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901070000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Vision_My_Future_Comments","I have a vision for my future. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901070100","","","","","","","","",","
"PX870901_Transition_Readiness_Plan_Attend_Collage_Obtaon_Post_Highschool_Training","I plan to attend college or obtain post high school training.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901080000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Plan_Attend_Collage_Obtaon_Post_Highschool_Training_Comments","I plan to attend college or obtain post high school training. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901080100","","","","","","","","",","
"PX870901_Transition_Readiness_Know_Types_Work_Situations_Cause_Problems_Related_Sickle_Cell_Disease","I know the types of work situations that could cause problems related to sickle cell disease.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901090000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Know_Types_Work_Situations_Cause_Problems_Related_Sickle_Cell_Disease_Comments","I know the types of work situations that could cause problems related to sickle cell disease. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901090100","","","","","","","","",","
"PX870901_Transition_Readiness_Talked_Parents_Hopes_Future","I have talked to my parents about my hopes for the future.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901100000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Talked_Parents_Hopes_Future_Comments","I have talked to my parents about my hopes for the future. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901101000","","","","","","","","",","
"PX870901_Transition_Readiness_Participate_Activities_School_Outside_Home","I participate in activities at school and/or outside the home.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901110000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Participate_Activities_School_Outside_Home_Comments","I participate in activities at school and/or outside the home. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901110100","","","","","","","","",","
"PX870901_Transition_Readiness_Friends_Talk_About_Sickle_Cell_Disease","I have friends that I can talk to about sickle cell disease.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901120000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Friends_Talk_About_Sickle_Cell_Disease_Comments","I have friends that I can talk to about sickle cell disease. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901120100","","","","","","","","",","
"PX870901_Transition_Readiness_Good_Social_Support_System","I have a good social \"support\" system.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901130000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Good_Social_Support_System_Comments","I have a good social \"support\" system. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901130100","","","","","","","","",","
"PX870901_Transition_Readiness_Understand_What_Healthy_Relationships_Are","I understand what \"healthy relationships\" are.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901140000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Understand_What_Healthy_Relationships_Are_Comments","I understand what \"healthy relationships\" are. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901140100","","","","","","","","",","
"PX870901_Transition_Readiness_Know_How_Manage_Money_Pay_Bill","I know how to manage money and pay a bill.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901150000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Know_How_Manage_Money_Pay_Bill_Comments","I know how to manage money and pay a bill. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901150100","","","","","","","","",","
"PX870901_Transition_Readiness_Know_How_Get_Prescriptions_Filled","I know how to get my prescriptions filled.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901160000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Know_How_Get_Prescriptions_Filled_Comments","I know how to get my prescriptions filled. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901160100","","","","","","","","",","
"PX870901_Transition_Readiness_Know_How_Make_Doctors_Appointments","I know how to make my own doctors' appointments.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901170000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Know_How_Make_Doctors_Appointments_Comments","I know how to make my own doctors' appointments. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901170100","","","","","","","","",","
"PX870901_Transition_Readiness_Arrange_Transportation_Medical_Appointments","I can arrange transportation to my medical appointments on my own.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901180000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Arrange_Transportation_Medical_Appointments_Comments","I can arrange transportation to my medical appointments on my own. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901180100","","","","","","","","",","
"PX870901_Transition_Readiness_Know_How_Write_Check","I know how to write a check.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901190000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Know_How_Write_Check_Comments","I know how to write a check. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901190100","","","","","","","","",","
"PX870901_Transition_Readiness_Know_How_Use_ATM_Card","I know how to use an ATM card.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901200000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Know_How_Use_ATM_Card_Comments","I know how to use an ATM card. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901201000","","","","","","","","",","
"PX870901_Transition_Readiness_Held_Full_Part_Time_Job","I have held a full or part-time job.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901210000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Held_Full_Part_Time_Job_Comments","I have held a full or part-time job. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901210100","","","","","","","","",","
"PX870901_Transition_Readiness_Go_Doctors_Appointments","I go to my doctor's appointments on my own.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901220000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Go_Doctors_Appointments_Comments","I go to my doctor's appointments on my own. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901220100","","","","","","","","",","
"PX870901_Transition_Readiness_Best_Describes_Current_Living_Arrangment","What best describes my current living arrangement?","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901230000","","","","","I live independently in my own apartment, dorm, or private residence","I share an apartment or residence with someone outside of my family","I live with my parents","I live with other family members","I have other living arrangements (Please describe ________),"
"PX870901_Transition_Readiness_Best_Describes_Current_Living_Arrangment_Other_Write","What best describes my current living arrangement? I have other living arrangements (Please describe _________________)","DCW_870901.doc","string","","","","","ASK IF \"What best describes my current living arrangement?\" = \"I have other living arrangements (Please describe____)\"","","PhenX","PX870901230100","","","","","","","","",","
