"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Communicate_Manage_Symptom","How much do your doctors and other health professionals talk with you about... Ways you can manage any side effects or symptoms?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701140200","","","","","Not at All","Not Very Much","Somewhat","A Lot","A Great Deal","Does Not Apply","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Communicate_Family_Help","How much do your doctors and other health professionals talk with you about... How your family can help care for you?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701140300","","","","","Not at All","Not Very Much","Somewhat","A Lot","A Great Deal","Does Not Apply","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Communicate_Concern_Care","How much do your doctors and other health professionals talk with you about... Any concerns you have about taking care of yourself?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701140400","","","","","Not at All","Not Very Much","Somewhat","A Lot","A Great Deal","Does Not Apply","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Care_Help_Understand","How often do your doctors and other health professionals make sure you understand the steps in your care? ","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701150000","","","","","Never","Rarely","Sometimes","Often","Always","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Help_Uncertainty","Cancer patients often face uncertainties about their cancer. For example, patients may not know what will happen, how treatment is working, and how to make sense of different information and opinions. How well do your doctors and other health professionals help you deal with the uncertainties about your cancer? ","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701160000","","","","","Poorly","Not very well","Fairly well","Very well","Outstanding","Does not apply/have not been any uncertainties","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Understand_Condition","How much do your doctors and other health professionals help you understand... How much do your doctors and other health professionals help you understand... If you are getting better or worse?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701170100","","","","","Not at All","Not Very Much","Somewhat","A Lot","A Great Deal","Does Not Apply","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Understand_Goal","How much do your doctors and other health professionals help you understand... The goal of your care?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701170200","","","","","Not at All","Not Very Much","Somewhat","A Lot","A Great Deal","Does Not Apply","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Understand_Likely_Outcome","How much do your doctors and other health professionals help you understand... What is likely to happen with your cancer?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701170300","","","","","Not at All","Not Very Much","Somewhat","A Lot","A Great Deal","Does Not Apply","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Understand_Symptom_Change","How much do your doctors and other health professionals help you understand... How your symptoms may change?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701170400","","","","","Not at All","Not Very Much","Somewhat","A Lot","A Great Deal","Does Not Apply","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Help_Understand_Information","Patients often get information from different places. How well do your doctors and other health professionals help you understand what information is most important?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701180000","","","","","Poorly","Not very well","Fairly well","Very well","Outstanding","Does not apply/I have not gotten information from different places","","","","",""
