VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Sweating_Hands_Increased_Symptoms_Discomfort,"If you answered yes in Q7a, how much would you say the symptom bothers you?",DCW_130202.doc,encoded values,,,,,ASK IF Q7.1 = Yes,,PhenX,PX130202070200,,,,,1 = Not at all,2 = A little,3 = Some,4 = A moderate amount,5 = A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Nausea_Vomiting_Bloating_Small_Meal,"Have you had any of the following health symptoms during the past 6 months? Do you have nausea, vomiting, or bloating after eating a small meal?",DCW_130202.doc,encoded values,,,,,,,PhenX,PX130202080100,,,,,1 = Yes,0 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Nausea_Vomiting_Bloating_Small_Meal_Symptoms_Discomfort,"If you answered yes in Q8a, how much would you say the symptom bothers you?",DCW_130202.doc,encoded values,,,,,ASK IF Q8.1 = Yes,,PhenX,PX130202080200,,,,,1 = Not at all,2 = A little,3 = Some,4 = A moderate amount,5 = A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Persistent_Diarrhea,Have you had any of the following health symptoms during the past 6 months? Do you have persistent diarrhea (more than 3 loose bowel movements per day)?,DCW_130202.doc,encoded values,,,,,,,PhenX,PX130202090100,,,,,1 = Yes,0 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Persistent_Diarrhea_Symptoms_Discomfort,"If you answered yes in Q9a, how much would you say the symptom bothers you?",DCW_130202.doc,encoded values,,,,,ASK IF Q9.1 = Yes,,PhenX,PX130202090200,,,,,1 = Not at all,2 = A little,3 = Some,4 = A moderate amount,5 = A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Persistent_Constipation,Have you had any of the following health symptoms during the past 6 months? Do you have persistent constipation (less than 1 bowel movement every other day)?,DCW_130202.doc,encoded values,,,,,,,PhenX,PX130202100100,,,,,1 = Yes,0 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Persistent_Constipation_Symptoms_Discomfort,"If you answered yes in Q10a, how much would you say the symptom bothers you?",DCW_130202.doc,encoded values,,,,,ASK IF Q10.1 = Yes,,PhenX,PX130202100200,,,,,1 = Not at all,2 = A little,3 = Some,4 = A moderate amount,5 = A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Leaking_Urine,Have you had any of the following health symptoms during the past 6 months? Do you have leaking of urine?,DCW_130202.doc,encoded values,,,,,,,PhenX,PX130202110100,,,,,1 = Yes,0 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Leaking_Urine_Symptoms_Discomfort,"If you answered yes in Q11a, how much would you say the symptom bothers you?",DCW_130202.doc,encoded values,,,,,ASK IF Q11.1 = Yes,,PhenX,PX130202110200,,,,,1 = Not at all,2 = A little,3 = Some,4 = A moderate amount,5 = A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Difficulty_Obtaining_Erection ,Have you had any of the following health symptoms during the past 6 months? Do you have difficulty obtaining an erection (men)?,DCW_130202.doc,encoded values,,,,,,,PhenX,PX130202120100,,,,,1 = Yes,0 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Difficulty_Obtaining_Erection_Symptoms_Discomfort,"If you answered yes in Q12a, how much would you say the symptom bothers you?",DCW_130202.doc,encoded values,,,,,ASK IF Q12.1 = Yes,,PhenX,PX130202120200,,,,,1 = Not at all,2 = A little,3 = Some,4 = A moderate amount,5 = A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
