VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR2M_DF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 2M (UR2M) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101010100,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR2M_ML_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 2M (UR2M) at the mid-lingual (ML) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101011500,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR2M_DL_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 2M (UR2M) at the distal-lingual (DL) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101011600,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR2M_DL_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 2M (UR2M) at the distal-lingual (DL) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101011700,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR2M_DL_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 2M (UR2M) at the distal-lingual (DL) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101011800,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_DF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101020100,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_DF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101020200,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_DF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the distal facial (DF) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101020300,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_MF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the mid-facial (MF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101020400,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_MF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the mid-facial (MF) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101020500,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_MF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the mid-facial (MF) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101020600,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_MeF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the mesial-facial (MeF)site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101020700,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_MeF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the mesial-facial (MeF)site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101020800,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_MeF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the mesial-facial (MeF)site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101020900,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_MeL_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the mesial-lingual (MeL)site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101021000,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_MeL_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the mesial-lingual (MeL)site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101021100,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_MeL_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the mesial-lingual (MeL)site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101021200,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_ML_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the mid-lingual (ML) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101021300,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_ML_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the mid-lingual (ML) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101021400,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_ML_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the mid-lingual (ML) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101021500,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_DL_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the distal-lingual (DL) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101021600,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_DL_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the distal-lingual (DL) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101021700,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR1M_DL_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 1M (UR1M) at the distal-lingual (DL) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101021800,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR2B_DF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 2B (UR2B) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101030100,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR2B_DF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 2B (UR2B) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101030200,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR2B_DF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 2B (UR2B) at the distal facial (DF) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101030300,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR2B_MF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 2B (UR2B) at the mid-facial (MF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101030400,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR2B_MF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 2B (UR2B) at the mid-facial (MF) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101030500,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR2B_MF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 2B (UR2B) at the mid-facial (MF) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101030600,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR2B_MeF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 2B (UR2B) at the mesial-facial (MeF)site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101030700,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
