VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,
PX520407_Expectancies_Tobacco_Enjoy_People,Rate how likely or unlikely you believe the following consequence has on you when you smoke: Smoking helps me enjoy people more.,DCW_520407.doc,encoded values,,,,,,,PhenX,PX520407160000,,,,,0 = Completely Unlikely,1 = Extremely Unlikely,2 = Very Unlikely,3 = Somewhat Unlikely,4 = A Little Unlikely,5 = A Little Likely,6 = Somewhat Likely,7 = Very Likely,8 = Extremely Likely,9 = Completely Likely,,,,,
PX520407_Expectancies_Tobacco_Judgement,Rate how likely or unlikely you believe the following consequence has on you when you smoke: People think less of me if they see me smoking.,DCW_520407.doc,encoded values,,,,,,,PhenX,PX520407170000,,,,,0 = Completely Unlikely,1 = Extremely Unlikely,2 = Very Unlikely,3 = Somewhat Unlikely,4 = A Little Unlikely,5 = A Little Likely,6 = Somewhat Likely,7 = Very Likely,8 = Extremely Likely,9 = Completely Likely,,,,,
PX520407_Expectancies_Tobacco_Relaxing,"Rate how likely or unlikely you believe the following consequence has on you when you smoke: If I’m feeling irritable, a smoke will help me relax.",DCW_520407.doc,encoded values,,,,,,,PhenX,PX520407180000,,,,,0 = Completely Unlikely,1 = Extremely Unlikely,2 = Very Unlikely,3 = Somewhat Unlikely,4 = A Little Unlikely,5 = A Little Likely,6 = Somewhat Likely,7 = Very Likely,8 = Extremely Likely,9 = Completely Likely,,,,,
PX520407_Expectancies_Tobacco_Irritating,Rate how likely or unlikely you believe the following consequence has on you when you smoke: Smoking irritates my mouth and throat.,DCW_520407.doc,encoded values,,,,,,,PhenX,PX520407190000,,,,,0 = Completely Unlikely,1 = Extremely Unlikely,2 = Very Unlikely,3 = Somewhat Unlikely,4 = A Little Unlikely,5 = A Little Likely,6 = Somewhat Likely,7 = Very Likely,8 = Extremely Likely,9 = Completely Likely,,,,,
PX520407_Expectancies_Tobacco_Control_Weight,Rate how likely or unlikely you believe the following consequence has on you when you smoke: Smoking helps me control my weight.,DCW_520407.doc,encoded values,,,,,,,PhenX,PX520407200000,,,,,0 = Completely Unlikely,1 = Extremely Unlikely,2 = Very Unlikely,3 = Somewhat Unlikely,4 = A Little Unlikely,5 = A Little Likely,6 = Somewhat Likely,7 = Very Likely,8 = Extremely Likely,9 = Completely Likely,,,,,
PX520407_Expectancies_Tobacco_Risk_Health,"Rate how likely or unlikely you believe the following consequence has on you when you smoke: The more I smoke, the more I risk my health.",DCW_520407.doc,encoded values,,,,,,,PhenX,PX520407210000,,,,,0 = Completely Unlikely,1 = Extremely Unlikely,2 = Very Unlikely,3 = Somewhat Unlikely,4 = A Little Unlikely,5 = A Little Likely,6 = Somewhat Likely,7 = Very Likely,8 = Extremely Likely,9 = Completely Likely,,,,,
PX520407_Expectancies_Tobacco_Appetite,Rate how likely or unlikely you believe the following consequence has on you when you smoke: Cigarettes keep me from eating more than I should.,DCW_520407.doc,encoded values,,,,,,,PhenX,PX520407220000,,,,,0 = Completely Unlikely,1 = Extremely Unlikely,2 = Very Unlikely,3 = Somewhat Unlikely,4 = A Little Unlikely,5 = A Little Likely,6 = Somewhat Likely,7 = Very Likely,8 = Extremely Likely,9 = Completely Likely,,,,,
PX520407_Expectancies_Tobacco_Maintain_Weight,Rate how likely or unlikely you believe the following consequence has on you when you smoke: Smoking keeps my weight down.,DCW_520407.doc,encoded values,,,,,,,PhenX,PX520407230000,,,,,0 = Completely Unlikely,1 = Extremely Unlikely,2 = Very Unlikely,3 = Somewhat Unlikely,4 = A Little Unlikely,5 = A Little Likely,6 = Somewhat Likely,7 = Very Likely,8 = Extremely Likely,9 = Completely Likely,,,,,
PX520407_Expectancies_Tobacco_Appear_Ridiculous,Rate how likely or unlikely you believe the following consequence has on you when you smoke: I look ridiculous while smoking.,DCW_520407.doc,encoded values,,,,,,,PhenX,PX520407240000,,,,,0 = Completely Unlikely,1 = Extremely Unlikely,2 = Very Unlikely,3 = Somewhat Unlikely,4 = A Little Unlikely,5 = A Little Likely,6 = Somewhat Likely,7 = Very Likely,8 = Extremely Likely,9 = Completely Likely,,,,,
PX520407_Expectancies_Tobacco_Social_Anxiety,Rate how likely or unlikely you believe the following consequence has on you when you smoke: I feel more at ease with other people if I have a cigarette.,DCW_520407.doc,encoded values,,,,,,,PhenX,PX520407250000,,,,,0 = Completely Unlikely,1 = Extremely Unlikely,2 = Very Unlikely,3 = Somewhat Unlikely,4 = A Little Unlikely,5 = A Little Likely,6 = Somewhat Likely,7 = Very Likely,8 = Extremely Likely,9 = Completely Likely,,,,,
