"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX980201_Covid19_Employment_Status_Work_Two_Weeks_Before_Outbreak","Which of the following best describes your work situation in the two weeks prior to the COVID-19 outbreak?","DCW_980201.doc","enumerated","","","","","","","PhenX","PX980201010000","","","","","Working full time","Working part time","Self-employed","Looking for work, unemployed","Unemployed, not looking","Temporarily laid off","Retired","Homemaker","Maternity Leave","Illness/sick leave","Disabled","Other","","","","",""
"PX980201_Covid19_Employment_Status_Work_Settings_Outbreak_Other","What setting(s) have you been working in since the COVID-19 outbreak began? Other: please specify","DCW_980201.doc","string","","","","","ASK IF 'What setting(s) have you been working in since the COVID-19 outbreak began?' = 'Other'","","PhenX","PX980201040200","","","","","","","","","","","","","","","","","","","","",""
"PX980201_Covid19_Employment_Status_Student_Outbreak_Beginning","In the weeks before COVID-19 outbreak began, were you a student (enrolled in an academic program)?","DCW_980201.doc","enumerated","","","","","","","PhenX","PX980201050000","","","","","Full time student","Part time student","No","","","","","","","","","","","","","",""
"PX980201_Covid19_Employment_Status_Student_Outbreak_Beginning_Continue","After the COVID-19 outbreak began, did you continue to be a student?","DCW_980201.doc","enumerated","","","","","ASK IF 'In the weeks before COVID-19 outbreak began, were you a student (enrolled in an academic program)?' = 'Full time student' OR 'In the weeks before COVID-19 outbreak began, were you a student (enrolled in an academic program)?' = 'Part time student'","","PhenX","PX980201050100","","","","","No","No, graduated or finished program early","Yes","","","","","","","","","","","","","",""
"PX980201_Covid19_Employment_Status_Student_Outbreak_Beginning_Continue_Remote","Since the COVID-19 outbreak, has your school offered classes remotely?","DCW_980201.doc","enumerated","","","","","ASK IF 'After the COVID-19 outbreak began, did you continue to be a student?' = 'Yes'","","PhenX","PX980201050200","","","","","No","Yes","","","","","","","","","","","","","","",""
"PX980201_Covid19_Employment_Status_Student_Outbreak_Beginning_Continue_Schoolwork","Did you experience an increase or decrease in schoolwork (time spent working)?","DCW_980201.doc","enumerated","","","","","ASK IF 'After the COVID-19 outbreak began, did you continue to be a student?' = 'Yes'","","PhenX","PX980201050300","","","","","Increase","Decrease","No change","","","","","","","","","","","","","",""
"PX980201_Covid19_Employment_Status_Difficulty_Work_Schoolwork_Responsibilities","[Has it been/Was it] hard to get your [work/schoolwork] done because of other responsibilities at home (taking care of children, family, tension, space)?","DCW_980201.doc","enumerated","","","","","ASK IF 'What setting(s) have you been working in since the COVID-19 outbreak began?' = 'At home' OR 'Since the COVID-19 outbreak, has your school offered classes remotely?' = 'Yes'","","PhenX","PX980201060000","","","","","No","Yes","","","","","","","","","","","","","","",""
"PX980201_Covid19_Employment_Status_Difficulty_Work_Schoolwork_Home_Environment","[Has it been/Was it] hard to get your [work/school work] done because of your home environment (internet, computers, tension, space)?","DCW_980201.doc","enumerated","","","","","ASK IF 'What setting(s) have you been working in since the COVID-19 outbreak began?' = 'At home' OR 'Since the COVID-19 outbreak, has your school offered classes remotely?' = 'Yes'","","PhenX","PX980201070000","","","","","No","Yes","","","","","","","","","","","","","","",""
"PX980201_Covid19_Employment_Status_House_Lose_Job_Income_Outbreak","Did anyone in your house lose their job or lose a significant amount of their income as a result of the COVID-19 outbreak?","DCW_980201.doc","enumerated","","","","","","","PhenX","PX980201080000","","","","","No","Yes","","","","","","","","","","","","","","",""
"PX980201_Covid19_Employment_Status_House_Lose_Job_Income_Outbreak_Who","Who lost their job or a significant amount of income as a result of the COVID-19 outbreak?","DCW_980201.doc","enumerated","","","","","ASK IF 'Did anyone in your house lose their job or lose a significant amount of their income as a result of the COVID-19 outbreak?' = 'Yes'","","PhenX","PX980201080101","","","","","Partner","Parents","My children","Siblings","Grandparents","Other family members (e.g. aunt, uncle, cousin)","Friend(s)","Other household members/roommates","Other","","","","","","","",""
"PX980201_Covid19_Employment_Status_House_Lose_Job_Income_Outbreak_Who_Other","Who lost their job or a significant amount of income as a result of the COVID-19 outbreak? Other: please specify","DCW_980201.doc","string","","","","","ASK IF 'Who lost their job or a significant amount of income as a result of the COVID-19 outbreak?' = 'Other'","","PhenX","PX980201080102","","","","","","","","","","","","","","","","","","","","",""
