"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Chronic_Pulmonary_Disease","Do you have any of the following conditions? Chronic obstructive pulmonary disease","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301011100","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Depression","Do you have any of the following conditions? Depression","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301011200","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Alcohol_Substance_Use","Do you have any of the following conditions? Alcohol or substance use disorder","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301011300","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Other_Mental_Health","Do you have any of the following conditions? Other mental health condition","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301011400","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Other_Chronic","Do you have any of the following conditions? Other chronic condition","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301011501","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Other_Chronic_Specify","Do you have any of the following conditions? Other chronic condition. Specify:","DCW_940301.doc","string","","","","","ASK IF 'Do you have any of the following conditions? Other mental health condition' = 'Yes' OR 'Do you have any of the following conditions? Other chronic condition' = 'Yes'","","PhenX","PX940301011502","","","","","","","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Medications","Are you currently taking any medications for any of these conditions?","DCW_940301.doc","encoded values","","","","","ASK IF 'Do you have any of the following conditions? HIV' = 'Yes' OR 'Do you have any of the following conditions? Hepatitis B virus (HBV)' = 'Yes' OR 'Do you have any of the following conditions? Hepatitis C virus (HCV)' = 'Yes' OR 'Do you have any of the following conditions? Tuberculosis (TB)' = 'Yes' OR 'Do you have any of the following conditions? Hypertension' = 'Yes' OR 'Do you have any of the following conditions? Diabetes' = 'Yes' OR 'Do you have any of the following conditions? Chronic kidney disease' = 'Yes' OR 'Do you have any of the following conditions? Cancer' = 'Yes' OR 'Do you have any of the following conditions? Cardiovascular disease' = 'Yes' OR 'Do you have any of the following conditions? Asthma' = 'Yes' OR 'Do you have any of the following conditions? Chronic obstructive pulmonary disease' = 'Yes' OR 'Do you have any of the following conditions? Depression' = 'Yes' OR 'Do you have any of the following conditions? Alcohol or substance use disorder' = 'Yes' OR 'Do you have any of the following conditions? Other mental health condition' = 'Yes' OR 'Do you have any of the following conditions? Other chronic condition' = 'Yes'","","PhenX","PX940301011600","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Medications_Other_Conditions","Are you currently taking any medications for any other health or mental health conditions?","DCW_940301.doc","encoded values","","","","","ASK IF 'Do you have any of the following conditions? HIV' = 'Yes' OR 'Do you have any of the following conditions? Hepatitis B virus (HBV)' = 'Yes' OR 'Do you have any of the following conditions? Hepatitis C virus (HCV)' = 'Yes' OR 'Do you have any of the following conditions? Tuberculosis (TB)' = 'Yes' OR 'Do you have any of the following conditions? Hypertension' = 'Yes' OR 'Do you have any of the following conditions? Diabetes' = 'Yes' OR 'Do you have any of the following conditions? Chronic kidney disease' = 'Yes' OR 'Do you have any of the following conditions? Cancer' = 'Yes' OR 'Do you have any of the following conditions? Cardiovascular disease' = 'Yes' OR 'Do you have any of the following conditions? Asthma' = 'Yes' OR 'Do you have any of the following conditions? Chronic obstructive pulmonary disease' = 'Yes' OR 'Do you have any of the following conditions? Depression' = 'Yes' OR 'Do you have any of the following conditions? Alcohol or substance use disorder' = 'Yes' OR 'Do you have any of the following conditions? Other mental health condition' = 'Yes' OR 'Do you have any of the following conditions? Other chronic condition' = 'Yes'","","PhenX","PX940301011700","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Medications_Amount","How many days' worth of medication do you currently have at home? If you take more than one medication, choose the medication you have the lowest supply of.","DCW_940301.doc","string","","","","","ASK IF 'Do you have any of the following conditions? Hepatitis B virus (HBV)' = 'Yes' OR 'Do you have any of the following conditions? Hepatitis C virus (HCV)' = 'Yes' OR 'Do you have any of the following conditions? Tuberculosis (TB)' = 'Yes' OR 'Do you have any of the following conditions? Hypertension' = 'Yes' OR 'Do you have any of the following conditions? Diabetes' = 'Yes' OR 'Do you have any of the following conditions? Chronic kidney disease' = 'Yes' OR 'Do you have any of the following conditions? Cancer' = 'Yes' OR 'Do you have any of the following conditions? Cardiovascular disease' = 'Yes' OR 'Do you have any of the following conditions? Asthma' = 'Yes' OR 'Do you have any of the following conditions? Chronic obstructive pulmonary disease' = 'Yes' OR 'Do you have any of the following conditions? Depression' = 'Yes' OR 'Do you have any of the following conditions? Alcohol or substance use disorder' = 'Yes' OR 'Do you have any of the following conditions? Other mental health condition' = 'Yes'","","PhenX","PX940301011800","","","","","","","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Medication_Refill","Have you made arrangements to get your medication refill/s?","DCW_940301.doc","encoded values","","","","","ASK IF 'Do you have any of the following conditions? Hepatitis B virus (HBV)' = 'Yes' OR 'Do you have any of the following conditions? Hepatitis C virus (HCV)' = 'Yes' OR 'Do you have any of the following conditions? Tuberculosis (TB)' = 'Yes' OR 'Do you have any of the following conditions? Hypertension' = 'Yes' OR 'Do you have any of the following conditions? Diabetes' = 'Yes' OR 'Do you have any of the following conditions? Chronic kidney disease' = 'Yes' OR 'Do you have any of the following conditions? Cancer' = 'Yes' OR 'Do you have any of the following conditions? Cardiovascular disease' = 'Yes' OR 'Do you have any of the following conditions? Asthma' = 'Yes' OR 'Do you have any of the following conditions? Chronic obstructive pulmonary disease' = 'Yes' OR 'Do you have any of the following conditions? Depression' = 'Yes' OR 'Do you have any of the following conditions? Alcohol or substance use disorder' = 'Yes' OR 'Do you have any of the following conditions? Other mental health condition' = 'Yes'","","PhenX","PX940301011900","","","","","0 = No","1 = You have been able to arrange for some medication refills but not all","2 = You are waiting to hear from your physician on how to refill medications","3 = Yes, home delivery","4 = Yes, you will be picking up from the pharmacy","5 = Yes, someone will be picking up your medications for you","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Postpone_Medical_Procedure","Since the COVID-19 pandemic (March 1, 2020), have you needed to postpone any medical procedures?","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301020000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Appointments_Healthcare_Provider","In the past month, have you missed any scheduled appointments with any health care provider?","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301030100","","","","","1 = Yes","0 = No","97 = Don't Know","98 = Refused to answer","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Appointments_Healthcare_Provider_Reason","What is the MAIN reason you missed appointments with any healthcare provider in the past month?","DCW_940301.doc","encoded values","","","","","ASK IF 'In the past month, have you missed any scheduled appointments with any health care provider?' = 'Yes'","","PhenX","PX940301030201","","","","","1 = Your clinic cancelled your appointment because of COVID-19","2 = Your clinic is closed because of the COVID-19","3 = You had symptoms of COVID-19, so you stayed home","4 = You cancelled the appointment to avoid being around others","5 = You cancelled the appointment because you did not want to be in a healthcare setting","6 = You felt okay or good enough","7 = You didn't have money or insurance","8 = You didn't want to take public transportation and had no other way to get there","9 = You forgot to go/just missed your appointment","10 = You felt disrespected by the office or medical staff","11 = You were drinking/using drugs","12 = Other (specify)","97 = Don't know","98 = Refused to answer","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Appointments_Healthcare_Provider_Reason_Other","What is the MAIN reason you missed appointments with any healthcare provider in the past month? Specify:","DCW_940301.doc","string","","","","","ASK IF 'What is the MAIN reason you missed appointments with any healthcare provider in the past month?' = 'Other (specify)'","","PhenX","PX940301030202","","","","","","","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Missed_Medications","In the past month, have you missed taking any medications?","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301040100","","","","","1 = Yes","0 = No","97 = Don't Know","98 = Refused to answer","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Missed_Medications_Reason","What is the MAIN reason you missed taking medications in the past month?","DCW_940301.doc","encoded values","","","","","ASK IF 'In the past month, have you missed taking any medications?' = 'Yes'","","PhenX","PX940301040201","","","","","1 = You couldn't get your medications because the pharmacy closed","2 = You couldn't get to the pharmacy because of COVID-19 shutdowns","3 = You couldn't get to the pharmacy because you wanted to avoid being around others","4 = You felt good, didn't need your medications","5 = Your doctor advised you to delay treatment","6 = You were worried about side effects","7 = You didn't have money or insurance to get medicine","8 = You didn't want to take public transport to pick up your prescription and had no other way to get there","9 = You were drinking or using drugs","10 = You forgot to take your medications","11 = Other, specify","97 = Don't know","98 = Refused to answer","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Missed_Medications_Reason_Other","What is the MAIN reason you missed taking medications in the past month? Specify:","DCW_940301.doc","string","","","","","ASK IF 'What is the MAIN reason you missed taking medications in the past month?' = 'Other, specify'","","PhenX","PX940301040202","","","","","","","","","","","","","","","","","","","","",""
