VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,VARIABLE_TERM,ORDER,VALUES,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_PatternOfEating_EveningMeal_Week,How would you rate your eating habits for evening meals during the week?,DCW_650102.doc,encoded values,,,,,skip logic,"ASK IF ""Evening meal"" was selected",PhenX,PX650102020601,,0 = Meal or snack not eaten,1 = Meal or snack eaten on 1 to 5 days,2 = Meal or snack eaten on less than half the days (6 to 12 days),3 = Meal or snack eaten on half the days (13 to 15 days),4 = Meal or snack eaten on more than half the days (16 to 22 days),5 = Meal or snack eaten almost every day (23 to 27 days),6 = Meal or snack eaten every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_PatternOfEating_EveningMeal_Weekend,How would you rate your eating habits for evening meals over the weekend?,DCW_650102.doc,encoded values,,,,,skip logic,"ASK IF ""Evening meal"" was selected",PhenX,PX650102020602,,0 = Meal or snack not eaten,1 = Meal or snack eaten on 1 to 5 days,2 = Meal or snack eaten on less than half the days (6 to 12 days),3 = Meal or snack eaten on half the days (13 to 15 days),4 = Meal or snack eaten on more than half the days (16 to 22 days),5 = Meal or snack eaten almost every day (23 to 27 days),6 = Meal or snack eaten every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_PatternOfEating_Nocturnal_Week,How would you rate your eating habits for nocturnal snacks during the week?,DCW_650102.doc,encoded values,,,,,skip logic,"ASK IF ""Nocturnal snacks"" was selected",PhenX,PX650102020701,,0 = Meal or snack not eaten,1 = Meal or snack eaten on 1 to 5 days,2 = Meal or snack eaten on less than half the days (6 to 12 days),3 = Meal or snack eaten on half the days (13 to 15 days),4 = Meal or snack eaten on more than half the days (16 to 22 days),5 = Meal or snack eaten almost every day (23 to 27 days),6 = Meal or snack eaten every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_PatternOfEating_Nocturnal_Weekend,How would you rate your eating habits for nocturnal snacks over the weekend?,DCW_650102.doc,encoded values,,,,,skip logic,"ASK IF ""Nocturnal snacks"" was selected",PhenX,PX650102020702,,0 = Meal or snack not eaten,1 = Meal or snack eaten on 1 to 5 days,2 = Meal or snack eaten on less than half the days (6 to 12 days),3 = Meal or snack eaten on half the days (13 to 15 days),4 = Meal or snack eaten on more than half the days (16 to 22 days),5 = Meal or snack eaten almost every day (23 to 27 days),6 = Meal or snack eaten every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_PatternOfEating_Nocturnal_Consciousness,When you ate ….. how awake were you and how well could you recall the episode the next day?,DCW_650102.doc,encoded values,,,,,skip logic,"ASK IF ""Nocturnal snacks"" was selected",PhenX,PX650102020800,,0 = no nocturnal eating,1 = nocturnal eating with no impairment of awareness (alertness) or recall,2 = nocturnal eating with impairment of awareness (alertness) or recall,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Picking_History,Over the past four weeks have you picked at (nibbled) food between meals and snacks? By “picking” (nibbling) I mean eating in an unplanned and repetitious way.,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102030100,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Picking_Activity,What about when cooking?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102030200,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Picking_Food,What have you typically eaten at these times?,DCW_650102.doc,string,,,,,,,PhenX,PX650102030300,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Picking_NotSnacks,Why would you not call these episodes snacks?,DCW_650102.doc,string,,,,,,,PhenX,PX650102030400,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Picking_InAdvance,Have you known in advance how much you were going to eat?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102030500,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Picking_Rating,Which rating best describes the number of days on which picking (nibbling) has occurred?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102030600,,0 = No picking (nibbling),1 = Picking (nibbling) on 1 to 5 days,2 = Picking (nibbling) on less than half the days (6 to 12 days),3 = Picking (nibbling) on half the days (13 to 15 days),4 = Picking (nibbling) on more than half the days (16 to 22 days),5 = Picking (nibbling) almost every day (23 to 27 days),6 = Picking (nibbling) every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Restraint_History,"Over the past four weeks have you been consciously trying to restrict (cut back) the overall amount that you eat, whether or not you have succeeded?",DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102040100,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Avoidance_History,Over the past four weeks have you gone for periods of eight or more waking hours without eating anything?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102040100,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Restraint_Details,What have you been trying to do?,DCW_650102.doc,string,,,,,,,PhenX,PX650102040200,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Avoidance_ShapeWeight,"Has this been to influence your shape or weight, or to avoid triggering an episode of overeating?",DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102040200,,Influence shape or weight,Avoid triggering an episode of overeating,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Restraint_ShapeWeight,"Has this been to influence your shape or weight, or to avoid triggering an episode of overeating?",DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102040300,,Influence shape or weight,Avoid triggering an episode of overeating,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Avoidance_Rating_1,"Which rating best describes the number of days on which there has been at least eight hours abstinence from eating food (soup and milkshakes count as food, whereas drinks in general do not) during waking hours?",DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102040300,,0 = No such days,1 = Avoidance on 1 to 5 days,2 = Avoidance on less than half the days (6 to 12 days),3 = Avoidance on half the days (13 to 15 days),4 = Avoidance on more than half the days (16 to 22 days),5 = Avoidance almost every day (23 to 27 days),6 = Avoidance every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Restraint_Rating_1,"Which rating best describes the number of days on which the participant has consciously attempted to restrict his or her overall food intake (i.e., energy intake), whether or not he or she has succeeded?",DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102040400,,0 = No attempt at restraint,1 = Attempted to exercise restraint on 1 to 5 days,2 = Attempted to exercise restraint on less than half the days (6 to 12 days),3 = Attempted to exercise restraint on half the days (13 to 15 days),4 = Attempted to exercise restraint on more than half the days (16 to 22 days),5 = Attempted to exercise restraint almost every day (23 to 27 days),6 = Attempted to exercise restraint every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Avoidance_Control,Some people avoid eating in this way ..... for eight or more waking hours ..... for another reason - to give them a sense of being in control - of being in control in general.  Over the past four weeks has this applied to you?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102040400,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Restraint_Control,Some people consciously try to restrict their eating for another reason - to give them a sense of being in control - of being in control in general. Over the past four weeks has this applied to you?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102040500,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Avoidance_Rating_2,"Which rating best describes the number of days on which there has been at least eight hours abstinence from eating food (soup and milkshakes count as food, whereas drinks in general do not) during waking hours, in order to get a sense of being in control?",DCW_650102.doc,encoded values,,,,,skip logic,ASK IF Qabove=Yes,PhenX,PX650102040500,,0 = No such days,1 = Avoidance on 1 to 5 days,2 = Avoidance on less than half the days (6 to 12 days),3 = Avoidance on half the days (13 to 15 days),4 = Avoidance on more than half the days (16 to 22 days),5 = Avoidance almost every day (23 to 27 days),6 = Avoidance every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Restraint_Rating_2,"Which rating best describes the number of days on which the participant has consciously attempted to restrict his or her overall food intake (i.e., energy intake) in order to get a sense of being in control?",DCW_650102.doc,encoded values,,,,,skip logic,ASK IF Qabove=Yes,PhenX,PX650102040600,,0 = No attempt at restraint,1 = Attempted to exercise restraint on 1 to 5 days,2 = Attempted to exercise restraint on less than half the days (6 to 12 days),3 = Attempted to exercise restraint on half the days (13 to 15 days),4 = Attempted to exercise restraint on more than half the days (16 to 22 days),5 = Attempted to exercise restraint almost every day (23 to 27 days),6 = Attempted to exercise restraint every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Avoidance_Rating_3,"Which rating best describes the number of days on which there has been at least eight hours abstinence from eating food (soup and milkshakes count as food, whereas drinks in general do not) during waking hours, whether or not to get a sense of being in control?",DCW_650102.doc,encoded values,,,,,skip logic,ASK IF Qabove=Yes,PhenX,PX650102040600,,0 = No such days,1 = Avoidance on 1 to 5 days,2 = Avoidance on less than half the days (6 to 12 days),3 = Avoidance on half the days (13 to 15 days),4 = Avoidance on more than half the days (16 to 22 days),5 = Avoidance almost every day (23 to 27 days),6 = Avoidance every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Restraint_Rating_3,"Which rating best describes the number of days on which the participant has consciously attempted to restrict his or her overall food intake (i.e., energy intake), whether or not he or she has succeeded, and whether or not to get a sense of being in control?",DCW_650102.doc,encoded values,,,,,skip logic,ASK IF Qabove=Yes,PhenX,PX650102040700,,0 = No attempt at restraint,1 = Attempted to exercise restraint on 1 to 5 days,2 = Attempted to exercise restraint on less than half the days (6 to 12 days),3 = Attempted to exercise restraint on half the days (13 to 15 days),4 = Attempted to exercise restraint on more than half the days (16 to 22 days),5 = Attempted to exercise restraint almost every day (23 to 27 days),6 = Attempted to exercise restraint every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_EmptyStomach_History,Over the past four weeks have you wanted your stomach to be empty?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102050100,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_EmptyStomach_ShapeWeight,"Has this been to influence your shape or weight, or to avoid triggering an episode of overeating?",DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102050200,,Influence shape or weight,Avoid triggering an episode of overeating,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_EmptyStomach_Rating_1,"Which rating best describes the number of days on which the participant has had a definite desire to have a completely empty stomach for reasons to do with dieting, shape or weight?",DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102050300,,0 = No definite desire to have an empty stomach,1 = Definite desire on 1 to 5 days,2 = Definite desire on less than half the days (6 to 12 days),3 = Definite desire on half the days (13 to 15 days),4 = Definite desire on more than half the days (16 to 22 days),5 = Definite desire almost every day (23 to 27 days),6 = Definite desire every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_EmptyStomach_Control,Some people want to have an empty stomach for another reason - to give them a sense of being in control - of being in control in general. Over the past four weeks has this applied to you?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102050400,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_EmptyStomach_Rating_2,Which rating best describes the number of days on which the participant has had a definite desire to have a completely empty stomach in order to get a sense of being in control?,DCW_650102.doc,encoded values,,,,,skip logic,ASK IF Qabove=Yes,PhenX,PX650102050500,,0 = No definite desire to have an empty stomach,1 = Definite desire on 1 to 5 days,2 = Definite desire on less than half the days (6 to 12 days),3 = Definite desire on half the days (13 to 15 days),4 = Definite desire on more than half the days (16 to 22 days),5 = Definite desire almost every day (23 to 27 days),6 = Definite desire every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_EmptyStomach_Rating_3,"Which rating best describes the number of days on which the participant has had a definite desire to have a completely empty stomach for reasons to do with dieting, shape or weight, or to get a sense of being in control??",DCW_650102.doc,encoded values,,,,,skip logic,ASK IF Qabove=Yes,PhenX,PX650102050600,,0 = No definite desire to have an empty stomach,1 = Definite desire on 1 to 5 days,2 = Definite desire on less than half the days (6 to 12 days),3 = Definite desire on half the days (13 to 15 days),4 = Definite desire on more than half the days (16 to 22 days),5 = Definite desire almost every day (23 to 27 days),6 = Definite desire every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_FoodAvoidance_History,"Over the past four weeks have you tried to avoid eating any foods which you like, whether or not you have succeeded?",DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102060100,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_FoodAvoidance_Foods,What foods?,DCW_650102.doc,string,,,,,,,PhenX,PX650102060200,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_FoodAvoidance_Exclusion,Have you been attempting to exclude them altogether?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102060300,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_FoodAvoidance_ShapeWeight,"Has this been to influence your shape or weight, or to avoid triggering an episode of overeating?",DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102060400,,Influence shape or weight,Avoid triggering an episode of overeating,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_FoodAvoidance_Rating_1,"Which rating best describes the number of days on which the participant has actively attempted to avoid eating specific foods (which he or she likes, or has liked in the past) whether or not he or she succeeded?",DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102060500,,0 = No attempts to avoid foods,1 = Attempted to avoid foods on 1 to 5 days,2 = Attempted to avoid foods on less than half the days (6 to 12 days),3 = Attempted to avoid foods on half the days (13 to 15 days),4 = Attempted to avoid foods on more than half the days (16 to 22 days),5 = Attempted to avoid foods almost every day (23 to 27 days),6 = Attempted to avoid foods every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_FoodAvoidance_Control,Some people avoid eating certain foods for another reason - to give them a sense of being in control - of being in control in general. Over the past four weeks has this applied to you?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102060600,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_FoodAvoidance_Rating_2,"Which rating best describes the number of days on which the participant has actively attempted to avoid eating specific foods (which he or she likes, or has liked in the past) in order to get a sense of being in control?",DCW_650102.doc,encoded values,,,,,skip logic,ASK IF Qabove=Yes,PhenX,PX650102060700,,0 = No attempts to avoid foods,1 = Attempted to avoid foods on 1 to 5 days,2 = Attempted to avoid foods on less than half the days (6 to 12 days),3 = Attempted to avoid foods on half the days (13 to 15 days),4 = Attempted to avoid foods on more than half the days (16 to 22 days),5 = Attempted to avoid foods almost every day (23 to 27 days),6 = Attempted to avoid foods every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_FoodAvoidance_Rating_3,"Which rating best describes the number of days on which the participant has actively attempted to avoid eating specific foods (which he or she likes, or has liked in the past) whether or not to get a sense of being in control?",DCW_650102.doc,encoded values,,,,,skip logic,ASK IF Qabove=Yes,PhenX,PX650102060800,,0 = No attempts to avoid foods,1 = Attempted to avoid foods on 1 to 5 days,2 = Attempted to avoid foods on less than half the days (6 to 12 days),3 = Attempted to avoid foods on half the days (13 to 15 days),4 = Attempted to avoid foods on more than half the days (16 to 22 days),5 = Attempted to avoid foods almost every day (23 to 27 days),6 = Attempted to avoid foods every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRules_History,"Over the past four weeks have you tried to follow certain definite rules regarding your eating; for example, a calorie limit, pre-set quantities of food, or rules about what you should - or should not - eat, or when you should eat?",DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102070100,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRules_Details,What have you been trying to do?,DCW_650102.doc,string,,,,,,,PhenX,PX650102070200,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRules_BrokenRule,Have there been occasions when you have been aware that you may have broken a dietary rule that you have set for yourself?,DCW_650102.doc,enumerated,,,,,skip logic,ASK IF answered negatively,PhenX,PX650102070300,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRules_ShapeWeight,"Have these rules been designed to influence your shape or weight, or to avoid triggering an episode of overeating?",DCW_650102.doc,enumerated,,,,,skip logic,ASK IF answered negatively,PhenX,PX650102070400,,Influence shape or weight,Avoid triggering an episode of overeating,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRules_DefiniteOrGeneral,"Have they been definite rules or general guidelines? Examples of definite rules would be ""I must not eat eggs"" or ""I must not eat cake"", whereas you could have the general guideline ""I should try to eat healthy food"".",DCW_650102.doc,enumerated,,,,,skip logic,ASK IF answered negatively,PhenX,PX650102070500,,Definite rules,General guidelines,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRules_Rating_1,Which rating best describes the number of days the subject has attempted to obey dietary rules/guidelines?,DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102070600,,0 = Has not attempted to obey such rules,1 = Attempted to obey such rules on 1 to 5 days,2 = Attempted to obey such rules on less than half the days (6 to 12 days),3 = Attempted to obey such rules on half the days (13 to 15 days),4 = Attempted to obey such rules on more than half the days (16 to 22 days),5 = Attempted to obey such rules almost every day (23 to 27 days),6 = Attempted to obey such rules every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRules_Control,Some people attempt to follow dietary rules for another reason - to give them a sense of being in control - of being in control in general. Over the past four weeks has this applied to you?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102070700,,,,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRules_Rating_2,Which rating best describes the number of days the subject has attempted to obey dietary rules/guidelines in order to get a sense of being in control?,DCW_650102.doc,encoded values,,,,,skip logic,ASK IF Qabove=Yes,PhenX,PX650102070800,,0 = Has not attempted to obey such rules,1 = Attempted to obey such rules on 1 to 5 days,2 = Attempted to obey such rules on less than half the days (6 to 12 days),3 = Attempted to obey such rules on half the days (13 to 15 days),4 = Attempted to obey such rules on more than half the days (16 to 22 days),5 = Attempted to obey such rules almost every day (23 to 27 days),6 = Attempted to obey such rules every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_DietaryRules_Rating_3,Which rating best describes the number of days the subject has attempted to obey dietary rules/guidelines whether or not to get a sense of being in control?,DCW_650102.doc,encoded values,,,,,skip logic,ASK IF Qabove=Yes,PhenX,PX650102070900,,0 = Has not attempted to obey such rules,1 = Attempted to obey such rules on 1 to 5 days,2 = Attempted to obey such rules on less than half the days (6 to 12 days),3 = Attempted to obey such rules on half the days (13 to 15 days),4 = Attempted to obey such rules on more than half the days (16 to 22 days),5 = Attempted to obey such rules almost every day (23 to 27 days),6 = Attempted to obey such rules every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Preoccupation_History,"Over the past four weeks have you spent much time between meals thinking about food, eating, or calories?.......",DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102080100,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Preoccupation_Distraction,"Has thinking about food, eating, or calories interfered with your ability to concentrate on things that you are actively engaged in, for example, working, following a conversation or reading? What has it affected?",DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102080200,,Yes,No,,,,,,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_Preoccupation_Rating,"Which rating best describes the number of days on where the subject experienced preoccupation that caused concentration impairment, whether or not bulimic episodes occurred?",DCW_650102.doc,encoded values,,,,,,,PhenX,PX650102080300,,0 = No concentration impairment,1 = Concentration impairment on 1 to 5 days,2 = Concentration impairment on less than half the days (6 to 12 days),3 = Concentration impairment on half the days (13 to 15 days),4 = Concentration impairment on more than half the days (16 to 22 days),5 = Concentration impairment almost every day (23 to 27 days),6 = Concentration impairment every day,,,,,,,,,,
PX650102_PsychopathologyEatingDisordersInterview_FearLosingControl_History,Over the past four weeks have you been afraid of losing control over eating?,DCW_650102.doc,enumerated,,,,,,,PhenX,PX650102090100,,Yes,No,,,,,,,,,,,,,,,
